Date,Time,TankID,mV,TempInLab,Flow_Left_30s,Flow_Right_30s,TempInSitu,Salinity,DO_mg_L,Light_nm,TrisCalDate,TA,Notes
20240602,12:00,1,-108.8,28.571,114,82,29.5,36.6,4.77,NA,20240602,2308.968,Flow read as 0
20240602,12:00,2,-101.3,28.457,131,10,29.4,36.5,4.66,NA,20240602,2215.542,Flow read as 0
20240602,12:00,3,-94.4,28.119,68,10,29.2,36.5,4.42,NA,20240602,2357.832,
20240602,12:00,4,-97.5,28.421,151,0,29.6,36.5,4.56,NA,20240602,2425.624,
20240602,12:00,5,-97.8,27.987,120,20,28.7,36.4,4.72,NA,20240602,2327.843,
20240602,12:00,6,-98,27.88,0,134,29,36.4,3.81,NA,20240602,2289.006,
20240602,12:00,7,-95.2,27.893,432,541,28.7,36.4,4.72,NA,20240602,2346.496,
20240602,12:00,8,-95,27.992,52,274,28.8,36.4,4.47,NA,20240602,2356.019,
20240602,12:00,9,-96,28.188,116,424,29,36.4,4.03,NA,20240602,2344.891,
20240602,12:00,10,-103.7,28.3,64,280,29.2,36.6,4.13,NA,20240602,2163.075,
20240602,12:00,11,-94.6,28.212,29,0,29.3,36.6,3.6,NA,20240602,2365.13,
20240602,12:00,12,-101.6,28.254,170,153,29.5,36.6,4,NA,20240602,2215.887,
20240602,12:00,13,-104.3,28.364,16,42,29.5,36.6,4.33,NA,20240602,2325.067,
20240602,12:00,14,-99.8,28.304,72,29,29.3,36.4,4.25,NA,20240602,2337.419,
20240602,12:00,15,-95.6,28.12,0,34,29.4,36.3,4.07,NA,20240602,2362.45,
20240602,12:00,16,-96.1,27.979,97,424,28.9,36.4,3.77,NA,20240602,2340.188,
20240602,12:00,Inflow1,-94.5,28.387,NA,NA,29,36.5,NA,NA,20240602,2343.183,
20240602,12:00,Inflow2,-94.6,27.954,NA,NA,29,36.5,NA,NA,20240602,2355.042,
20240602,15:00,1,-101.6,28.31,NA,NA,29,36.4,3.73,NA,20240602,NA,
20240602,15:00,2,-97.4,28.17,NA,NA,29.1,36.4,3.77,NA,20240602,NA,
20240602,15:00,3,-95.8,28.23,NA,NA,29.3,36.5,3.47,NA,20240602,NA,
20240602,15:00,4,-96.7,29.39,NA,NA,29.1,36.5,3.41,NA,20240602,NA,
20240602,15:00,5,-96.9,29.34,NA,NA,29,36.4,3.44,NA,20240602,NA,
20240602,15:00,6,-96.3,28.16,NA,NA,29,36.4,3.42,NA,20240602,NA,
20240602,15:00,7,-95.5,28.036,NA,NA,28.9,36.4,3.84,NA,20240602,NA,
20240602,15:00,8,-95.5,28.26,NA,NA,28.8,36.4,3.96,NA,20240602,NA,
20240602,15:00,9,-96.1,28.31,NA,NA,28.9,36.4,4.6,NA,20240602,NA,
20240602,15:00,10,-96.1,27.89,NA,NA,28.7,36.4,4.1,NA,20240602,NA,
20240602,15:00,11,-95.2,28.19,NA,NA,28.8,36.4,4.41,NA,20240602,NA,
20240602,15:00,12,-95.9,27.95,NA,NA,28.9,36.4,4.24,NA,20240602,NA,
20240602,15:00,13,-102.6,27.83,NA,NA,29.2,36.4,4.56,NA,20240602,NA,
20240602,15:00,14,-98.2,28.45,NA,NA,29.1,36.1,4.41,NA,20240602,NA,
20240602,15:00,15,-96.1,28.13,NA,NA,29.3,36.5,4.15,NA,20240602,NA,
20240602,15:00,16,-95.9,28.09,NA,NA,28.9,36.4,4.17,NA,20240602,NA,
20240602,15:00,Inflow1,-95.9,27.61,NA,NA,29,36.4,NA,NA,20240602,NA,
20240602,15:00,Inflow2,-95.8,27.64,NA,NA,29,36.4,NA,NA,20240602,NA,
20240602,18:00,1,-93.6,27.76,202,260,28.6,36.4,3.82,NA,20240602,2370.89,
20240602,18:00,2,-92.7,27.99,20,74,28.9,36.4,4.11,NA,20240602,2336.88,
