TREATMENT,TANK_NUM,NEC_rangemean,NEC_rangese,NEC_mean,NEC_se
Algae_Dom,1,-0.257953343,0.254001894,-0.224821197,0.193993763
Algae_Dom,4,0.432505963,0.334308837,0.556578493,0.573940019
Algae_Dom,13,0.494552084,0.25388297,-0.102957582,0.13557797
Algae_Dom,14,0.533125719,0.222056135,-0.021987101,0.135894735
Control,3,0,0,0,0
Control,8,-0.362278789,0.356254455,0.020883661,0.018860312
Control,11,0.017356409,0.026133952,-0.022750067,0.020542524
Control,15,0.371006733,0.331513856,0.083009051,0.050573742
Coral_Dom,6,0.393632739,0.040750173,0.162732432,0.173798362
Coral_Dom,7,-0.21872844,0.391225462,0.179123503,0.106272577
Coral_Dom,9,0.934293671,0.437693698,0.138511383,0.246507089
Coral_Dom,16,-2.924017995,3.405260474,-1.394224246,1.807188316
Rubble_Dom,2,0.005863395,0.049885004,0.021042005,0.054408898
Rubble_Dom,5,0.200299031,0.082545452,0.107819431,0.095014979
Rubble_Dom,10,0.217058081,0.103266439,0.19709313,0.041048068
Rubble_Dom,12,0.166755477,0.043014994,0.126125313,0.005732442
