DATE,TIME,TANK_NUM,TREATMENT,TEMPINLAB,FLOW_LEFT,FLOW_RIGHT,TEMPINSITU,SALINITY,DO_MG_L,LIGHT_NM,TA,Notes,pH,DIC_mmol_kg,INFLOW_TABLE,pH_inflow,TA_inflow,DIC_inflow,DATETIME,pHDiff,totalflow,residence_time,deltaTA,deltaDIC,NEC,NEP
20240602,12:00:00,1,Algae_Dom,28.571,114,82,29.5,36.6,4.77,NA,2308.968,Flow read as 0,8.255712111,1943.950227,1,8.023945912,2343.183,2104.044154,2024-06-02T12:00:00Z,0.231766199,196,0.850340136,34.215,160.0939273,0.407335911,3.404559792
20240602,12:00:00,2,Rubble_Dom,28.457,131,10,29.4,36.5,4.66,NA,2215.542,Flow read as 0,8.131556175,1934.171599,2,8.024367772,2355.042,2114.488123,2024-06-02T12:00:00Z,0.107188403,141,1.182033097,139.5,180.3165246,1.19474,1.893881715
20240602,12:00:00,3,Control,28.119,68,10,29.2,36.5,4.42,NA,2357.832,NA,8.018457461,2118.387122,2,8.024367772,2355.042,2114.488123,2024-06-02T12:00:00Z,-0.005910311,78,2.136752137,-2.79,-3.898999078,-0.0132184,-0.023726782
20240602,12:00:00,4,Algae_Dom,28.421,151,0,29.6,36.5,4.56,NA,2425.624,NA,8.064968086,2152.247535,2,8.024367772,2355.042,2114.488123,2024-06-02T12:00:00Z,0.040600314,151,1.103752759,-70.582,-37.75941174,-0.647367647,-0.045279814
20240602,12:00:00,5,Rubble_Dom,27.987,120,20,28.7,36.4,4.72,NA,2327.843,NA,8.08233622,2064.163789,2,8.024367772,2355.042,2114.488123,2024-06-02T12:00:00Z,0.057968448,140,1.19047619,27.199,50.32433377,0.231292237,0.62459421
20240602,12:00:00,6,Coral_Dom,27.88,0,134,29,36.4,3.81,NA,2289.006,NA,8.080788858,2028.199726,2,8.024367772,2355.042,2114.488123,2024-06-02T12:00:00Z,0.056421086,134,1.243781095,66.036,86.2883973,0.537484124,0.867163149
20240602,12:00:00,7,Coral_Dom,27.893,432,541,28.7,36.4,4.72,NA,2346.496,NA,8.038593116,2102.601514,2,8.024367772,2355.042,2114.488123,2024-06-02T12:00:00Z,0.014225344,973,0.171291538,8.546,11.88660909,0.50507493,0.899939874
20240602,12:00:00,8,Control,27.992,52,274,28.8,36.4,4.47,NA,2356.019,NA,8.034008292,2112.635056,1,8.023945912,2343.183,2104.044154,2024-06-02T12:00:00Z,0.01006238,326,0.511247444,-12.836,-8.590901757,-0.254171816,-0.086053348
20240602,12:00:00,9,Coral_Dom,28.188,116,424,29,36.4,4.03,NA,2344.891,NA,8.048228158,2094.161647,1,8.023945912,2343.183,2104.044154,2024-06-02T12:00:00Z,0.024282246,540,0.308641975,-1.708,9.882507401,-0.0560224,0.704314885
20240602,12:00:00,10,Rubble_Dom,28.3,64,280,29.2,36.6,4.13,NA,2163.075,NA,8.174508871,1867.455445,1,8.023945912,2343.183,2104.044154,2024-06-02T12:00:00Z,0.150562959,344,0.484496124,180.108,236.5887098,3.763323307,6.123631251
