flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
8,36.6,29.5,1,0,8.255712111,0.005453998,215910.7886,216712.8214,215910.7886,216712.8214,215910.7886,216713.3038,1.568190384,0.370305846,1.943950227,2.308968,5940.254239,8862.059269
8,36.5,29.4,1,0,8.131556175,0.007601835,300093.9648,301276.6742,300093.9648,301276.6742,300093.9648,301277.5574,1.637731872,0.288837892,1.934171599,2.215542,4634.630505,6917.467178
8,36.5,29.2,1,0,8.018457461,0.01122411,441039.5012,442921.1044,441039.5012,442921.1044,441039.5012,442922.7556,1.856603484,0.250559529,2.118387122,2.357832,4016.149466,5998.42831
8,36.5,29.6,1,0,8.064968086,0.010020249,397395.2661,399047.3996,397395.2661,399047.3996,397395.2661,399048.8034,1.858950795,0.283276491,2.152247535,2.425624,4550.269826,6786.910754
8,36.4,28.7,1,0,8.08233622,0.009396378,364753.7652,366259.0471,364753.7652,366259.0471,364753.7652,366260.2945,1.781812556,0.272954856,2.064163789,2.327843,4367.092479,6534.427715
8,36.4,29,1,0,8.080788858,0.009203595,359785.7736,361261.5189,359785.7736,361261.5189,359785.7736,361262.7315,1.749107589,0.269888543,2.028199726,2.289006,4324.825224,6464.654619
8,36.4,28.7,1,0,8.038593116,0.01071623,415988.5062,417751.7532,415988.5062,417751.7532,415988.5062,417753.285,1.837386235,0.254499049,2.102601514,2.346496,4071.812097,6092.603247
8,36.4,28.8,1,0,8.034008292,0.01086935,422922.305,424719.0449,422922.305,424719.0449,422922.305,424720.6114,1.847623445,0.254142262,2.112635056,2.356019,4068.22586,6085.194158
8,36.4,29,1,0,8.048228158,0.010338495,404151.145,405848.4431,404151.145,405848.4431,404151.145,405849.9009,1.822869803,0.260953349,2.094161647,2.344891,4181.643337,6250.629451
8,36.6,29.2,1,0,8.174508871,0.00657363,258433.2218,259426.3742,258433.2218,259426.3742,258433.2218,259427.0521,1.558832894,0.302048922,1.867455445,2.163075,4837.592354,7224.422716
8,36.6,29.3,1,0,8.020746081,0.01114184,439043.3846,440912.6535,439043.3846,440912.6535,439043.3846,440914.2909,1.857883777,0.253567817,2.122593433,2.36513,4063.273204,6065.996634
8,36.6,29.5,1,0,8.134698894,0.007501294,296958.3794,298125.0943,296958.3794,298125.0943,296958.3794,298125.9596,1.63232567,0.291712726,1.931539689,2.215887,4679.504184,6981.18999
8,36.6,29.5,1,0,8.180074165,0.006890219,272767.3675,273822.2624,272767.3675,273822.2624,272767.3675,273823.0057,1.664481259,0.330219523,2.001591,2.325067,5297.210247,7902.724241
8,36.4,29.3,1,0,8.10743345,0.008636043,339962.241,341336.4087,339962.241,341336.4087,339962.241,341337.5058,1.755138283,0.291076312,2.054850638,2.337419,4671.773331,6976.168979
8,36.3,29.4,1,0,8.035051101,0.010707582,422275.626,424057.1687,422275.626,424057.1687,422275.626,424058.7133,1.843980854,0.259178285,2.11386672,2.36245,4165.330564,6218.614218
8,36.4,28.9,1,0,8.050832466,0.010270282,400548.5041,402229.4589,400548.5041,402229.4589,400548.5041,402230.8998,1.818240742,0.260916259,2.089427283,2.340188,4178.850416,6248.561874
8,36.5,29,1,0,8.023945912,0.011043743,431937.3345,433776.2727,431937.3345,433776.2727,431937.3345,433777.8818,1.842927805,0.250072606,2.104044154,2.343183,4004.116622,5984.50929
