TREATMENT,TANK_NUM,DOC_rangemean,DOC_mean,TON_rangemean,TON_mean,TA_rangemean,TA_rangese,TA_mean,TA_se,deltaTA_rangemean,deltaTA_rangese,deltaTA_mean,deltaTA_se,pH_rangemean,pH_rangese,pH_mean,pH_se,deltapH_rangemean,deltapH_rangese,deltapH_mean,deltapH_se,DOC_rangese,DOC_se,deltaDOC_rangemean,deltaDOC_rangese,deltaDOC_mean,deltaDOC_se,NEC_rangemean,NEC_rangese,NEC_mean,NEC_se,NEP_rangemean,NEP_rangese,NEP_mean,NEP_se
Algae_Dom,1,75.70633777,159.1378475,-9.561773217,18.54116641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubble_Dom,2,-5.85982127,216.8225231,6.01886557,21.45810378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control,3,-14.43550799,113.8726534,-12.48799186,20.10351395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algae_Dom,4,76.59443477,175.6231481,-11.2652437,19.71060675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubble_Dom,5,51.82485432,121.1786389,8.08359174,25.21582925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coral_Dom,6,50.95618444,104.3783413,3.63595835,19.84161548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coral_Dom,7,47.67381032,113.3242997,4.281433172,23.40211887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control,8,-1.929876425,151.2810799,14.34001228,22.38876454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coral_Dom,9,35.36707548,119.8721071,4.229226013,20.0472512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubble_Dom,10,28.70218499,101.911039,1.150342337,18.89690886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
