TREATMENT,DATE,TANK_NUM,pH_day,pH_night
Algae_Dom,20240602,1,8.255712110654017,8.005317981644595
Algae_Dom,20240602,4,8.064968086404676,7.979354776695503
Algae_Dom,20240602,13,8.18007416514611,7.958014138442366
Algae_Dom,20240602,14,8.107433449962663,7.963453728873788
Algae_Dom,20240605,1,8.060099164814329,7.986466636557144
Algae_Dom,20240605,4,8.020738295128302,7.991193512182766
Algae_Dom,20240605,13,8.179842335390523,7.986554894233526
Algae_Dom,20240605,14,8.066344062333362,8.009914594712397
Algae_Dom,20240606,1,8.025766602841026,8.080321709840577
Algae_Dom,20240606,4,8.006535320292587,8.076887796814992
Algae_Dom,20240606,13,8.02591947320032,8.057758252005804
Algae_Dom,20240606,14,8.003499290721184,8.070131161608343
Algae_Dom,20240607,1,8.063443074959428,8.010262603894871
Algae_Dom,20240607,4,8.076142225550967,8.014210198999768
Algae_Dom,20240607,13,8.074594971337506,8.024349294984397
Algae_Dom,20240607,14,8.095172166653372,8.022556619379566
Algae_Dom,20240608,1,8.007602333968064,7.972202176990075
Algae_Dom,20240608,4,8.008856547626555,8.001138569664874
Algae_Dom,20240608,13,8.017618524522073,8.007242948217558
Algae_Dom,20240608,14,8.015999385581292,8.008758796851263
Algae_Dom,20240609,1,8.052413821216758,7.977973416028165
Algae_Dom,20240609,4,8.029831256946926,7.97285825131565
Algae_Dom,20240609,13,8.018212479333407,7.985719274550782
Algae_Dom,20240609,14,8.028427136946847,7.955666367792701
Algae_Dom,20240610,1,8.093048221321517,7.732497883667746
Algae_Dom,20240610,4,8.064371722863857,7.928840948954491
Algae_Dom,20240610,13,8.061721012855799,7.97140352005735
Algae_Dom,20240610,14,8.04497412468576,7.984850027471263
Algae_Dom,20240611,1,8.106554592071523,8.000446544285035
Algae_Dom,20240611,4,8.074097170688642,7.993865152060795
Algae_Dom,20240611,13,8.078154809643447,8.012347752633271
Algae_Dom,20240611,14,8.062119181889239,8.031129551783517
Algae_Dom,20240613,1,7.874072703051447,8.031517410656917
Algae_Dom,20240613,4,7.934127644320645,7.867226926151428
Algae_Dom,20240613,13,8.0563621718157,8.032416988680227
Algae_Dom,20240613,14,8.04984504161221,8.03347334101444
Algae_Dom,20240614,1,8.1244216174673,7.9509313340204075
Algae_Dom,20240614,4,8.168797168943653,7.776520309104024
Algae_Dom,20240614,13,8.18437234376191,7.948116887365036
Algae_Dom,20240614,14,8.122539249958365,8.033637046869199
Algae_Dom,20240615,1,8.141849801270094,8.010244200750233
Algae_Dom,20240615,4,8.175632743590882,7.7897139300674985
Algae_Dom,20240615,13,8.267160469479354,7.938955265028716
Algae_Dom,20240615,14,8.134188212190045,8.00933135192261
Algae_Dom,20240616,1,8.06261250300388,8.009866866463817
Algae_Dom,20240616,4,8.117394377203256,7.874215114273925
Algae_Dom,20240616,13,8.114736113105979,8.012439956546752
Algae_Dom,20240616,14,8.221192752768909,7.959623776515597
Algae_Dom,20240618,1,8.155929530171365,7.923005653656683
Algae_Dom,20240618,4,8.299099125646935,8.01810722713385
Algae_Dom,20240618,13,8.089331746337889,7.9769546800782525
Algae_Dom,20240618,14,8.102102770202064,7.987922015116624
Algae_Dom,20240619,1,8.193328811676125,7.953098055129959
Algae_Dom,20240619,4,8.468344294079829,8.04331051303444
Algae_Dom,20240619,13,8.102266760230435,8.05585019667083
Algae_Dom,20240619,14,8.1107031398604,8.058210071471573
Algae_Dom,20240620,1,8.277538127136195,7.941711837405389
Algae_Dom,20240620,4,8.393051273459573,8.138447164142883
Algae_Dom,20240620,13,8.121260270588062,8.0304030142508
Algae_Dom,20240620,14,8.158184529548311,8.017715515182855
Algae_Dom,20240626,1,8.265621487457343,7.925920021214502
Algae_Dom,20240626,4,8.490127977886823,8.071238816146703
Algae_Dom,20240626,13,8.120906529884506,8.038731859182244
Algae_Dom,20240626,14,8.306165883046305,7.886651135942547
Control,20240602,3,8.018457460846129,8.054863536971382
Control,20240602,8,8.034008291834432,8.060491764182764
Control,20240602,11,8.020746081370591,8.053298748372505
Control,20240602,15,8.035051100622374,8.052011072383975
Control,20240605,3,7.9991213982303,7.988658352169071
Control,20240605,8,7.991575158920039,7.999069477322056
Control,20240605,11,7.981966651717723,8.004273488389837
Control,20240605,15,7.993269355043449,7.995004614053894
Control,20240606,3,7.967552303949935,8.08549451403567
Control,20240606,8,7.996799160782626,8.074900965645272
Control,20240606,11,7.989985221743411,8.072400591380516
Control,20240606,15,8.01092647992527,8.073743865147419
Control,20240607,3,8.049671820511481,8.037702693659377
Control,20240607,8,8.038255962563904,8.045605519050403
Control,20240607,11,8.043660755124934,8.039584073436542
