Date,Time,CoralTankID,mV,TempInLab,DO_mg_L
6/16/24,21:00,C1,-94.1,23.784,NA
6/16/24,21:00,C2,-94.6,24.057,NA
6/16/24,21:00,C3,-98.4,24.215,NA
6/16/24,21:00,C4,-92.6,24.122,NA
6/16/24,21:00,C5,-85.4,24.164,NA
6/16/24,21:00,C6,-92.7,23.775,NA
6/16/24,21:00,C7,-91.9,24.106,NA
6/16/24,21:00,C8,-87.8,24.276,NA
6/16/24,21:00,C9,-90.2,24.304,NA
6/16/24,21:00,C10,-98.7,24.037,NA
6/16/24,21:00,C11,-95.2,24.031,NA
6/16/24,21:00,C12,-96,23.97,NA
6/16/24,21:00,C13,-100.9,23.66,NA
6/16/24,21:00,C14,-90,23.975,NA
6/16/24,21:00,C15,-96.7,23.994,NA
6/16/24,21:00,C16,-96.6,23.851,NA
6/16/24,21:00,C17,-89.4,23.562,NA
6/16/24,21:00,C18,-90,23.621,NA
6/16/24,21:00,C19,-95,23.545,NA
6/16/24,21:00,C20,-96,23.429,NA
6/16/24,21:00,C21,-97.3,23.52,NA
6/16/24,21:00,C22,-97.4,23.695,NA
6/16/24,21:00,C23,-94.7,23.31,NA
6/16/24,21:00,C24,-92.3,23.187,NA
6/16/24,21:00,C25,-93.8,22.985,NA
6/16/24,21:00,C26,-92.6,23.289,NA
6/16/24,21:00,C27,-92.4,23.408,NA
6/16/24,21:00,C28,-90.2,23.207,NA
6/16/24,21:00,C29,-96.4,23.082,NA
6/16/24,21:00,C30,-96.6,23.09,NA
6/16/24,21:00,C31,-96.3,23.022,NA
6/16/24,21:00,C32,-95.9,23.177,NA
6/18/24,12:00,C1,-101.1,,
6/18/24,12:00,C2,-101.8,,
6/18/24,12:00,C3,-95.5,,
6/18/24,12:00,C4,-95.9,,
6/18/24,12:00,C5,-84.2,,
6/18/24,12:00,C6,-96.3,,
6/18/24,12:00,C7,-82,,
6/18/24,12:00,C8,-102.3,,
6/18/24,12:00,C9,-97.6,,
6/18/24,12:00,C10,-97.6,,
6/18/24,12:00,C11,-100.2,,
6/18/24,12:00,C12,-100.2,,
6/18/24,12:00,C13,-102.9,,
