Sample,NPOC (mg/L),TN (mg/L),NPOC (uM),TN (uM)
F1_IN 06/02/24 12:00 ,1.666633333,0.164198333,138.7623813,11.72284216
F2_IN 06/02/24 12:00 ,1.754633333,0.167808333,146.0891816,11.98057596
T1 06/02/24 12:00 ,2.588633333,0.211058333,215.527266,15.06838394
T2 06/02/24 12:00 ,1.914633333,0.200058333,159.4106366,14.28304549
T3 06/02/24 12:00 ,2.494633333,0.360358333,207.7009111,25.72756847
T4 06/02/24 12:00 ,3.102633333,0.202858333,258.3224403,14.48294983
T5 06/02/24 12:00 ,1.707633333,0.186058333,142.1760042,13.28352384
T6 06/02/24 12:00 ,2.209633333,0.270758333,183.9720693,19.33062987
T7 06/02/24 12:00 ,1.766633333,0.194358333,147.0882907,13.87609739
T8 06/02/24 12:00 ,1.650633333,0.189458333,137.4302358,13.52626481
T9 06/02/24 12:00 ,1.739633333,0.175988333,144.8402952,12.56458219
T10 06/02/24 12:00 ,2.194633333,0.319158333,182.7231829,22.78611902
T11 06/02/24 12:00 ,1.545633333,0.195558333,128.688031,13.96177068
T12 06/02/24 12:00 ,1.831633333,0.242258333,152.5001318,17.29588935
T13 06/02/24 12:00 ,1.777633333,0.195558333,148.0041408,13.96177068
T14 06/02/24 12:00 ,1.6704,0.15784,139.0759906,11.26889274
T15 06/02/24 12:00 ,1.5954,0.1594,132.8315585,11.38026801
T16 06/02/24 12:00 ,1.6824,0.17692,140.0750997,12.63109797
F1_IN 06/02/24 18:00 ,1.3574,0.22562,113.0158942,16.10800545
F2_IN 06/02/24 18:00 ,1.2484,0.15196,103.9406529,10.84909365
T1 06/02/24 18:00 ,1.4204,0.15567,118.2612171,11.11396689
T2 06/02/24 18:00 ,1.2714,0.15449,105.8556121,11.02972149
T3 06/02/24 18:00 ,1.2044,0.16682,100.2772528,11.91001449
T4 06/02/24 18:00 ,1.5374,0.15008,128.0025311,10.71487217
T5 06/02/24 18:00 ,1.2934,0.15911,107.6873121,11.35956364
T6 06/02/24 18:00,1.5464,0.22192,128.7518629,15.84384616
T7 06/02/24 18:00 ,1.3214,0.16377,110.0185668,11.69226156
T8 06/02/24 18:00 ,5.1504,0.16905,428.8176376,12.06922401
T9 06/02/24 18:00,1.6884,0.31972,140.5746543,22.82621888
T10 06/02/24 18:00 ,1.4824,0.24722,123.4232809,17.65012458
T11 06/02/24 18:00 ,4.6584,0.23022,387.8541634,16.43641971
T12 06/02/24 18:00 ,1.4794,0.21692,123.1735036,15.48687414
T13 06/02/24 18:00 ,1.5764,0.21842,131.2496357,15.59396574
T14 06/02/24 18:00,1.2354,0.16451,102.8582847,11.74509342
T15 06/02/24 18:00 ,1.5494,0.25382,129.0016402,18.12132765
T16 06/02/24 18:00 ,1.6134,0.28202,134.3302222,20.13464985
F1_IN 06/03/24 0:00 ,3.8264,0.16384,318.5825972,11.69725917
F2_IN 06/03/24 0:00 ,3.8684,0.15447,322.0794791,11.0282936
T1 06/03/24 0:00 ,1.8994,0.28342,158.1423231,20.23460201
T2 06/03/24 0:00 ,4.2644,0.1692,355.0500803,12.07993317
T3 06/03/24 0:00 ,4.0454,0.18142,336.8163388,12.95237279
T4 06/03/24 0:00 ,1.3054,0.1425,108.6864213,10.17370259
T5 06/03/24 0:00 ,3.7404,0.15831,311.4223151,11.30244811
T6 06/03/24 0:00 ,1.1394,0.14535,94.86541167,10.37717664
T7 06/03/24 0:00 ,1.1094,0.14185,92.36763886,10.12729622
T8 06/03/24 0:00 ,1.0304,0.14229,85.79017043,10.15870976
T9 06/03/24 0:00 ,1.0664,0.14926,88.78749781,10.65632876
T10 06/03/24 0:00 ,1.0434,0.15175,86.87253865,10.83410082
T11 06/03/24 0:00 ,0.9794,0.14112,81.54395664,10.07517831
T12 06/03/24 0:00 ,1.0054,0.14217,83.70869308,10.15014243
T13 06/03/24 0:00,4.3504,0.158,362.2103624,11.28031585
T14 06/03/24 0:00,1.1954,0.13785,99.52792094,9.841718606
T15 06/03/24 0:00 ,1.1184,0.1698,93.1169707,12.12276982
T16 06/03/24 0:00 ,1.0744,0.15475,89.45357057,11.04828404
F1_IN 06/03/24 6:00 ,0.9016,0.14153,75.06639913,10.10445001
T1 06/03/24 6:00 ,1.0154,0.14082,84.54128402,10.05375999
T2 06/03/24 6:00 ,0.9534,0.13379,79.3792202,9.551857325
T3 06/03/24 6:00 ,0.8591,0.14462,71.52788763,10.32505872
T4 06/03/24 6:00 ,1.5814,0.19512,131.6659312,13.93047613
