TANK_NUM,DATE,TIME,TREATMENT,NPOC_mg_L,TN_mg_L,NPOC_uM,TN_uM,DATETIME
Inflow1,20240602,12:00:00,Inflow,1.666633333,0.164198333,138.7623813,11.72284216,2024-06-02T12:00:00Z
Inflow2,20240602,12:00:00,Inflow,1.754633333,0.167808333,146.0891816,11.98057596,2024-06-02T12:00:00Z
1,20240602,12:00:00,Algae_Dom,2.588633333,0.211058333,215.527266,15.06838394,2024-06-02T12:00:00Z
2,20240602,12:00:00,Rubble_Dom,1.914633333,0.200058333,159.4106366,14.28304549,2024-06-02T12:00:00Z
3,20240602,12:00:00,Control,2.494633333,0.360358333,207.7009111,25.72756847,2024-06-02T12:00:00Z
4,20240602,12:00:00,Algae_Dom,3.102633333,0.202858333,258.3224403,14.48294983,2024-06-02T12:00:00Z
5,20240602,12:00:00,Rubble_Dom,1.707633333,0.186058333,142.1760042,13.28352384,2024-06-02T12:00:00Z
6,20240602,12:00:00,Coral_Dom,2.209633333,0.270758333,183.9720693,19.33062987,2024-06-02T12:00:00Z
7,20240602,12:00:00,Coral_Dom,1.766633333,0.194358333,147.0882907,13.87609739,2024-06-02T12:00:00Z
8,20240602,12:00:00,Control,1.650633333,0.189458333,137.4302358,13.52626481,2024-06-02T12:00:00Z
9,20240602,12:00:00,Coral_Dom,1.739633333,0.175988333,144.8402952,12.56458219,2024-06-02T12:00:00Z
10,20240602,12:00:00,Rubble_Dom,2.194633333,0.319158333,182.7231829,22.78611902,2024-06-02T12:00:00Z
11,20240602,12:00:00,Control,1.545633333,0.195558333,128.688031,13.96177068,2024-06-02T12:00:00Z
12,20240602,12:00:00,Rubble_Dom,1.831633333,0.242258333,152.5001318,17.29588935,2024-06-02T12:00:00Z
13,20240602,12:00:00,Algae_Dom,1.777633333,0.195558333,148.0041408,13.96177068,2024-06-02T12:00:00Z
14,20240602,12:00:00,Algae_Dom,1.6704,0.15784,139.0759906,11.26889274,2024-06-02T12:00:00Z
15,20240602,12:00:00,Control,1.5954,0.1594,132.8315585,11.38026801,2024-06-02T12:00:00Z
16,20240602,12:00:00,Coral_Dom,1.6824,0.17692,140.0750997,12.63109797,2024-06-02T12:00:00Z
Inflow1,20240602,18:00:00,Inflow,1.3574,0.22562,113.0158942,16.10800545,2024-06-02T18:00:00Z
Inflow2,20240602,18:00:00,Inflow,1.2484,0.15196,103.9406529,10.84909365,2024-06-02T18:00:00Z
1,20240602,18:00:00,Algae_Dom,1.4204,0.15567,118.2612171,11.11396689,2024-06-02T18:00:00Z
2,20240602,18:00:00,Rubble_Dom,1.2714,0.15449,105.8556121,11.02972149,2024-06-02T18:00:00Z
3,20240602,18:00:00,Control,1.2044,0.16682,100.2772528,11.91001449,2024-06-02T18:00:00Z
4,20240602,18:00:00,Algae_Dom,1.5374,0.15008,128.0025311,10.71487217,2024-06-02T18:00:00Z
5,20240602,18:00:00,Rubble_Dom,1.2934,0.15911,107.6873121,11.35956364,2024-06-02T18:00:00Z
6,20240602,18:00:00,Coral_Dom,1.5464,0.22192,128.7518629,15.84384616,2024-06-02T18:00:00Z
7,20240602,18:00:00,Coral_Dom,1.3214,0.16377,110.0185668,11.69226156,2024-06-02T18:00:00Z
8,20240602,18:00:00,Control,5.913,0.158,492.32,11.29,2024-06-02T18:00:00Z
9,20240602,18:00:00,Coral_Dom,1.6884,0.31972,140.5746543,22.82621888,2024-06-02T18:00:00Z
10,20240602,18:00:00,Rubble_Dom,1.4824,0.24722,123.4232809,17.65012458,2024-06-02T18:00:00Z
11,20240602,18:00:00,Control,5.481,0.172,456.31,12.31,2024-06-02T18:00:00Z
12,20240602,18:00:00,Rubble_Dom,1.4794,0.21692,123.1735036,15.48687414,2024-06-02T18:00:00Z
13,20240602,18:00:00,Algae_Dom,1.5764,0.21842,131.2496357,15.59396574,2024-06-02T18:00:00Z
14,20240602,18:00:00,Algae_Dom,1.2354,0.16451,102.8582847,11.74509342,2024-06-02T18:00:00Z
15,20240602,18:00:00,Control,1.5494,0.25382,129.0016402,18.12132765,2024-06-02T18:00:00Z
