Software Version,3.16.10,,
,,,
,,,
,,,
Experiment File Path:,C:\Users\synergy\Desktop\Putnam\MO24BEAST_Chl_Run1.xpt,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,
,,,
,,,
,,,
Plate Number,Plate 2,,
Date,7/4/24,,
Time,1:58:32 AM,,
Reader Type:,Synergy HTX,,
Reader Serial Number:,19041023,,
Reading Type,Reader,,
,,,
Procedure Details,,,
,,,
Plate Type,96 WELL PLATE,,
Eject plate on completion,,,
Read,Absorbance Endpoint,,
,Full Plate,,
,"Wavelengths:  630, 663, 750",,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,
,,,
,,,
,,,
Actual Temperature:,26,,
,,,
,,,
,,,
Actual Temperature:,26,,
,,,
,,,
,,,
Actual Temperature:,26,,
,,,
Results,,,
,,,
WELL,750,663,630
A1,0.019,0.027,0.031
A2,0.058,0.106,0.075
A3,0.043,0.224,0.098
A4,0.032,0.173,0.074
A5,0.033,0.093,0.052
A6,0.035,0.176,0.08
A7,0.034,0.135,0.07
A8,0.038,0.206,0.085
A9,0.032,0.116,0.056
A10,0.031,0.11,0.055
A11,0.033,0.13,0.059
A12,0.032,0.34,0.12
B1,0.034,0.108,0.055
B2,0.035,0.174,0.078
B3,0.048,0.096,0.064
B4,0.036,0.401,0.143
B5,0.036,0.106,0.057
B6,0.032,0.201,0.081
B7,0.034,0.252,0.099
B8,0.043,0.182,0.086
B9,0.033,0.148,0.067
B10,0.031,0.091,0.05
B11,0.063,0.104,0.067
B12,0.029,0.029,0.029
C1,0.031,0.032,0.032
C2,0.031,0.031,0.032
C3,0.029,0.029,0.029
C4,0.033,0.035,0.034
C5,0.029,0.03,0.03
C6,0.031,0.033,0.032
C7,0.028,0.029,0.029
C8,0.029,0.029,0.03
C9,0.031,0.031,0.031
C10,0.029,0.03,0.03
C11,0.029,0.03,0.03
C12,0.029,0.03,0.03
D1,0.032,0.034,0.033
D2,0.032,0.033,0.033
D3,0.031,0.033,0.033
D4,0.029,0.03,0.029
D5,0.029,0.03,0.03
D6,0.03,0.032,0.032
D7,0.03,0.03,0.031
D8,0.031,0.032,0.033
D9,0.03,0.031,0.031
D10,0.031,0.032,0.032
D11,0.032,0.034,0.034
D12,0.033,0.035,0.034
E1,0.032,0.033,0.034
E2,0.032,0.033,0.033
E3,0.035,0.036,0.037
E4,0.032,0.034,0.034
E5,0.046,0.047,0.048
E6,0.032,0.033,0.033
E7,0.029,0.03,0.03
E8,0.03,0.03,0.031
E9,0.031,0.032,0.032
E10,0.032,0.033,0.033
E11,0.033,0.035,0.034
E12,0.031,0.033,0.033
F1,0.031,0.032,0.032
F2,0.033,0.034,0.034
F3,0.033,0.034,0.034
F4,0.033,0.036,0.035
F5,0.031,0.032,0.032
F6,0.035,0.036,0.037
F7,0.031,0.032,0.032
F8,0.031,0.032,0.032
F9,0.032,0.033,0.033
F10,0.032,0.033,0.033
F11,0.038,0.042,0.04
F12,0.029,0.029,0.03
G1,0.033,0.034,0.034
G2,0.037,0.04,0.04
G3,0.033,0.034,0.035
G4,0.034,0.035,0.035
G5,0.035,0.037,0.038
G6,0.035,0.037,0.036
G7,0.031,0.032,0.032
G8,0.033,0.034,0.035
G9,0.033,0.035,0.035
G10,0.052,0.057,0.058
G11,0.035,0.037,0.038
G12,0.032,0.032,0.033
H1,0.039,0.041,0.041
H2,0.032,0.032,0.032
H3,0.034,0.038,0.036
H4,0.03,0.031,0.031
H5,0.034,0.035,0.035
H6,0.036,0.037,0.037
H7,0.033,0.034,0.034
H8,0.031,0.033,0.033
H9,0.032,0.033,0.033
H10,0.034,0.035,0.035
H11,0.032,0.035,0.035
H12,0.05,0.05,0.051
