CORAL_NUM,GENOTYPE,CORAL_TANK_NUM,TANK_NUM,TREATMENT,750,663,630,Chla,Chlc,Chla_norm,Chlc_norm,Chl_total,SA_cm_2,chla.ug.cm2,chlc2.ug.cm2
151,W,5,3,Control,0.452,0.424,0.25,-0.3179333333333338,-5.30278,-0.33591666666666686,-5.3238199999999996,-5.659736666666666,38.93867158,-0.008164976370088428,-0.13618286872230273
14,B,6,3,Control,0.075,0.166,0.102,1.7047500000000002,0.18087999999999982,1.6497333333333335,0.14484999999999978,1.7945833333333332,86.99488052,0.019595980703807976,0.002079202809622984
27,I,18,9,Coral_Dom,0.086,0.14,0.1,1.0137666666666671,0.05256000000000022,0.995783333333334,0.03152000000000049,1.0273033333333346,87.50111598,0.011585756996497991,6.006780532035018e-4
101,U,13,7,Coral_Dom,0.059,0.097,0.07,0.7121666666666668,0.06809000000000023,0.6571500000000001,0.0320600000000002,0.6892100000000003,68.84272334,0.010344835766438562,9.890660435340098e-4
50,I,24,12,Rubble_Dom,0.061,0.137,0.084,1.423266666666667,0.16327000000000008,1.4052833333333339,0.14223000000000036,1.5475133333333342,88.98366268,0.01599469637235511,0.0018348311935320765
71,M,16,8,Control,0.034,0.094,0.057,1.1184666666666667,0.26007,1.06345,0.22404,1.28749,29.03092045,0.038526738020346396,0.008958379409565018
159,H,24,12,Rubble_Dom,0.034,0.169,0.076,2.5269500000000003,0.3210299999999997,2.5089666666666672,0.29999,2.808956666666667,65.44371383,0.038612570285423246,0.004905436767141975
159,H,24,12,Rubble_Dom,0.034,0.169,0.076,2.5269500000000003,0.3210299999999997,2.5089666666666672,0.29999,2.808956666666667,61.57462854,0.0410388184211042,0.005213673352352467
125,T,15,8,Control,0.033,0.173,0.072,2.6253999999999995,0.20950999999999986,2.570383333333333,0.17347999999999983,2.7438633333333327,59.51352703,0.04411434057128843,0.003520376130528923
162,O,28,14,Algae_Dom,0.04,0.09,0.056,0.9354333333333331,0.13094000000000006,0.91745,0.10990000000000033,1.0273500000000002,34.67182986,0.02697963554593115,0.0037765529113611093
