WELL,CORAL_NUM,GENOTYPE,TANKID,TREATMENT
A1,BLANK,NA,5,NA
A2,151,W,5,Control
A3,14,B,6,Control
A4,27,I,18,Coral_Dom
A5,101,U,13,Coral_Dom
A6,50,I,24,Rubble_Dom
A7,71,M,16,Coral_Dom
A8,159,H,24,Rubble_Dom
A9,125,T,15,Control
A10,162,O,28,Algae_Dom
A11,135,P,25,Algae_Dom
A12,104,G,15,Control
B1,59,K,7,Algae_Dom
B2,136,S,31,Coral_Dom
B3,6,J,2,Algae_Dom
B4,60,J,21,Control
B5,31,F,NA,Pre
B6,95,L,31,Coral_Dom
B7,205,X,NA,Pre
B8,111,A,19,Rubble_Dom
B9,62,R,19,Rubble_Dom
B10,99,K,NA,Pre
B11,85,E,21,Control
B12,118,N,8,Algae_Dom
C1,204,Q,26,Algae_Dom
C2,137,P,18,Coral_Dom
C3,80,S,20,Rubble_Dom
C4,36,W,23,Rubble_Dom
C5,114,S,1,Algae_Dom
C6,38,I,14,Algae_Dom
C7,100,U,10,Algae_Dom
C8,25,M,9,Rubble_Dom
C9,117,J,4,Rubble_Dom
C10,147,H,11,Coral_Dom
C11,15,V,15,Control
C12,33,F,1,Algae_Dom
D1,37,C,14,Coral_Dom
D2,19,L,20,Rubble_Dom
D3,115,W,16,Coral_Dom
D4,76,K,13,Coral_Dom
D5,78,L,27,Control
D6,91,G,NA,Pre
D7,203,X,27,Algae_Dom
D8,208,X,14,Coral_Dom
D9,21,N,22,Control
D10,106,D,20,Coral_Dom
D11,144,V,NA,Pre
D12,86,E,26,Algae_Dom
E1,140,V,16,Coral_Dom
E2,57,Q,NA,Pre
E3,97,V,26,Algae_Dom
E4,156,H,7,Algae_Dom
E5,108,F,23,Rubble_Dom
E6,2,M,25,Algae_Dom
E7,53,L,1,Algae_Dom
E8,73,B,10,Rubble_Dom
E9,29,C,NA,Pre
E10,35,R,NA,Pre
E11,153,D,28,Algae_Dom
E12,51,F,12,Coral_Dom
F1,1,T,13,Coral_Dom
F2,46,C,29,Algae_Dom
F3,148,O,12,Coral_Dom
F4,127,P,22,Rubble_Dom
F5,12,T,NA,Pre
F6,157,W,NA,Pre
F7,40,A,32,Coral_Dom
F8,28,P,5,Control
F9,123,S,28,Control
F10,121,P,NA,Pre
F11,48,C,31,Control
F12,41,B,31,Coral_Dom
G1,18,V,4,Rubble_Dom
G2,11,M,6,Control
G3,150,H,NA,Pre
G4,58,A,29,Control
G5,90,G,23,Rubble_Dom
G6,68,F,30,Control
G7,155,W,8,Algae_Dom
G8,149,O,3,Rubble_Dom
G9,16,B,7,Algae_Dom
G10,43,N,12,Coral_Dom
G11,66,R,29,Control
G12,22,N,NA,Pre
H1,8,J,11,Coral_Dom
H2,141,T,8,Algae_Dom
H3,207,X,11,Rubble_Dom
H4,82,A,NA,Pre
H5,13,U,9,Rubble_Dom
H6,67,U,NA,Pre
H7,65,D,29,Control
H8,210,Q,17,Coral_Dom
H9,83,S,NA,Pre
H10,23,L,NA,Pre
H11,139,T,24,Rubble_Dom
H12,161,H,5,Control
