WELL,CORAL_NUM,GENOTYPE,CORAL_TANK_NUM,TANK_NUM,TREATMENT,BLASTATE_ML
B4,92,G,2,1,Algae_Dom,24
B7,74,E,20,10,Rubble_Dom,29
A12,102,I,30,15,Control,34
A8,138,R,32,16,Coral_Dom,42
B6,146,O,21,11,Control,46
B3,163,O,NA,NA,Pre,48
A10,63,E,17,9,Coral_Dom,55
A4,96,N,19,10,Rubble_Dom,62
A7,55,D,NA,NA,Pre,74
A6,105,J,NA,NA,Pre,75
B8,34,E,NA,NA,Pre,76
B9,206,Q,4,2,Rubble_Dom,76
A3,94,B,NA,NA,Pre,78
A9,49,M,NA,NA,Pre,79
B10,113,C,3,2,Rubble_Dom,114
B2,110,K,9,5,Rubble_Dom,132
B1,10,G,17,9,Coral_Dom,134
B11,134,U,22,11,Control,134
A5,56,A,28,14,Algae_Dom,136
B5,128,R,25,13,Algae_Dom,142
A11,64,K,22,11,Control,152
A2,145,D,10,5,Rubble_Dom,168
A1,BLANK,NA,NA,NA,NA,NA
B12,EMPTY,NA,,,NA,NA
C1,EMPTY,NA,,,NA,NA
C2,EMPTY,NA,,,NA,NA
C3,EMPTY,NA,,,NA,NA
C4,EMPTY,NA,,,NA,NA
C5,EMPTY,NA,,,NA,NA
C6,EMPTY,NA,,,NA,NA
C7,EMPTY,NA,,,NA,NA
C8,EMPTY,NA,,,NA,NA
C9,EMPTY,NA,,,NA,NA
C10,EMPTY,NA,,,NA,NA
C11,EMPTY,NA,,,NA,NA
C12,EMPTY,NA,,,NA,NA
D1,EMPTY,NA,,,NA,NA
D2,EMPTY,NA,,,NA,NA
D3,EMPTY,NA,,,NA,NA
D4,EMPTY,NA,,,NA,NA
D5,EMPTY,NA,,,NA,NA
D6,EMPTY,NA,,,NA,NA
D7,EMPTY,NA,,,NA,NA
D8,EMPTY,NA,,,NA,NA
D9,EMPTY,NA,,,NA,NA
D10,EMPTY,NA,,,NA,NA
D11,EMPTY,NA,,,NA,NA
D12,EMPTY,NA,,,NA,NA
E1,EMPTY,NA,,,NA,NA
E2,EMPTY,NA,,,NA,NA
E3,EMPTY,NA,,,NA,NA
E4,EMPTY,NA,,,NA,NA
E5,EMPTY,NA,,,NA,NA
E6,EMPTY,NA,,,NA,NA
E7,EMPTY,NA,,,NA,NA
E8,EMPTY,NA,,,NA,NA
E9,EMPTY,NA,,,NA,NA
E10,EMPTY,NA,,,NA,NA
E11,EMPTY,NA,,,NA,NA
E12,EMPTY,NA,,,NA,NA
F1,EMPTY,NA,,,NA,NA
F2,EMPTY,NA,,,NA,NA
F3,EMPTY,NA,,,NA,NA
F4,EMPTY,NA,,,NA,NA
F5,EMPTY,NA,,,NA,NA
F6,EMPTY,NA,,,NA,NA
F7,EMPTY,NA,,,NA,NA
F8,EMPTY,NA,,,NA,NA
F9,EMPTY,NA,,,NA,NA
F10,EMPTY,NA,,,NA,NA
F11,EMPTY,NA,,,NA,NA
F12,EMPTY,NA,,,NA,NA
G1,EMPTY,NA,,,NA,NA
G2,EMPTY,NA,,,NA,NA
G3,EMPTY,NA,,,NA,NA
G4,EMPTY,NA,,,NA,NA
G5,EMPTY,NA,,,NA,NA
G6,EMPTY,NA,,,NA,NA
G7,EMPTY,NA,,,NA,NA
G8,EMPTY,NA,,,NA,NA
G9,EMPTY,NA,,,NA,NA
G10,EMPTY,NA,,,NA,NA
G11,EMPTY,NA,,,NA,NA
G12,EMPTY,NA,,,NA,NA
H1,EMPTY,NA,,,NA,NA
H2,EMPTY,NA,,,NA,NA
H3,EMPTY,NA,,,NA,NA
H4,EMPTY,NA,,,NA,NA
H5,EMPTY,NA,,,NA,NA
H6,EMPTY,NA,,,NA,NA
H7,EMPTY,NA,,,NA,NA
H8,EMPTY,NA,,,NA,NA
H9,EMPTY,NA,,,NA,NA
H10,EMPTY,NA,,,NA,NA
H11,EMPTY,NA,,,NA,NA
H12,EMPTY,NA,,,NA,NA
