RUN,WELL_ID,TREATMENT,CORAL_NUM,GENOTYPE,
1,A1,BLANK,BLANK,BLANK,
2,A1,,BLANK,,
2,A10,Coral_Dom,63,E,
1,A10,Algae_Dom,162,O,
2,A11,Control,64,K,
1,A11,Algae_Dom,135,P,
1,A12,Control,104,G,
2,A12,Algae_Dom,102,I,
2,A2,Rubble_Dom,145,D,
1,A2,Control,151,W,
1,A3,Control,14,B,
2,A3,Rubble_Dom,94,B,
1,A4,Coral_Dom,27,I,
2,A4,Rubble_Dom,96,N,
2,A5,Algae_Dom,56,A,
1,A5,Coral_Dom,101,U,
1,A6,Rubble_Dom,50,I,
2,A6,NA,105,J,
2,A7,NA,55,D,Colony replaced
1,A7,Coral_Dom,71,M,
1,A8,Rubble_Dom,159,H,
2,A8,Coral_Dom,138,R,
2,A9,NA,49,M,
1,A9,Control,125,T,
2,B1,Coral_Dom,10,G,
1,B1,Algae_Dom,59,K,
2,B10,Rubble_Dom,113,C,
1,B10,NA,99,K,
1,B11,Control,85,E,
2,B11,Rubble_Dom,134,U,
1,B12,Algae_Dom,118,N,
2,B12,NA,EMPTY,NA,
2,B2,Rubble_Dom,110,K,
1,B2,Coral_Dom,136,S,
2,B3,NA,163,O,
1,B3,,,,
2,B4,Algae_Dom,92,G,
1,B4,,,,
1,B5,NA,31,F,
2,B5,Algae_Dom,128,R,
1,B6,Coral_Dom,95,L,
2,B6,Control,146,O,
2,B7,Rubble_Dom,74,E,
1,B7,NA,205,X,
1,B8,Rubble_Dom,111,A,
2,B8,NA,34,E,
1,B9,Rubble_Dom,62,R,
2,B9,Rubble_Dom,206,X,
1,C1,Algae_Dom,204,X,
1,C10,Coral_Dom,147,H,
1,C11,Rubble_Dom,15,V,
1,C12,Control,33,F,
1,C2,Coral_Dom,137,P,
1,C3,Rubble_Dom,80,S,
1,C4,Rubble_Dom,36,W,
1,C5,Control,114,S,
1,C6,Control,38,I,
1,C7,Algae_Dom,100,U,
1,C8,Rubble_Dom,25,M,
1,C9,Rubble_Dom,117,J,
1,D1,Control,37,C,
1,D10,Control,106,D,
1,D11,NA,144,V,
1,D12,Algae_Dom,86,E,
1,D2,Rubble_Dom,19,L,
1,D3,Coral_Dom,115,W,
1,D4,Coral_Dom,76,K,
1,D5,Algae_Dom,78,L,
1,D6,Control,91,G,
1,D7,Algae_Dom,203,X,
1,D8,Coral_Dom,208,X,
1,D9,Control,21,N,
1,E1,Coral_Dom,140,V,
1,E10,NA,35,R,
1,E11,Control,153,D,
1,E12,Coral_Dom,51,F,
1,E2,NA,57,X,
1,E3,Algae_Dom,97,V,
1,E4,Algae_Dom,156,H,
1,E5,Rubble_Dom,108,F,
1,E6,Algae_Dom,2,M,
1,E7,Control,53,L,
1,E8,,75,H,
1,E9,Coral_Dom,29,C,
1,F1,Coral_Dom,1,T,
1,F10,,160,D,
1,F11,,48,I,
1,F12,Coral_Dom,41,B,
1,F2,Algae_Dom,46,C,
1,F3,Coral_Dom,148,O,
1,F4,Rubble_Dom,127,P,
1,F5,NA,12,T,
1,F6,Rubble_Dom,157,W,
1,F7,Coral_Dom,40,A,
1,F8,Control,28,P,
1,F9,Algae_Dom,123,S,
1,G1,Control,18,V,
1,G10,Coral_Dom,43,N,
1,G11,Control,66,R,
1,G12,NA,22,N,
1,G2,Control,11,M,
1,G3,NA,150,H,
1,G4,Control,58,A,
1,G5,Rubble_Dom,90,G,
1,G6,Algae_Dom,68,F,
1,G7,Algae_Dom,155,W,
1,G8,Rubble_Dom,149,O,
1,G9,Algae_Dom,16,B,
1,H1,Coral_Dom,8,J,
1,H10,,48,I,
1,H11,Rubble_Dom,139,T,
1,H12,Control,161,H,
1,H2,Algae_Dom,141,T,
1,H3,,207,X,
1,H4,NA,82,A,
1,H5,Control,13,U,
1,H6,NA,67,U,
1,H7,NA,152,D,
1,H8,Coral_Dom,210,X,
1,H9,NA,83,S,
