

Software Version	3.16.10



Experiment File Path:	C:\Users\synergy\Desktop\Putnam\MO24BEAST_Chl_Run1.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Chlorophyll.prt



Plate Number	Plate 1
Date	7/4/2024
Time	1:34:34 AM
Reader Type:	Synergy HTX
Reader Serial Number:	19041023
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  630, 663, 750
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	25.5



Actual Temperature:	25.5



Actual Temperature:	25.5

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.077	0.250	0.102	0.100	0.070	0.084	0.057	0.076	0.072	0.056	0.082	0.072	630
	0.078	0.424	0.166	0.140	0.097	0.137	0.094	0.169	0.173	0.090	0.178	0.150	663
	0.075	0.452	0.075	0.086	0.059	0.061	0.034	0.034	0.033	0.040	0.035	0.036	750
B	0.184	0.143	0.121	0.140	0.084	0.079	0.081	0.053	0.121	0.075	0.097	0.051	630
	0.315	0.177	0.189	0.211	0.153	0.170	0.149	0.098	0.299	0.154	0.235	0.098	663
	0.123	0.123	0.090	0.093	0.060	0.040	0.042	0.034	0.039	0.035	0.035	0.039	750
C	0.097	0.147	0.192	0.150	0.151	0.131	0.089	0.059	0.064	0.069	0.110	0.101	630
	0.125	0.158	0.258	0.328	0.309	0.328	0.180	0.093	0.109	0.151	0.233	0.232	663
	0.063	0.115	0.129	0.072	0.116	0.050	0.045	0.044	0.042	0.033	0.042	0.035	750
D	0.074	0.095	0.107	0.122	0.098	0.074	0.075	0.063	0.067	0.049	0.064	0.078	630
	0.139	0.191	0.166	0.209	0.139	0.137	0.165	0.124	0.128	0.075	0.118	0.197	663
	0.055	0.058	0.077	0.069	0.072	0.043	0.036	0.035	0.037	0.035	0.037	0.035	750
E	0.053	0.052	0.046	0.090	0.057	0.051	0.098	0.072	0.054	0.053	0.092	0.072	630
	0.089	0.074	0.059	0.174	0.090	0.089	0.232	0.154	0.095	0.096	0.220	0.132	663
	0.036	0.042	0.038	0.045	0.043	0.036	0.037	0.036	0.036	0.037	0.033	0.048	750
F	0.065	0.066	0.055	0.117	0.067	0.066	0.077	0.064	0.075	0.043	0.106	0.054	630
	0.126	0.138	0.099	0.268	0.138	0.140	0.172	0.142	0.158	0.062	0.270	0.079	663
	0.039	0.043	0.033	0.041	0.036	0.037	0.034	0.037	0.041	0.036	0.035	0.038	750
G	0.056	0.059	0.072	0.063	0.073	0.092	0.113	0.057	0.108	0.107	0.061	0.074	630
	0.097	0.098	0.119	0.094	0.157	0.204	0.281	0.081	0.241	0.271	0.123	0.121	663
	0.037	0.036	0.050	0.046	0.037	0.039	0.039	0.040	0.038	0.043	0.038	0.048	750
H	0.054	0.068	0.101	0.068	0.059	0.062	0.092	0.073	0.070	0.050	0.082	0.044	630
	0.104	0.126	0.238	0.137	0.075	0.097	0.163	0.130	0.107	0.071	0.192	0.058	663
	0.046	0.042	0.042	0.035	0.050	0.038	0.042	0.050	0.043	0.048	0.036	0.037	750

