SAMPLEID,CORAL_NUM,GENOTYPE,TREATMENT,VOLUME(ML),BP(G),BP+DR(G),DTB(G),BP+BR(G),AFDW
J_6,6,J,Algae_Dom,1,0.9601,0.9923,0.0322,0.9857,0.0066
J_6_a,6,J,Algae_Dom,1,0.9665,0.9969,0.0304,0.9895,0.0074
J_6_b,6,J,Algae_Dom,1,0.9641,0.9942,0.0301,0.9863,0.0079
J_8,8,J,Coral_Dom,1,0.9733,1.0093,0.036,1.0021,0.0072
J_8_a,8,J,Coral_Dom,1,0.9636,0.9966,0.033,0.9883,0.0083
J_8_b,8,J,Coral_Dom,1,0.9723,1.004,0.0317,0.9962,0.0078
G_10,10,G,Coral_Dom,1,0.7904,0.8307,0.0403,0.821,0.0097
G_10_a,10,G,Coral_Dom,1,0.9569,0.9932,0.0363,0.9873,0.0059
G_10_b,10,G,Coral_Dom,1,0.9555,0.9942,0.0387,0.9866,0.0076
M_11,11,M,Control,1,0.7976,0.8298,0.0322,0.8229,0.0069
M_11_a,11,M,Control,1,0.9752,1.005,0.0298,0.9992,0.0058
M_11_b,11,M,Control,1,0.9672,0.9977,0.0305,0.9918,0.0059
U_13,13,U,Rubble_Dom,1,0.7889,0.8376,0.0487,0.8233,0.0143
U_13_a,13,U,Rubble_Dom,1,0.9954,1.0423,0.0469,1.031,0.0113
U_13_b,13,U,Rubble_Dom,1,0.9784,1.0271,0.0487,1.01,0.0171
B_14,14,B,Control,1,0.9735,1.0183,0.0448,1.0073,0.011
B_14_a,14,B,Control,1,0.9644,1.0133,0.0489,0.9984,0.0149
B_14_b,14,B,Control,1,0.9664,1.0142,0.0478,0.9994,0.0148
V_15,15,V,Control,1,0.8016,0.8352,0.0336,0.8276,0.0076
V_15_a,15,V,Control,1,0.9693,0.9963,0.027,0.99,0.0063
V_15_b,15,V,Control,1,0.9691,0.9984,0.0293,0.9912,0.0072
B_16,16,B,Algae_Dom,1,0.9789,1.0276,0.0487,1.0146,0.013
B_16_a,16,B,Algae_Dom,1,0.9762,1.0283,0.0521,1.0129,0.0154
B_16_b,16,B,Algae_Dom,1,0.9613,1.0125,0.0512,0.9968,0.0157
V_18,18,V,Rubble_Dom,1,0.7897,0.8308,0.0411,0.8186,0.0122
V_18_a,18,V,Rubble_Dom,1,0.9596,0.99,0.0304,0.9818,0.0082
V_18_b,18,V,Rubble_Dom,1,0.9863,1.0183,0.032,1.0105,0.0078
L_19,19,L,Rubble_Dom,1,0.7979,0.8311,0.0332,0.8232,0.0079
L_19_a,19,L,Rubble_Dom,1,0.9747,1.0046,0.0299,0.9961,0.0085
L_19_b,19,L,Rubble_Dom,1,0.9807,1.0099,0.0292,1.0031,0.0068
N_21,21,N,Control,1,0.7962,0.8217,0.0255,0.8164,0.0053
N_21_a,21,N,Control,1,0.978,1.0027,0.0247,0.9976,0.0051
N_21_b,21,N,Control,1,0.9739,0.9995,0.0256,0.9936,0.0059
N_22,22,N,Pre,1,0.9911,1.0206,0.0295,1.0155,0.0051
N_22_a,22,N,Pre,1,0.9674,0.9986,0.0312,0.9915,0.0071
N_22_b,22,N,Pre,1,0.9634,0.9956,0.0322,0.9889,0.0067
M_25,25,M,Rubble_Dom,1,0.7876,0.8187,0.0311,0.809,0.0097
M_25_a,25,M,Rubble_Dom,1,0.9636,0.9944,0.0308,0.9865,0.0079
M_25_b,25,M,Rubble_Dom,1,0.9615,0.9927,0.0312,0.985,0.0077
I_27,27,I,Coral_Dom,1,0.7888,0.8154,0.0266,0.8114,0.004
I_27_a,27,I,Coral_Dom,1,0.9702,0.9961,0.0259,0.9912,0.0049
I_27_b,27,I,Coral_Dom,1,0.9723,0.9978,0.0255,0.9927,0.0051
P_28,28,P,Control,1,0.7874,0.8086,0.0212,0.8051,0.0035
P_28_a,28,P,Control,1,0.9777,0.9977,0.02,0.9943,0.0034
P_28_b,28,P,Control,1,0.9894,1.0099,0.0205,1.0059,0.004
F_31,31,F,Pre,1,0.9614,1.0046,0.0432,0.9955,0.0091
F_31_a,31,F,Pre,1,0.9711,1.0178,0.0467,1.0062,0.0116
F_31_b,31,F,Pre,1,0.9621,1.0074,0.0453,0.9963,0.0111
F_33,33,F,Algae_Dom,1,0.7936,0.8275,0.0339,0.819,0.0085
F_33_a,33,F,Algae_Dom,1,0.9723,0.988,0.0157,0.9838,0.0042
F_33_b,33,F,Algae_Dom,1,0.9828,0.9982,0.0154,0.9948,0.0034
E_34,34,E,Pre,1,0.9805,1.0178,0.0373,1.0089,0.0089
E_34_a,34,E,Pre,1,0.9639,1.0027,0.0388,0.9922,0.0105
E_34_b,34,E,Pre,1,0.9631,1.0014,0.0383,0.9912,0.0102
R_35,35,R,Pre,1,0.9629,0.996,0.0331,0.9889,0.0071
R_35_a,35,R,Pre,1,0.9778,1.0122,0.0344,1.0037,0.0085
R_35_b,35,R,Pre,1,0.9823,1.0164,0.0341,1.0073,0.0091
W_36,36,W,Rubble_Dom,1,0.7923,0.8326,0.0403,0.8209,0.0117
W_36_a,36,W,Rubble_Dom,1,0.9607,0.9983,0.0376,0.989,0.0093
W_36_b,36,W,Rubble_Dom,1,0.9608,1.0001,0.0393,0.9896,0.0105
C_37,37,C,Coral_Dom,1,0.7914,0.8206,0.0292,0.8149,0.0057
C_37_a,37,C,Coral_Dom,1,0.9662,0.9946,0.0284,0.9879,0.0067
C_37_b,37,C,Coral_Dom,1,0.9673,0.9968,0.0295,0.9901,0.0067
I_38,38,I,Algae_Dom,1,0.7972,0.8324,0.0352,0.8218,0.0106
I_38_a,38,I,Algae_Dom,1,0.9682,1.0035,0.0353,0.9936,0.0099
I_38_b,38,I,Algae_Dom,1,0.9706,1.0067,0.0361,0.9959,0.0108
A_40,40,A,Coral_Dom,1,0.7969,0.8315,0.0346,0.8225,0.009
A_40_a,40,A,Coral_Dom,1,0.9741,1.0051,0.031,0.9981,0.007
A_40_b,40,A,Coral_Dom,1,0.9697,1.002,0.0323,0.9942,0.0078
B_41,41,B,Coral_Dom,1,0.9735,0.998,0.0245,0.9932,0.0048
B_41_a,41,B,Coral_Dom,1,0.9598,0.9862,0.0264,0.9802,0.006
B_41_b,41,B,Coral_Dom,1,0.9582,0.9848,0.0266,0.9782,0.0066
N_43,43,N,Coral_Dom,1,0.9705,1.004,0.0335,0.9957,0.0083
N_43_a,43,N,Coral_Dom,1,0.9651,0.9897,0.0246,0.9836,0.0061
N_43_b,43,N,Coral_Dom,1,0.9632,0.989,0.0258,0.9821,0.0069
C_46,46,C,Algae_Dom,1,0.9797,1.0302,0.0505,1.0188,0.0114
C_46_a,46,C,Algae_Dom,1,0.9824,1.0341,0.0517,1.0198,0.0143
C_46_b,46,C,Algae_Dom,1,0.9662,1.0202,0.054,1.0053,0.0149
C_48,48,C,Control,1,0.9731,1.0151,0.042,1.0074,0.0077
C_48_a,48,C,Control,1,0.9669,1.0103,0.0434,1.0009,0.0094
C_48_b,48,C,Control,1,0.9696,1.0143,0.0447,1.0048,0.0095
I_50,50,I,Rubble_Dom,1,0.971,1.0049,0.0339,0.9976,0.0073
I_50_a,50,I,Rubble_Dom,1,0.9663,1.0011,0.0348,0.9929,0.0082
I_50_b,50,I,Rubble_Dom,1,0.9711,1.0082,0.0371,0.9981,0.0101
F_51,51,F,Coral_Dom,1,0.7938,0.8174,0.0236,0.8119,0.0055
F_51_a,51,F,Coral_Dom,1,0.9851,1.0082,0.0231,1.0029,0.0053
F_51_b,51,F,Coral_Dom,1,0.9802,1.0046,0.0244,0.9994,0.0052
L_53,53,L,Algae_Dom,1,0.9713,0.9959,0.0246,0.9892,0.0067
L_53_a,53,L,Algae_Dom,1,0.9714,0.9959,0.0245,0.9891,0.0068
L_53_b,53,L,Algae_Dom,1,0.9717,0.9973,0.0256,0.9902,0.0071
D_55,55,D,Pre,1,0.9633,0.9982,0.0349,0.9911,0.0071
D_55_a,55,D,Pre,1,0.9612,0.9975,0.0363,0.9894,0.0081
