CoralID,CoralNum,Genotype,Color,Treatment,Initial_weight_g,Final_weight_g,Initial_LE_mm,Final_LE_mm,Notes
A_111,111,A,Yellow,Rubble-Dom,22.274,23.943,64,65,
A_40,40,A,Yellow,Coral-Dom,20.036,21.65,62,63,
A_56,56,A,Yellow,Algae-Dom,12.998,14.621,53,53,
A_58,58,A,Yellow,Control,19.621,22.081,62,63,
A_82,82,A,Yellow,NA,21.431,NA,NA,NA,Initial respo frag; no final BW
B_14,14,B,Pink,Control,20.646,23.782,56,56,
B_16,16,B,Pink,Algae-Dom,19.468,19.972,51,52,
B_41,41,B,Pink,Coral-Dom,33.313,34.375,65,67,
B_73,73,B,Pink,Rubble-Dom,18.631,21.267,54,54,
B_94,94,B,Pink,NA,24.999,NA,NA,NA,Initial respo frag; no final BW
C_113,113,C,Blue,Rubble-Dom,20.047,22.094,63,63,
C_29,29,C,Blue,NA,17.446,NA,NA,NA,Initial respo frag; no final BW
C_37,37,C,Blue,Coral-Dom,28.683,29.654,64,68,
C_46,46,C,Blue,Algae-Dom,18.958,16.139,47,47,
D_106,106,D,Green,Control,11.154,10.666,57,55,
D_145,145,D,Green,Rubble-Dom,17.862,18.436,62,57,
D_152,152,D,Green,NA,22.351,NA,NA,NA,Initial respo frag; no final BW
D_153,153,D,Green,Control,14.548,15.42,49,50,Whole colony was replaced
D_154,154,D,Green,Algae-Dom,15.693,15.755,50,50,
D_160,160,D,Green,Coral-Dom,15.338,16.984,51,52,
E_34,34,E,Pink/Green,NA,16.682,NA,NA,NA,Initial respo frag; no final BW
E_63,63,E,Pink/Green,Coral-Dom,14.365,16.77,49,49,
E_74,74,E,Pink/Green,Rubble-Dom,20.012,22.129,50,52,
E_85,85,E,Pink/Green,Control,19.577,20.009,45,46,
E_86,86,E,Pink/Green,Algae-Dom,13.435,15.531,40,43,
F_108,108,F,Blue/Green,Rubble-Dom,13.178,14.078,57,61,
F_31,31,F,Blue/Green,NA,10.526,NA,NA,NA,Initial respo frag; no final BW
F_33,33,F,Blue/Green,Algae-Dom,16.813,17.954,47,48,
F_51,51,F,Blue/Green,Coral-Dom,17.141,18.787,66,65,
F_68,68,F,Blue/Green,Control,15.299,17.546,70,72,
G_104,10,G,Pink/Yellow,Coral-Dom,13.843,16.425,54,55,
G_104,104,G,Pink/Yellow,Control,19.49,21.013,63,65,
G_90,90,G,Pink/Yellow,Rubble-Dom,9.462,12.064,40,48,
G_91,91,G,Pink/Yellow,NA,16.42,NA,NA,NA,Initial respo frag; no final BW
G_92,92,G,Pink/Yellow,Algae-Dom,13.627,15.644,56,57,
H_147,147,H,Blue/Purple,Coral-Dom,18.085,18.995,60,62,
H_150,150,H,Blue/Purple,NA,22.611,NA,NA,NA,Initial respo frag; no final BW
H_156,156,H,Blue/Purple,Algae-Dom,16.04,16.437,57,58,Replaced all from original H colony
H_159,159,H,Blue/Purple,Rubble-Dom,10.885,10.923,50,50,
H_161,161,H,Blue/Purple,Control,19.071,19.776,75,76,
I_102,102,I,Blue/Yellow,Control,23.686,25.395,62,64,
I_27,27,I,Blue/Yellow,Coral-Dom,18.201,21.343,49,50,
I_38,38,I,Blue/Yellow,Algae-Dom,16.407,18.441,51,52,
I_4,4,I,Blue/Yellow,NA,20.456,NA,NA,NA,Initial respo frag; no final BW
I_50,50,I,Blue/Yellow,Rubble-Dom,30.946,33.254,61,62,
J_105,105,J,Red/Green,NA,20.197,NA,NA,NA,Initial respo frag; no final BW
J_117,117,J,Red/Green,Rubble-Dom,11.414,13.986,53,54,
J_60,6,J,Red/Green,Algae-Dom,18.445,20.444,65,68,
J_60,60,J,Red/Green,Control,14.812,16.254,58,60,
J_8,8,J,Red/Green,Coral-Dom,20.453,22.227,60,61,
K_110,110,K,Pink/Blue,Rubble-Dom,32.146,34.711,82,83,
K_59,59,K,Pink/Blue,Algae-Dom,28.441,31.505,66,67,
K_64,64,K,Pink/Blue,Control,25.691,29.071,65,67,
K_76,76,K,Pink/Blue,Coral-Dom,16.296,17.876,70,68,
K_99,99,K,Pink/Blue,NA,15.441,NA,NA,NA,Initial respo frag; no final BW
L_19,19,L,Blue/Red,Rubble-Dom,9.714,11.911,56,57,
L_23,23,L,Blue/Red,NA,15.226,NA,NA,NA,Initial respo frag; no final BW
L_53,53,L,Blue/Red,Algae-Dom,18.874,21.716,57,60,
L_78,78,L,Blue/Red,Algae-Dom,10.867,11.879,50,54,
