CORALID,GENOTYPE,CORAL_NUM,weight1_g,weight2_g,weight_of_wax_g,date,SA_cm_2
T_1,T,1,25.987,28.783,2.796,7/3/24,92.74426894514568
M_2,M,2,16.917,18.541,1.624,7/3/24,50.36512908655286
J_6,J,6,32.249,34.089,1.84,7/3/24,58.17561902636177
J_8,J,8,34.796,37.068,2.272,7/3/24,73.79659890597961
G_10,G,10,23.514,25.256,1.742,7/3/24,54.63197081292995
M_11,M,11,27.568,29.945,2.377,7/3/24,77.59336484894227
T_12,T,12,14.239,15.848,1.609,7/3/24,49.82273395184391
U_13,U,13,27.546,29.446,1.9,7/3/24,60.34519956519759
B_14,B,14,33.864,36.501,2.637,7/3/24,86.99488051723078
V_15,V,15,19.662,21.465,1.803,7/3/24,56.83771102741302
B_16,B,16,30.603,32.508,1.905,7/3/24,60.52599794343391
V_18,V,18,22.602,24.291,1.689,7/3/24,52.71550800362499
L_19,L,19,15.418,16.64,1.222,7/3/24,35.828939476352936
N_21,N,21,24.428,26.207,1.779,7/3/24,55.9698788118787
N_22,N,22,16.473,17.838,1.365,7/3/24,40.999773093911614
L_23,L,23,23.721,25.789,2.068,6/25/24,66.42002507393785
M_25,M,25,20.624,21.854,1.23,7/3/24,36.11821688153104
I_27,I,27,31.051,33.702,2.651,7/3/24,87.50111597629247
P_28,P,28,20.049,21.862,1.813,7/3/24,57.19930778388566
C_29,C,29,21.02,21.906,0.886,6/25/24,23.6792884588724
F_31,F,31,16.937,18.106,1.169,6/25/24,33.91247666704797
F_33,F,33,28.832,30.107,1.275,7/3/24,37.745402285657896
E_34,E,34,26.255,27.623,1.368,6/25/24,41.10825212085341
R_35,R,35,21.78,23.167,1.387,7/3/24,41.79528595815141
W_36,W,36,23.58,25.235,1.655,7/3/24,51.48607903161803
C_37,C,37,48.752,50.935,2.183,7/3/24,70.57838777337315
I_38,I,38,28.018,30.503,2.485,7/3/24,81.49860981884673
A_40,A,40,36.211,38.47,2.259,7/3/24,73.32652312256518
B_41,B,41,54.249,58.161,3.912,7/3/24,133.09846696749176
N_43,N,43,25.192,26.875,1.683,7/3/24,52.49854994974141
C_46,C,46,24.149,25.594,1.445,7/3/24,43.892547145692696
C_48,C,48,32.464,33.989,1.525,7/3/24,46.78532119747377
I_48,I,48,32.655,35.417,2.762,6/25/24,91.51483997313872
I_50,I,50,52.593,55.285,2.692,7/3/24,88.98366267783028
F_51,F,51,31.373,33.098,1.725,7/3/24,54.01725632692648
L_53,L,53,32.027,34.678,2.651,7/3/24,87.50111597629247
D_55,D,55,13.875,15.072,1.197,6/25/24,34.92494758517135
A_56,A,56,23.454,25.32,1.866,7/3/24,59.11577059319063
Q_57,Q,57,15.025,16.203,1.178,7/3/24,34.237913747873336
A_58,A,58,35.692,38.008,2.316,7/3/24,75.3876246344592
