CORAL_NUM,GENOTYPE,TREATMENT,mean_AFDW,mean_tissue_biomass,mean_blastate
1,T,Coral_Dom,NA,NA,NA
2,M,Algae_Dom,NA,NA,NA
6,J,Algae_Dom,0.0073,6.52507023267338,52
8,J,Coral_Dom,0.0077666666666666665,9.261492762020119,88
10,G,Coral_Dom,0.007733333333333333,18.968136263482286,134
11,M,Control,0.0062,14.22286560369472,178
12,T,Pre,NA,NA,NA
13,U,Rubble_Dom,0.014233333333333334,80.19417232550109,340
14,B,Control,0.013566666666666666,6.23791496031664,40
15,V,Control,0.007033333333333333,4.826021228321798,39
16,B,Algae_Dom,0.0147,5.100287653348851,21
18,V,Rubble_Dom,0.0094,19.614721345377156,110
19,L,Rubble_Dom,0.007733333333333333,4.748489232518398,22
21,N,Control,0.005433333333333333,13.008187299068885,134
22,N,Pre,0.0063,21.819632953485694,142
23,L,Pre,NA,NA,NA
25,M,Rubble_Dom,0.008433333333333334,15.877491089107904,68
27,I,Coral_Dom,0.004666666666666667,10.346534706371791,194
28,P,Control,0.0036333333333333335,2.413782124736522,38
29,C,Pre,NA,NA,NA
31,F,Pre,0.0106,20.00443690979766,64
33,F,Control,0.005366666666666667,3.127974786427072,22
34,E,Pre,0.009866666666666668,18.24126855303199,76
35,R,Pre,0.008233333333333334,40.186350240729396,204
36,W,Rubble_Dom,0.0105,7.341790385314568,36
37,C,Control,0.006366666666666667,11.366085643868766,126
38,I,Algae_Dom,0.010433333333333334,6.913001353573273,54
40,A,Coral_Dom,0.007933333333333334,6.924279397543775,64
41,B,Coral_Dom,0.0058,4.619136597568775,106
43,N,Coral_Dom,0.0071,3.3810457654364225,25
46,C,Algae_Dom,0.013533333333333333,4.624930954821564,15
47,I,Pre,NA,NA,NA
48,C,Coral_Dom,0.008866666666666667,15.161450539177517,80
49,M,Pre,NA,NA,NA
50,I,Rubble_Dom,0.008533333333333334,13.809276478301062,144
51,F,Coral_Dom,0.005333333333333333,7.108839398544847,72
53,L,Algae_Dom,0.006866666666666667,2.5112060671724175,32
55,D,Pre,0.0077,16.314985112909657,74
56,A,Algae_Dom,0.0059,13.573366159177391,136
57,Q,Pre,0.009,34.17264289358168,130
58,A,Control,0.0036999999999999997,5.3496844074791206,109
59,K,Algae_Dom,0.0104,6.528822843323723,54
60,J,Control,0.0069,4.944918320792104,32
62,R,Rubble_Dom,NA,NA,NA
63,E,Coral_Dom,NA,NA,NA
64,K,Control,0.007566666666666667,11.89559208337862,152
65,D,Control,NA,NA,NA
66,R,Control,0.0077,7.56995699785303,68
67,U,Pre,0.012766666666666667,38.907309592245724,186
68,F,Algae_Dom,0.009933333333333334,4.844738775665258,24
71,M,Coral_Dom,0.011033333333333334,38.005454743800016,100
73,B,Rubble_Dom,0.007933333333333334,5.593142630293252,48
74,E,Rubble_Dom,0.011766666666666667,5.800674404153333,29
76,K,Coral_Dom,0.004033333333333333,4.990847327503277,74
78,L,Control,0.0077,10.655946214875783,70
80,S,Rubble_Dom,0.0165,13.944367713956947,15
82,A,Pre,0.0097,16.17473459269022,128
83,S,Pre,0.008266666666666667,35.68254969945125,152
85,E,Control,0.006866666666666667,3.936146313275572,28
86,E,Algae_Dom,0.0149,4.06688372407545,12
90,G,Rubble_Dom,0.0074333333333333335,14.22007841349782,72
91,G,Pre,0.009066666666666667,20.604581266136258,76
92,G,Algae_Dom,0.010766666666666666,5.224303657943392,24
94,B,Pre,NA,NA,NA
95,L,Coral_Dom,0.010733333333333333,3.2516815294400203,24
96,N,Rubble_Dom,0.0041333333333333335,3.7088580542358054,62
97,V,Algae_Dom,0.0027333333333333333,7.211249853754991,178
99,K,Pre,NA,NA,NA
