Sample ID,Volume (mL),Burned pan (g),Burned pan + dry residue (g),Dry tissue biomass (g),Burned pan + burned residue (g),AFDW (g/mL)
6,1,0.9601,0.9923,0.0322,0.9857,0.0066
8,1,0.9733,1.0093,0.036,1.0021,0.0072
10,1,0.7904,0.8307,0.0403,0.821,0.0097
11,1,0.7976,0.8298,0.0322,0.8229,0.0069
13,1,0.7889,0.8376,0.0487,0.8233,0.0143
14,1,0.9735,1.0183,0.0448,1.0073,0.011
15,1,0.8016,0.8352,0.0336,0.8276,0.0076
16,1,0.9789,1.0276,0.0487,1.0146,0.013
18,1,0.7897,0.8308,0.0411,0.8186,0.0122
19,1,0.7979,0.8311,0.0332,0.8232,0.0079
21,1,0.7962,0.8217,0.0255,0.8164,0.0053
22,1,0.9911,1.0206,0.0295,1.0155,0.0051
25,1,0.7876,0.8187,0.0311,0.809,0.0097
27,1,0.7888,0.8154,0.0266,0.8114,0.004
28,1,0.7874,0.8086,0.0212,0.8051,0.0035
31,1,0.9614,1.0046,0.0432,0.9955,0.0091
33,1,0.7936,0.8275,0.0339,0.819,0.0085
34,1,0.9805,1.0178,0.0373,1.0089,0.0089
35,1,0.9629,0.996,0.0331,0.9889,0.0071
36,1,0.7923,0.8326,0.0403,0.8209,0.0117
37,1,0.7914,0.8206,0.0292,0.8149,0.0057
38,1,0.7972,0.8324,0.0352,0.8218,0.0106
40,1,0.7969,0.8315,0.0346,0.8225,0.009
41,1,0.9735,0.998,0.0245,0.9932,0.0048
43,1,0.9705,1.004,0.0335,0.9957,0.0083
46,1,0.9797,1.0302,0.0505,1.0188,0.0114
48,1,0.9731,1.0151,0.042,1.0074,0.0077
50,1,0.971,1.0049,0.0339,0.9976,0.0073
51,1,0.7938,0.8174,0.0236,0.8119,0.0055
53,1,0.9713,0.9959,0.0246,0.9892,0.0067
55,1,0.9633,0.9982,0.0349,0.9911,0.0071
56,1,0.7971,0.8283,0.0312,0.8195,0.0088
57,1,0.9864,1.0263,0.0399,1.0175,0.0088
58,1,0.9775,0.9937,0.0162,0.9922,0.0015
59,1,0.7957,0.8366,0.0409,0.8245,0.0121
60,1,0.9756,1.003,0.0274,0.9967,0.0063
64,1,0.7859,0.8191,0.0332,0.8121,0.007
