Experiment Name:,2024_11_18

Tube Name:,Record Time:,Volume(μL):,All Events ,Symbionts Events,include Events,All Events  Events/μL(V),Symbionts Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,Symbionts Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,Symbionts Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,Symbionts Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,Symbionts Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,Symbionts Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,Symbionts Mean PE-H,include Mean PE-H,All Events  Mean R-Phycocyanin-H,Symbionts Mean R-Phycocyanin-H,include Mean R-Phycocyanin-H
01-Well-A4,2024-11-18 12:18:47,19.2,4,0,0,0.21,0.00,0.00,623692.9,####,####,2416480.0,####,####,624004.1,####,####,5651211.5,####,####,55630.7,####,####,25287.9,####,####,1014889.1,####,####
01-Well-A5,2024-11-18 11:59:49,17.8,27,0,4,1.52,0.00,0.72,507583.1,####,216823.0,1725616.6,####,1522591.6,374810.5,####,111585.7,3692645.0,####,2257345.5,44233.1,####,14744.8,23404.7,####,3969.5,737748.9,####,155910.8
01-Well-B4,2024-11-18 12:21:45,90.1,17601,4601,15922,195.43,51.09,203.32,648090.6,1079340.4,647909.9,1836065.6,2157466.5,1835568.8,954707.4,2830020.5,957223.3,4629989.5,5572064.5,4623270.0,106961.4,276568.6,107269.0,37595.8,63165.8,37736.8,1719402.8,4966199.0,1726337.9
01-Well-B5,2024-11-18 12:19:52,48.0,10486,1680,8590,218.26,34.97,236.56,574692.9,1126017.5,567938.8,1570217.5,2324467.5,1544730.8,699452.0,2846570.8,707020.2,3998177.5,5534265.0,3971067.8,80421.1,280000.7,80963.1,36371.7,65105.9,35885.2,1221552.6,4770541.0,1228371.4
01-Well-C4,2024-11-18 12:24:05,32.9,3085,620,2102,93.63,18.82,99.46,702630.8,1090678.5,707109.8,2021411.1,2054195.9,2046883.1,933695.8,2812253.3,971199.1,4680421.5,5596200.0,4683283.5,102311.4,253220.8,103616.6,45864.0,63030.1,46706.6,1715093.3,4933553.0,1750942.8
01-Well-A5(1),2024-11-18 12:15:44,70.9,13563,2968,11811,191.41,41.89,200.45,520065.7,1061403.1,519794.0,1297844.3,2157840.8,1297363.3,671580.4,2174398.0,677459.6,3981663.8,5527720.5,3960710.5,71575.1,197496.0,72065.5,31986.0,56415.9,32189.2,1287747.9,4102504.8,1294345.9
01-Well-C4(1),2024-11-18 12:25:25,27.7,108,18,79,3.90,0.65,4.93,607388.3,1112791.5,616990.5,1685143.0,1940122.8,1732445.6,799996.2,3181411.3,861913.5,4391795.0,5689902.5,4304500.5,89558.0,299549.7,96976.3,36357.7,59055.3,37425.0,1416228.0,5167906.0,1471719.8
01-Well-A6,2024-11-18 12:34:14,90.0,24174,5890,21855,268.54,65.43,279.23,521121.6,1049764.9,517354.5,1262893.9,2141904.5,1252288.8,715148.3,2168894.0,711373.3,3963067.8,5517495.0,3949787.5,75629.9,198374.6,75207.4,32937.8,57636.0,32619.6,1392705.3,4192365.3,1386624.5
01-Well-B6,2024-11-18 12:36:19,32.0,5,1,4,0.16,0.03,0.20,723672.8,1029318.3,696134.7,2367697.0,2396817.0,2242712.3,683557.4,1504047.3,601658.1,4520688.5,5697450.0,4226269.0,85202.3,167886.1,73069.6,70830.7,55101.9,78541.4,1462314.0,3453824.0,1230822.6
01-Well-C6,2024-11-18 12:40:01,90.1,18120,5194,16255,201.19,57.67,207.56,688170.7,1060435.6,686283.3,1772428.6,2232246.8,1768469.1,887060.8,2253162.5,886498.9,4498179.5,5516870.5,4489044.5,102462.2,219485.1,102499.3,62666.3,73666.8,62711.9,1802256.8,4571027.0,1801271.4
