Experiment Name:,Exp_20241122_1

Tube Name:,Record Time:,Volume(μL):,All Events ,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,P1 Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,P1 Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,P1 Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,P1 Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,P1 Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,P1 Mean PE-H,include Mean PE-H,All Events  Mean R-Phycocyanin-H,P1 Mean R-Phycocyanin-H,include Mean R-Phycocyanin-H
01-Well-A1,2024-11-22 11:22:56,51.0,19995,4011,16983,392.34,78.70,473.10,538938.5,1027420.7,533727.3,1460109.1,2125452.3,1443222.4,738813.2,2448796.0,736331.3,4108200.0,5529321.5,4082981.3,68160.4,191739.9,67696.1,27401.8,52176.3,26866.2,1352640.9,4410391.0,1346257.6
01-Well-A2,2024-11-22 11:42:12,90.1,18371,5117,15673,203.89,56.79,208.87,627315.5,1029580.2,627132.3,1541299.4,1982549.9,1542822.0,882492.6,2275824.3,883858.1,4264907.0,5569670.0,4254846.0,90710.5,205589.3,90587.8,40824.7,66364.6,40615.1,1665684.6,4250019.0,1667731.9
01-Well-B1,2024-11-22 11:26:31,90.0,26885,6040,23221,298.64,67.09,309.78,642677.6,1061422.8,642486.3,1762302.8,2102201.8,1760163.3,753182.9,2289071.8,758887.5,4296629.5,5567378.0,4289718.0,79097.9,213681.7,79789.9,35612.8,63016.4,35422.3,1410244.8,4284015.5,1418121.9
01-Well-B2,2024-11-22 11:44:08,90.0,36161,7145,31351,401.63,79.36,418.18,516430.9,1065870.4,515787.5,1340888.0,2310479.3,1336974.6,677925.9,2324483.0,680147.3,3750048.5,5579772.0,3736509.0,60816.3,181175.4,60838.8,25658.1,53733.0,25611.5,1217921.9,4149937.5,1219030.3
01-Well-C1,2024-11-22 11:28:58,90.0,20043,4720,17427,222.62,52.43,232.47,604427.9,1046090.3,599435.5,1609977.5,2064758.8,1597103.9,817336.5,2424317.3,809660.6,4225009.0,5568980.5,4195033.0,73368.8,181434.8,72774.0,28339.0,43360.5,28051.3,1479717.5,4335242.5,1465604.9
01-Well-D1,2024-11-22 11:32:17,90.0,17655,5742,15277,196.11,63.78,203.80,641929.1,1022588.0,637896.1,1505552.4,1971100.5,1494928.8,1000025.4,2296199.8,996901.6,4308251.0,5563187.0,4296263.0,98504.6,202930.9,98283.3,36286.9,53171.2,35581.4,1843163.3,4206422.5,1839487.4
01-Well-E1,2024-11-22 11:34:25,90.1,28272,8007,24204,313.78,88.87,322.57,653065.8,1025052.4,648788.4,1696759.1,2119046.0,1683450.5,908121.7,2331799.3,906718.9,4318591.0,5497319.5,4291359.0,95596.5,230321.4,95381.7,34957.5,52781.8,34642.2,1688581.9,4341420.0,1683829.5
01-Well-F1,2024-11-22 11:36:21,90.0,29823,6646,25690,331.34,73.84,342.80,522496.8,992778.8,519682.9,1378613.1,2091740.1,1367626.8,746395.2,2306474.0,745548.2,3943766.5,5531384.0,3930970.8,72406.0,194553.6,72491.4,28234.4,49046.3,28123.7,1409329.4,4290093.0,1407328.1
01-Well-G1,2024-11-22 11:38:17,90.0,51419,8143,44045,571.27,90.47,587.72,549341.1,993896.3,545954.2,1565498.9,2039220.4,1552682.3,570809.4,2221217.0,573415.8,4130969.8,5521280.0,4113449.3,53374.9,173166.9,53442.1,24603.1,42610.9,24419.1,1106798.4,4318625.0,1111572.5
01-Well-H1,2024-11-22 11:40:14,90.0,32219,6348,27760,357.82,70.50,370.24,541636.2,1072650.8,539128.6,1292676.6,1867687.5,1283514.0,745696.3,2573807.3,747317.9,3813753.5,5542750.0,3805321.5,66301.6,201090.3,66304.7,24967.5,51347.0,24839.5,1321764.4,4503665.5,1325706.4
01-Well-A1(1),2024-11-22 11:24:18,90.0,38883,7979,33887,431.94,88.64,452.11,534089.0,1033897.1,532190.6,1439962.4,2129646.5,1433803.5,741689.0,2467557.0,739465.1,4042199.8,5536654.5,4027309.5,68153.5,193818.8,67880.8,26368.7,52010.0,26260.6,1352035.3,4422782.5,1347150.3
01-Well-A3,2024-11-22 11:56:00,23.5,1952,342,775,82.89,14.52,90.77,774906.1,1140920.3,745866.1,1786084.3,2394991.8,1701698.6,1201644.3,2339589.3,1185134.0,4607093.5,5502215.5,4530591.0,126970.8,233532.0,123305.1,51287.1,79158.7,49135.6,2393678.8,4650487.5,2342344.0
01-Well-B3,2024-11-22 11:57:10,15.9,8,0,0,0.50,0.00,0.00,697196.9,####,####,2107241.0,####,####,681693.5,####,####,4844012.0,####,####,113512.4,####,####,77994.5,####,####,1120435.5,####,####
01-Well-C3,2024-11-22 12:02:11,90.0,32697,8297,28052,363.21,92.17,374.25,715555.7,1141799.3,716322.7,1948466.3,2466380.5,1949687.0,914805.3,2548266.5,922027.1,4517139.0,5443791.0,4510556.0,96497.8,226246.6,96959.6,45803.8,64973.9,45370.9,1733706.1,4772038.0,1742382.9
01-Well-D3,2024-11-22 12:04:59,15.8,1,0,0,0.06,0.00,0.00,609911.8,####,####,2452436.0,####,####,114458.3,####,####,5698365.0,####,####,39248.6,####,####,81200.8,####,####,146574.1,####,####
01-Well-E3,2024-11-22 12:09:38,90.1,9164,2478,7961,101.74,27.51,106.14,634322.6,1096530.5,633740.8,1609099.4,2254068.8,1610120.5,889486.8,2421092.0,891304.9,4074330.3,5594502.0,4068576.5,96762.2,224912.3,96877.5,43950.8,64686.6,43531.9,1754989.6,4711458.5,1754357.9
01-Well-F3,2024-11-22 12:12:28,90.0,53072,6608,45299,589.66,73.42,604.49,607788.2,1060250.3,606244.1,1895717.6,2376742.0,1891926.0,489175.9,2145748.0,490095.8,4497254.0,5459576.5,4485513.5,69598.9,239824.0,69701.7,51032.1,75230.2,51189.9,995642.1,4295669.0,997145.5
01-Well-G3,2024-11-22 12:14:43,15.5,1203,0,0,77.63,0.00,0.00,713540.4,####,####,1892162.0,####,####,910390.9,####,####,4563157.0,####,####,85812.1,####,####,47613.0,####,####,1780325.0,####,####
01-Well-H3,2024-11-22 12:18:07,22.4,2209,237,493,98.61,10.58,72.00,702318.1,1023097.9,701817.9,1695513.3,2017648.3,1553177.0,1076218.1,2242043.0,1201255.9,4364171.0,5481608.0,4403490.0,119045.3,221687.1,128994.1,39908.0,51084.7,40241.5,2161476.5,4574767.5,2439498.8
01-Well-A4,2024-11-22 11:59:53,90.0,43564,8910,37663,483.96,98.98,502.52,532973.5,1029200.0,530296.3,1330645.3,1824868.6,1320538.3,665682.6,2223885.5,669457.9,4168581.8,5478495.5,4145049.5,69655.7,191750.6,69846.1,33463.3,55219.0,32998.1,1247622.6,4090465.8,1254206.8
