Experiment Name:,Exp_20241206_1

Tube Name:,Volume(μL):,All Events ,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,P1 Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,P1 Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,P1 Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,P1 Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,P1 Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,P1 Mean PE-H,include Mean PE-H
01-Well-A1,90.0,16168,7260,14180,179.61,80.65,186.94,789791.3,1120586.9,788459.3,1850788.6,2543179.3,1849661.5,1238193.8,2145145.8,1236610.5,4588036.5,5499511.5,4573437.0,135771.1,228261.5,135566.6,63006.6,95977.8,62976.8
01-Well-B1,90.0,7317,2966,6423,81.26,32.94,84.65,721969.0,1034516.8,719485.9,1568677.1,1817968.6,1553841.6,1188157.4,2360788.3,1193512.4,4621372.5,5616821.0,4616225.5,136413.9,246168.0,136266.9,76920.6,109835.2,76477.9
01-Well-C1,90.1,8756,3027,7659,97.22,33.61,100.91,731243.7,1020773.6,728126.9,1943688.8,2281117.8,1935734.1,870423.1,1881563.9,871349.6,4694308.5,5625023.5,4683785.0,92962.4,170032.2,93190.1,63095.0,84727.6,62332.9
01-Well-D1,90.0,15861,3267,13861,176.22,36.30,182.75,552917.6,1034498.3,546784.3,1385551.9,2014487.4,1370233.1,717830.6,2405491.0,713017.6,4295431.0,5569166.0,4270022.5,74258.3,197290.0,73674.8,33570.1,49721.2,33094.2
01-Well-E1,90.0,32660,12046,28438,362.79,133.81,374.86,609632.9,1056957.3,605050.6,1280306.5,2224127.8,1273508.8,1085261.1,2276555.0,1079985.0,3870950.5,5397647.0,3851173.8,121067.4,244357.6,120589.0,42898.2,73649.3,42477.2
01-Well-A2,14.0,10,0,0,0.71,0.00,0.00,501350.0,####,####,2317446.8,####,####,297587.6,####,####,3860637.3,####,####,42115.1,####,####,47784.4,####,####
01-Well-B2,20.5,4,0,0,0.20,0.00,0.00,959151.2,####,####,2959717.3,####,####,1135730.6,####,####,5695273.5,####,####,118276.7,####,####,58817.1,####,####
01-Well-C2,90.0,108994,23789,94503,1210.74,264.26,1245.75,591346.9,1059361.6,587819.4,1601976.0,2329981.0,1593635.8,793757.3,2449449.5,794258.1,3583450.3,4428805.0,3555446.3,77384.3,201563.1,77369.7,38399.9,48359.0,37991.4
01-Well-A3,28.8,8,0,1,0.28,0.00,0.07,910190.1,####,79090.3,2710449.5,####,100660.2,361356.8,####,71519.9,4698507.5,####,1058505.8,57207.3,####,8677.4,283885.5,####,679.2
01-Well-B3,29.7,1,0,1,0.03,0.00,0.03,1256045.1,####,1256045.1,5748765.5,####,5748765.5,174161.5,####,174161.5,5688128.0,####,5688128.0,154532.9,####,154532.9,379746.9,####,379746.9
01-Well-C3,24.8,9,0,1,0.36,0.00,0.10,553951.9,####,471843.7,2380717.0,####,784610.3,172276.9,####,560395.0,4310804.5,####,5527140.0,56151.3,####,52209.7,112774.7,####,5370.7
01-Well-D3,90.0,54624,8812,45592,606.67,97.87,600.86,728399.5,1104160.5,739148.3,2301636.3,2593908.0,2337455.3,669385.4,2236226.8,688437.9,4397146.0,5310634.0,4404650.5,91429.7,229768.9,93899.7,107011.7,69334.0,108895.8
01-Well-E3,17.7,542,83,180,30.63,4.69,50.19,1051804.4,1091391.5,1112077.6,2815089.8,2149906.8,2967169.8,1165774.0,2149076.8,1171926.9,5338849.0,5604511.5,5448846.0,147649.4,237017.2,144775.2,104513.8,89825.1,141448.2
01-Well-F3,37.1,15948,2319,10030,429.30,62.43,436.34,835262.1,1003900.6,834358.9,2785379.0,1964596.5,2760806.8,711948.6,2202898.5,728899.6,5024090.5,5454890.0,4994715.0,81638.6,174129.7,82520.7,48002.4,44953.3,47827.1
01-Well-A12,90.0,4,0,2,0.04,0.00,0.03,1546214.8,####,1099322.4,4516793.5,####,5668087.0,595123.2,####,790989.6,5697372.0,####,5697922.0,182049.3,####,165371.0,1082268.8,####,128202.5
01-Well-B12,90.2,7,0,5,0.08,0.00,0.07,963659.0,####,805644.9,4118198.3,####,3791217.0,540135.6,####,210392.4,5697865.0,####,5697814.5,87742.8,####,49360.5,72767.4,####,77213.6
01-Well-C12,90.1,3,0,3,0.03,0.00,0.04,853109.6,####,853109.6,4464238.0,####,4464238.0,308765.0,####,308765.0,5698488.5,####,5698488.5,109763.0,####,109763.0,56306.7,####,56306.7
01-Well-A2(1),21.5,453,35,168,21.04,1.63,24.40,500822.3,994248.9,471653.2,1259726.0,2262545.0,1146529.5,531742.1,1713584.1,522237.7,3623901.0,5579309.0,3326135.0,60532.5,161799.3,57075.5,50959.0,42099.8,62039.1
01-Well-A2(2),30.4,6794,394,1456,223.48,12.96,89.39,538084.1,1041633.0,501631.2,1302763.9,2422668.5,1182072.4,686328.3,1869086.6,652899.6,3492442.3,5191363.5,3353620.8,75424.2,185703.4,71216.1,36389.0,50758.3,29396.7
01-Well-A3(1),9.2,0,0,0,0.00,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####
01-Well-E3(1),31.6,2562,692,1261,81.08,21.90,72.19,1104667.5,1069882.0,1120892.0,2956272.3,2265655.5,2970703.5,1309155.8,2159048.8,1395614.6,5323746.0,5568577.5,5353528.0,166638.4,249810.6,174884.1,104659.4,95580.2,108175.9
01-Well-E3(2),90.0,9647,4334,8223,107.18,48.15,108.42,1131819.4,1053397.9,1137440.4,2962907.3,2212550.8,2986277.8,1315849.6,2081102.5,1319588.8,5314641.0,5558028.0,5314594.0,166394.4,239758.3,166872.7,101234.4,94883.0,101527.8
01-Well-C3(1),90.0,50820,14882,43080,564.44,165.29,567.78,905341.2,1060759.6,906717.4,2575093.3,2543444.5,2576045.3,1046868.3,2418557.3,1057908.8,4793362.0,5153910.0,4777224.5,140470.0,284608.3,141472.4,64877.5,69880.2,65202.7
01-Well-B3(1),13.0,0,0,0,0.00,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####
01-Well-A2(3),18.4,8190,205,630,445.06,11.14,171.31,525523.1,1029359.4,606447.8,1255497.5,2376016.8,1576984.4,667548.3,1849010.0,747573.3,3429058.0,5310488.5,3810515.5,71739.3,184387.6,84250.6,36269.4,50033.1,43868.7
01-Well-A2(4),20.6,1166,26,158,56.67,1.26,26.79,488294.8,961647.8,341795.9,1143426.6,2114925.5,623755.1,521419.6,1656029.6,434323.8,3282831.0,5487087.0,2884725.5,57392.9,154359.8,45623.4,28565.2,42387.9,19874.1
01-Well-A2(5),17.0,2203,12,75,129.60,0.71,26.44,533446.4,977224.9,336974.0,1248074.6,2157252.3,561696.4,638879.6,1872472.4,461272.2,3516791.0,5561844.5,2725077.8,69716.9,180826.3,48938.3,34223.3,49622.1,16979.3
01-Well-A4,12.5,7,0,0,0.56,0.00,0.00,971228.9,####,####,3374399.8,####,####,157619.3,####,####,4135019.8,####,####,64172.1,####,####,228330.2,####,####
01-Well-B4,15.6,10,0,0,0.64,0.00,0.00,635886.2,####,####,2295992.8,####,####,339855.2,####,####,5010732.5,####,####,49219.6,####,####,49017.8,####,####
01-Well-C4,90.0,71125,22382,60915,790.22,248.67,803.16,949797.9,1043035.1,949343.9,2738102.5,2146821.8,2730332.0,1039917.1,2266713.8,1049951.9,4825125.5,5175317.0,4814808.5,128601.5,217859.0,129689.0,80161.5,56724.7,80153.2
01-Well-D4,90.0,46123,3020,39473,512.48,33.56,520.49,526619.8,1033421.8,519341.7,1635596.3,3095587.8,1610859.4,410231.5,2522306.5,405269.9,3472034.0,5507136.5,3426835.3,76959.8,399192.3,76078.5,41185.4,67699.6,40305.8
