CORALNUM,DATE
1,7/1/24
2,7/1/24
6,7/2/24
8,7/2/24
10,6/29/24
11,6/30/24
12,6/25/24
13,6/30/24
14,7/1/24
15,7/1/24
16,7/2/24
18,7/1/24
19,7/2/24
21,6/30/24
22,6/25/24
23,6/23/24
25,6/30/24
27,6/29/24
28,7/2/24
29,6/23/24
31,6/24/24
33,7/2/24
34,6/24/24
35,6/25/24
36,7/2/24
37,6/28/24
38,7/2/24
40,7/2/24
41,7/1/24
43,7/2/24
46,7/2/24
48,6/30/24
48,6/23/24
50,6/30/24
51,7/1/24
53,7/1/24
55,6/24/24
56,7/1/24
57,6/24/24
58,7/2/24
59,7/2/24
60,7/1/24
63,7/1/24
64,6/29/24
66,7/2/24
67,6/25/24
68,7/2/24
71,6/29/24
74,7/1/24
75,6/23/24
76,6/30/24
78,6/30/24
80,7/2/24
82,6/24/24
83,6/24/24
85,7/1/24
86,7/2/24
90,6/30/24
91,6/24/24
92,7/1/24
94,6/23/24
95,7/1/24
96,7/1/24
97,7/1/24
99,6/23/24
100,7/2/24
101,6/30/24
102,7/1/24
104,6/30/24
104,7/2/24
105,6/23/24
106,6/28/24
108,6/28/24
110,7/1/24
111,7/1/24
113,6/30/24
115,6/28/24
117,6/29/24
118,6/30/24
121,6/25/24
123,6/30/24
125,6/30/24
127,7/2/24
128,7/1/24
134,6/29/24
135,7/2/24
136,7/1/24
137,6/28/24
138,7/1/24
139,6/30/24
140,6/28/24
141,6/29/24
144,6/24/24
145,6/30/24
146,7/1/24
147,7/2/24
148,6/30/24
149,7/2/24
150,6/25/24
151,6/30/24
152,6/25/24
153,7/1/24
155,7/2/24
156,7/1/24
157,6/25/24
159,7/1/24
159,7/2/24
161,6/30/24
162,7/1/24
163,6/25/24
202,7/1/24
203,6/30/24
204,6/30/24
205,6/25/24
206,6/29/24
207,7/2/24
208,6/30/24
210,6/30/24
