TUBENAME,CORAL_NUM,GENOTYPE,TREATMENT,Volume(μL):,INCLUDE_VOL_UL,All Events,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),cells/uL from total events / include volume,calc vs fcm program diff,ENDO_COUNT
01-Well-A6,10,G,Coral_Dom,90,75,24174,5890,21855,268.54,65.43,279.23,78.53333333,13.10333333,261.72
01-Well-C6,71,M,Coral_Dom,90.1,75.1,18120,5194,16255,201.19,57.67,207.56,69.16111851,11.49111851,230.68
01-Well-E6,134,U,Control,90,75,14079,3541,12927,156.42,39.34,165.19,47.21333333,7.873333333,157.36
01-Well-B6(1),64,K,Control,90,75,36321,6711,32676,403.38,74.53,417.37,89.48,14.95,298.12
01-Well-F6(1),141,T,Algae_Dom,89.3,74.3,25287,4795,22835,283.2,53.7,294.86,64.53566622,10.83566622,214.8
01-Well-G6(1),206,Q,Rubble_Dom,90,75,31249,10720,28060,347.09,119.07,358.45,142.9333333,23.86333333,476.28
01-Well-D6(2),117,J,Rubble_Dom,90.1,75.1,16974,5688,15168,188.46,63.15,193.68,75.73901465,12.58901465,252.6
01-Well-B7,106,D,Coral_Dom,90,75,17154,4506,15424,190.55,50.05,197.06,60.08,10.03,200.2
01-Well-C7,108,F,Rubble_Dom,90,75,17068,4523,15227,189.57,50.24,194.51,60.30666667,10.06666667,200.96
01-Well-D7,115,W,Coral_Dom,90,75,26154,5286,23523,290.58,58.73,300.6,70.48,11.75,234.92
01-Well-E7,137,P,Coral_Dom,90,75,13659,1919,12270,151.69,21.31,156.72,25.58666667,4.276666667,85.24
01-Well-F7,140,V,Coral_Dom,90,75,17899,3418,16132,198.8,37.96,206.07,45.57333333,7.613333333,151.84
01-Well-A7(1),37,C,Coral_Dom,90,75,45013,6246,40724,499.94,69.37,520.2,83.28,13.91,277.48
01-Well-A1,23,L,Pre,90,75,73189,9880,65290,813.07,109.76,834.23,131.7333333,21.97333333,439.04
01-Well-B1,29,C,Pre,90.1,75.1,41821,6411,37208,464.4,71.19,475.18,85.36617843,14.17617843,284.76
01-Well-C1,48,C,Control,90,75,154576,16382,137479,1717.43,182.01,1756.86,218.4266667,36.41666667,728.04
01-Well-D1,74,E,Rubble_Dom,90,75,52376,9034,46373,581.89,100.37,592.55,120.4533333,20.08333333,401.48
01-Well-E1,94,B,Pre,90,75,111459,12719,99406,1238.32,141.31,1270.26,169.5866667,28.27666667,565.24
01-Well-F1,99,K,Pre,90,75,58123,15415,51383,645.76,171.26,656.6,205.5333333,34.27333333,685.04
01-Well-G1,105,J,Pre,90,75,78131,9708,69660,868.09,107.86,890.2,129.44,21.58,431.44
01-Well-C2,55,D,Pre,90,75,59065,9241,52726,656.04,102.64,673.54,123.2133333,20.57333333,410.56
01-Well-D2,57,Q,Pre,90,75,16776,3913,14854,186.3,43.46,189.71,52.17333333,8.713333333,173.84
01-Well-E2,82,A,Pre,90,75,43396,11279,38686,482.08,125.3,494.28,150.3866667,25.08666667,501.2
01-Well-F2,83,S,Pre,90,75,30791,5458,27342,342.07,60.64,349.37,72.77333333,12.13333333,242.56
01-Well-G2,91,G,Pre,90,75,58228,12841,51858,646.8,142.64,662.52,171.2133333,28.57333333,570.56
01-Well-H2,144,V,Pre,90,75,32738,7733,29148,363.68,85.91,372.42,103.1066667,17.19666667,343.64
