CoralNum,Genotype,Treatment,Rep
45,A,PRE,1
30,A,PRE,2
111,A,PRE,3
87,A,PRE,4
73,B,COTS,1
14,B,COTS,2
41,B,COTS,3
107,B,COTS,4
29,C,BLEACH,1
72,C,BLEACH,2
46,C,BLEACH,3
37,C,BLEACH,4
106,D,CONTROL,1
65,D,CONTROL,2
77,D,CONTROL,3
7,D,CONTROL,4
86,E,PRE,1
32,E,PRE,2
63,E,PRE,3
34,E,PRE,4
51,F,COTS,1
33,F,COTS,2
68,F,COTS,3
108,F,COTS,4
104,G,BLEACH,1
92,G,BLEACH,2
10,G,BLEACH,3
91,G,BLEACH,4
75,H,CONTROL,1
52,H,CONTROL,2
81,H,CONTROL,3
39,H,CONTROL,4
38,I,PRE,1
27,I,PRE,2
3,I,PRE,3
4,I,PRE,4
8,J,COTS,1
117,J,COTS,2
60,J,COTS,3
105,J,COTS,4
110,K,BLEACH,1
76,K,BLEACH,2
64,K,BLEACH,3
99,K,BLEACH,4
17,L,CONTROL,1
23,L,CONTROL,2
78,L,CONTROL,3
19,L,CONTROL,4
25,M,PRE,1
120,M,PRE,2
49,M,PRE,3
71,M,PRE,4
118,N,COTS,1
43,N,COTS,2
22,N,COTS,3
96,N,COTS,4
142,O,BLEACH,1
26,O,BLEACH,2
61,O,BLEACH,3
93,O,BLEACH,4
135,P,CONTROL,1
137,P,CONTROL,2
127,P,CONTROL,3
121,P,CONTROL,4
42,Q,PRE,1
143,Q,PRE,2
84,Q,PRE,3
119,Q,PRE,4
138,R,COTS,1
62,R,COTS,2
66,R,COTS,3
128,R,COTS,4
83,S,BLEACH,1
80,S,BLEACH,2
114,S,BLEACH,3
136,S,BLEACH,4
125,T,CONTROL,1
126,T,CONTROL,2
12,T,CONTROL,3
139,T,CONTROL,4
67,U,PRE,1
47,U,PRE,2
134,U,PRE,3
100,U,PRE,4
144,V,COTS,1
15,V,COTS,2
97,V,COTS,3
18,V,COTS,4
151,W,BLEACH,1
157,W,BLEACH,2
36,W,BLEACH,3
155,W,BLEACH,4
5,X,CONTROL,1
112,X,CONTROL,2
129,X,CONTROL,3
133,X,CONTROL,4
