CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,CORAL_TANK_NUM
1,T,Coral_Dom,7,13
2,M,Algae_Dom,13,25
6,J,Algae_Dom,1,2
8,J,Coral_Dom,6,11
10,G,Coral_Dom,9,17
11,M,Control,3,6
12,T,Pre,NA,NA
13,U,Rubble_Dom,5,9
14,B,Control,3,6
15,V,Control,8,15
16,B,Algae_Dom,4,7
18,V,Rubble_Dom,2,4
19,L,Rubble_Dom,10,20
21,N,Control,11,22
22,N,Pre,NA,NA
23,L,Pre,NA,NA
25,M,Rubble_Dom,5,9
27,I,Coral_Dom,9,18
28,P,Control,3,5
29,C,Pre,,
31,F,Pre,NA,NA
33,F,Algae_Dom,15,1
34,E,Pre,NA,NA
35,R,Pre,NA,NA
36,W,Rubble_Dom,12,23
37,C,Coral_Dom,8,14
38,I,Algae_Dom,8,14
40,A,Coral_Dom,16,32
41,B,Coral_Dom,16,31
43,N,Coral_Dom,6,12
46,C,Algae_Dom,1,2
48,C,Control,16,31
47,I,Pre,NA,NA
49,M,Pre,NA,NA
50,I,Rubble_Dom,12,24
51,F,Coral_Dom,6,12
53,L,Algae_Dom,1,1
55,D,Pre,NA,NA
56,A,Algae_Dom,14,28
57,Q,Pre,NA,NA
58,A,Control,15,29
59,K,Algae_Dom,4,7
60,J,Control,11,21
62,R,Rubble_Dom,10,19
63,E,Coral_Dom,9,17
64,K,Control,11,22
65,D,Control,15,29
66,R,Control,15,29
67,U,Pre,NA,NA
68,F,Control,1,30
71,M,Coral_Dom,8,16
73,B,Rubble_Dom,5,10
74,E,Rubble_Dom,10,20
76,K,Coral_Dom,7,13
78,L,Control,14,27
80,S,Rubble_Dom,10,20
82,A,Pre,NA,NA
83,S,Pre,NA,NA
85,E,Control,11,21
86,E,Algae_Dom,14,26
143,Q,Control,3,6
90,G,Rubble_Dom,12,23
91,G,Pre,NA,NA
92,G,Algae_Dom,1,2
94,B,Pre,NA,NA
95,L,Coral_Dom,16,31
96,N,Rubble_Dom,10,19
97,V,Algae_Dom,13,26
99,K,Pre,NA,NA
100,U,Algae_Dom,5,10
101,U,Coral_Dom,7,13
102,I,Control,15,30
104,G,Control,8,15
105,J,Pre,NA,NA
106,D,Coral_Dom,10,17
108,F,Rubble_Dom,12,23
110,K,Rubble_Dom,5,9
111,A,Rubble_Dom,10,19
113,C,Rubble_Dom,2,3
114,S,Algae_Dom,1,1
115,W,Coral_Dom,8,16
117,J,Rubble_Dom,2,4
118,N,Algae_Dom,4,8
121,P,Pre,NA,NA
123,S,Control,14,28
125,T,Control,8,15
127,P,Rubble_Dom,11,22
128,R,Algae_Dom,13,25
134,U,Control,11,22
135,P,Algae_Dom,13,25
136,S,Coral_Dom,16,31
137,P,Coral_Dom,9,18
138,R,Coral_Dom,16,32
139,T,Rubble_Dom,12,24
140,V,Coral_Dom,8,16
141,T,Algae_Dom,4,8
144,V,Pre,NA,NA
145,D,Rubble_Dom,5,10
146,O,Control,11,21
147,H,Coral_Dom,6,11
148,O,Coral_Dom,6,12
149,O,Rubble_Dom,2,3
150,H,Pre,NA,NA
151,W,Control,3,5
153,D,Algae_Dom,14,28
155,W,Algae_Dom,4,8
156,H,Algae_Dom,4,7
157,W,Pre,NA,NA
159,H,Rubble_Dom,12,24
161,H,Control,3,5
162,O,Algae_Dom,14,28
163,O,Pre,NA,NA
202,X,Control,3,6
203,X,Algae_Dom,14,27
204,Q,Algae_Dom,13,26
205,X,Pre,NA,NA
206,Q,Rubble_Dom,2,4
207,X,Rubble_Dom,6,11
208,X,Coral_Dom,7,14
210,Q,Coral_Dom,9,17
