colony_id,genotype,number,weight1_g,weight2_g,weight_of_wax_g,SA_cm_2,dipper,date,notes
K_99,K,99,23.971,26.006,2.035,344.9288136,Kiran,6/25/24,
L_23,L,23,23.721,25.789,2.068,350.5220339,Kiran,6/25/24,
J_105,J,105,32.701,34.566,1.865,316.1152542,Kiran,6/25/24,
B_94,B,94,39.392,42.754,3.362,569.8440678,Kiran,6/25/24,dropped in wax for 1 extra second
I_48,I,48,32.655,35.417,2.762,468.1491525,Kiran,6/25/24,
H_75,H,75,14.99,16.34,1.35,228.8271186,Kiran,6/25/24,
C_29,C,29,21.02,21.906,0.886,150.1830508,Kiran,6/25/24,
V_144,V,144,15.515,17.213,1.698,287.8101695,Kiran,6/25/24,
F_31,F,31,16.937,18.106,1.169,198.1491525,Kiran,6/25/24,
D_55,D,55,13.875,15.072,1.197,202.8949153,Kiran,6/25/24,
E_34,E,34,26.255,27.623,1.368,231.8779661,Kiran,6/25/24,
G_91,G,91,26.029,27.185,1.156,195.9457627,Kiran,6/25/24,
A_82,A,82,35.751,38.105,2.354,398.9966102,Kiran,6/25/24,
X_205,X,205,13.571,14.961,1.39,235.6067797,Laurel,7/1/24,
U_67,U,67,22.508,24.427,1.919,325.2677966,Laurel,7/1/24,
145,,145,26.5,28.285,1.785,302.5559322,Laurel,7/3/24,
M_71,M,71,13.127,14.161,1.034,175.2677966,Laurel,7/3/24,
I_27,I,27,31.051,33.702,2.651,449.3355932,Laurel,7/3/24,
I_50,I,50,52.593,55.285,2.692,456.2847458,Laurel,7/3/24,
T_141,T,141,27.742,30.055,2.313,392.0474576,Laurel,7/3/24,
W_157,W,157,8.761,9.698,0.937,158.8271186,Laurel,7/3/24,
210,,210,28.839,31.02,2.181,369.6745763,Laurel,7/3/24,
F_33,F,33,28.832,30.107,1.275,216.1152542,Laurel,7/3/24,
203,,203,13.064,14.366,1.302,220.6915254,Laurel,7/3/24,
X_57,X,57,15.025,16.203,1.178,199.6745763,Laurel,7/3/24,
E_152,E,152,34.322,35.473,1.151,195.0983051,Laurel,7/3/24,
E_86,E,86,21.714,23.161,1.447,245.2677966,Laurel,7/3/24,
R_35,R,35,21.78,23.167,1.387,235.0983051,Laurel,7/3/24,
P_28,P,28,20.049,21.862,1.813,307.3016949,Laurel,7/3/24,
T_12,T,12,14.239,15.848,1.609,272.7254237,Laurel,7/3/24,
S_83,S,83,12.242,13.447,1.205,204.2508475,Laurel,7/3/24,
H_150,H,150,29.041,32.157,3.116,528.1491525,Laurel,7/3/24,
K_64,K,64,44.187,47.092,2.905,492.3864407,Laurel,7/3/24,
G_104,G,104,32.205,35.148,2.943,498.8271186,Laurel,7/3/24,
206,,206,13.237,14.328,1.091,184.9288136,Laurel,7/3/24,
J_117,J,117,19.052,20.411,1.359,230.3525424,Laurel,7/3/24,
C_37,C,37,48.752,50.935,2.183,370.0135593,Laurel,7/3/24,
T_139,T,139,18.936,20.821,1.885,319.5050847,Laurel,7/3/24,
G_10,G,10,23.514,25.256,1.742,295.2677966,Laurel,7/3/24,
O_163,O,163,27.564,28.989,1.425,241.5389831,Laurel,7/3/24,
K_76,K,76,26.855,28.74,1.885,319.5050847,Laurel,7/3/24,
N_22,N,22,16.473,17.838,1.365,231.3694915,Laurel,7/3/24,
D_106,D,106,21.916,23.533,1.617,274.0813559,Laurel,7/3/24,
