Date,Location,Site,Habitat,Section_of_Transect,Quadrat_within_section,Quad40,Taxonomy_Substrate_or_Functional_Group,Percent_Cover,Group
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,Outer 10,1,1,1,Acropora,3,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,Outer 10,1,1,1,CTB,73.2,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,Outer 10,1,1,1,Montipora,1.8,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,Outer 10,1,1,1,Pavona,1.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,Outer 10,1,1,1,Pocillopora,15.9,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,Outer 10,1,1,1,Porites,4.9,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,Outer 10,1,2,2,Acropora,18.8,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,Outer 10,1,2,2,Astrea,1.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,Outer 10,1,2,2,CTB,52.1,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,Outer 10,1,2,2,Macroalgae,0.6,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,Outer 10,1,2,2,Pavona,1.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,Outer 10,1,2,2,Pocillopora,26.1,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,LTER 1,Outer 10,1,3,3,Acropora,26.7,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,LTER 1,Outer 10,1,3,3,CTB,51.5,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,LTER 1,Outer 10,1,3,3,Pocillopora,18.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,LTER 1,Outer 10,1,3,3,Porites,3.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,4,Acropora,3.1,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,4,CTB,40.7,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,4,Leptastrea,1.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,4,Macroalgae,6.8,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,4,Montipora,2.5,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,4,Pocillopora,32.7,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,4,Porites,13,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,Outer 10,1,5,5,Acropora,8.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,Outer 10,1,5,5,CTB,59.1,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,Outer 10,1,5,5,Macroalgae,7.5,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,Outer 10,1,5,5,Montipora,0.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,Outer 10,1,5,5,Pocillopora,17,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,Outer 10,1,5,5,Porites,7.5,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,Outer 10,1,6,6,Acropora,10.3,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,Outer 10,1,6,6,CTB,37,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,Outer 10,1,6,6,Fungiidae unidentified,0.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,Outer 10,1,6,6,Pavona,1.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,Outer 10,1,6,6,Pocillopora,50.9,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,Outer 10,1,7,7,Acropora,6.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,Outer 10,1,7,7,CTB,54.5,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,Outer 10,1,7,7,Macroalgae,15.6,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,Outer 10,1,7,7,Pocillopora,17.4,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,Outer 10,1,7,7,Porites,6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,Outer 10,1,8,8,Acropora,8,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,Outer 10,1,8,8,CTB,51.2,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,Outer 10,1,8,8,Cyphastrea,1.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,Outer 10,1,8,8,Pocillopora,35.8,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,Outer 10,1,8,8,Porites,3.7,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 1,Outer 10,2,1,9,Acropora,28,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 1,Outer 10,2,1,9,CTB,50,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 1,Outer 10,2,1,9,Pocillopora,11.3,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 1,Outer 10,2,1,9,Porites,10.7,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,Outer 10,2,2,10,Acropora,14.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,Outer 10,2,2,10,CTB,50.3,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,Outer 10,2,2,10,Macroalgae,10.1,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,Outer 10,2,2,10,Montipora,0.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,Outer 10,2,2,10,Pocillopora,7.7,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,Outer 10,2,2,10,Porites,17.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,Outer 10,2,3,11,Acropora,12.7,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,Outer 10,2,3,11,CTB,57.8,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,Outer 10,2,3,11,Leptastrea,0.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,Outer 10,2,3,11,Macroalgae,1.8,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,Outer 10,2,3,11,Pocillopora,6.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,Outer 10,2,3,11,Porites,20.5,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,LTER 1,Outer 10,2,4,12,Acropora,77.3,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,LTER 1,Outer 10,2,4,12,CTB,21.5,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,LTER 1,Outer 10,2,4,12,Pocillopora,1.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 1,Outer 10,2,5,13,Acropora,82.5,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 1,Outer 10,2,5,13,CTB,7.2,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 1,Outer 10,2,5,13,Pocillopora,6.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 1,Outer 10,2,5,13,Porites,3.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,14,Acropora,35.1,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,14,CTB,43.5,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,14,Leptastrea,1.8,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,14,Macroalgae,2.4,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,14,Pavona,0.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,14,Pocillopora,16.1,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,14,Sand,0.6,Sand
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,Outer 10,2,7,15,Acropora,38.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,Outer 10,2,7,15,CTB,38.2,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,Outer 10,2,7,15,Macroalgae,1.2,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,Outer 10,2,7,15,Pocillopora,12.7,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,Outer 10,2,7,15,Sand,9.7,Sand
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,LTER 1,Outer 10,2,8,16,CTB,65.4,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,LTER 1,Outer 10,2,8,16,Sand,34.6,Sand
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,Outer 10,3,1,17,Acropora,6.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,Outer 10,3,1,17,Astrea,1.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,Outer 10,3,1,17,CTB,59,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,Outer 10,3,1,17,Pocillopora,16.9,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,Outer 10,3,1,17,Porites,16.3,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,18,Acropora,4.9,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,18,CTB,64,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,18,Macroalgae,1.2,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,18,Pocillopora,12.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,18,Porites,17.1,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,18,Sand,0.6,Sand
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,19,Acropora,24.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,19,CTB,40.1,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,19,Macroalgae,13.8,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,19,Pocillopora,7.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,19,Porites,13.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,19,Psammocora,1.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,Outer 10,3,4,20,Acropora,3.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,Outer 10,3,4,20,CTB,23.4,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,Outer 10,3,4,20,Macroalgae,13.2,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,Outer 10,3,4,20,Pavona,0.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,Outer 10,3,4,20,Pocillopora,35.3,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,Outer 10,3,4,20,Porites,24,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,Outer 10,3,5,21,Astrea,1.2,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,Outer 10,3,5,21,CTB,41.7,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,Outer 10,3,5,21,Macroalgae,13.1,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,Outer 10,3,5,21,Montipora,1.8,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,Outer 10,3,5,21,Pocillopora,25.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,Outer 10,3,5,21,Porites,16.7,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,22,Acropora,8.7,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,22,CTB,48.3,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,22,Leptastrea,7,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,22,Macroalgae,16.3,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,22,Montipora,0.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,22,Pavona,2.3,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,22,Pocillopora,13.4,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,22,Porites,3.5,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,Outer 10,4,1,25,Acropora,3.6,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,Outer 10,4,1,25,CTB,47.9,CTB
2005-05,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,Outer 10,4,1,25,Macroalgae,21.2,Macroalgae
2005-05,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,Outer 10,4,1,25,Pocillopora,18.8,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,Outer 10,4,1,25,Porites,1.8,Coral
2005-05,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,Outer 10,4,1,25,Sand,6.7,Sand
2005-05,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,LTER 1,Outer 10,4,2,26,Acropora,15.7,Coral
