year,site,patch,quad,benthic_category,percent_cover
2019,1,1,E11,coral,0
2019,1,1,E11,millepora,0
2019,1,1,E11,sand,0
2019,1,1,E11,ctb,40
2019,1,1,E11,macroalgae,60
2019,1,1,E12,millepora,0
2019,1,1,E12,sand,0
2019,1,1,E12,ctb,32
2019,1,1,E12,macroalgae,60
2019,1,1,E12,coral,8
2019,1,1,E13,macroalgae,12
2019,1,1,E13,ctb,68
2019,1,1,E13,millepora,0
2019,1,1,E13,sand,8
2019,1,1,E13,coral,12
2019,1,1,E14,ctb,68
2019,1,1,E14,millepora,0
2019,1,1,E14,sand,0
2019,1,1,E14,macroalgae,16
2019,1,1,E14,coral,16
2019,1,1,E15,coral,20
2019,1,1,E15,millepora,0
2019,1,1,E15,macroalgae,8
2019,1,1,E15,ctb,72
2019,1,1,E15,sand,0
2019,1,1,N10,macroalgae,44
2019,1,1,N10,ctb,56
2019,1,1,N10,coral,0
2019,1,1,N10,millepora,0
2019,1,1,N10,sand,0
2019,1,1,N6,millepora,0
2019,1,1,N6,macroalgae,32
2019,1,1,N6,coral,4
2019,1,1,N6,ctb,60
2019,1,1,N6,sand,4
2019,1,1,N7,sand,0
2019,1,1,N7,macroalgae,16
2019,1,1,N7,ctb,72
2019,1,1,N7,millepora,0
2019,1,1,N7,coral,12
2019,1,1,N8,millepora,0
2019,1,1,N8,sand,0
2019,1,1,N8,macroalgae,16
2019,1,1,N8,coral,4
2019,1,1,N8,ctb,80
2019,1,1,N9,millepora,0
2019,1,1,N9,sand,0
2019,1,1,N9,ctb,84
2019,1,1,N9,macroalgae,8
2019,1,1,N9,coral,8
2019,1,1,S1,millepora,0
2019,1,1,S1,sand,0
2019,1,1,S1,macroalgae,80
2019,1,1,S1,coral,0
2019,1,1,S1,ctb,20
2019,1,1,S2,millepora,0
2019,1,1,S2,ctb,48
2019,1,1,S2,coral,0
2019,1,1,S2,sand,48
2019,1,1,S2,macroalgae,4
2019,1,1,S3,ctb,56
2019,1,1,S3,sand,40
2019,1,1,S3,coral,0
2019,1,1,S3,millepora,0
2019,1,1,S3,macroalgae,4
2019,1,1,S4,coral,0
2019,1,1,S4,sand,20
2019,1,1,S4,macroalgae,4
2019,1,1,S4,millepora,0
2019,1,1,S4,ctb,76
2019,1,1,S5,millepora,0
2019,1,1,S5,coral,12
2019,1,1,S5,ctb,16
2019,1,1,S5,macroalgae,0
2019,1,1,S5,sand,72
2019,1,1,W16,sand,0
2019,1,1,W16,ctb,40
2019,1,1,W16,coral,4
2019,1,1,W16,millepora,0
2019,1,1,W16,macroalgae,56
2019,1,1,W17,millepora,0
2019,1,1,W17,macroalgae,16
2019,1,1,W17,sand,0
2019,1,1,W17,coral,0
2019,1,1,W17,ctb,84
2019,1,1,W18,coral,0
2019,1,1,W18,ctb,64
2019,1,1,W18,sand,4
2019,1,1,W18,millepora,0
2019,1,1,W18,macroalgae,32
2019,1,1,W19,ctb,24
2019,1,1,W19,sand,36
2019,1,1,W19,millepora,0
2019,1,1,W19,coral,0
2019,1,1,W19,macroalgae,40
2019,1,1,W20,coral,16
2019,1,1,W20,ctb,28
2019,1,1,W20,macroalgae,44
2019,1,1,W20,millepora,0
2019,1,1,W20,sand,12
2019,1,2,E11,sand,0
2019,1,2,E11,coral,12
2019,1,2,E11,ctb,88
2019,1,2,E11,macroalgae,0
2019,1,2,E11,millepora,0
2019,1,2,E12,sand,0
2019,1,2,E12,ctb,76
2019,1,2,E12,coral,8
2019,1,2,E12,millepora,0
2019,1,2,E12,macroalgae,16
2019,1,2,E13,coral,16
2019,1,2,E13,macroalgae,36
2019,1,2,E13,millepora,0
2019,1,2,E13,ctb,48
2019,1,2,E13,sand,0
2019,1,2,E14,millepora,0
2019,1,2,E14,ctb,36
2019,1,2,E14,sand,40
2019,1,2,E14,coral,4
2019,1,2,E14,macroalgae,20
2019,1,2,E15,macroalgae,16
2019,1,2,E15,ctb,20
2019,1,2,E15,millepora,0
2019,1,2,E15,sand,56
2019,1,2,E15,coral,8
2019,1,2,N10,macroalgae,20
2019,1,2,N10,millepora,0
2019,1,2,N10,coral,12
2019,1,2,N10,ctb,68
2019,1,2,N10,sand,0
2019,1,2,N6,millepora,0
2019,1,2,N6,coral,16
2019,1,2,N6,ctb,28
2019,1,2,N6,sand,0
2019,1,2,N6,macroalgae,56
2019,1,2,N7,coral,12
2019,1,2,N7,macroalgae,44
2019,1,2,N7,ctb,28
2019,1,2,N7,millepora,0
2019,1,2,N7,sand,16
2019,1,2,N8,coral,0
2019,1,2,N8,macroalgae,44
2019,1,2,N8,ctb,52
2019,1,2,N8,millepora,0
2019,1,2,N8,sand,4
