year,site,patch,quad,benthic_category,percent_cover
2005,1,1,NA1,sand,4
2005,1,1,NA1,ctb,32
2005,1,1,NA1,macroalgae,0
2005,1,1,NA1,millepora,0
2005,1,1,NA1,coral,64
2005,1,1,NA10,ctb,12
2005,1,1,NA10,sand,56
2005,1,1,NA10,millepora,0
2005,1,1,NA10,macroalgae,8
2005,1,1,NA10,coral,24
2005,1,1,NA11,macroalgae,0
2005,1,1,NA11,millepora,0
2005,1,1,NA11,coral,12
2005,1,1,NA11,sand,84
2005,1,1,NA11,ctb,4
2005,1,1,NA12,coral,56
2005,1,1,NA12,millepora,0
2005,1,1,NA12,ctb,32
2005,1,1,NA12,sand,8
2005,1,1,NA12,macroalgae,4
2005,1,1,NA13,macroalgae,8
2005,1,1,NA13,coral,84
2005,1,1,NA13,sand,8
2005,1,1,NA13,millepora,0
2005,1,1,NA13,ctb,0
2005,1,1,NA14,macroalgae,0
2005,1,1,NA14,coral,68
2005,1,1,NA14,millepora,0
2005,1,1,NA14,ctb,8
2005,1,1,NA14,sand,24
2005,1,1,NA15,macroalgae,0
2005,1,1,NA15,millepora,0
2005,1,1,NA15,coral,12
2005,1,1,NA15,ctb,8
2005,1,1,NA15,sand,80
2005,1,1,NA16,millepora,0
2005,1,1,NA16,sand,0
2005,1,1,NA16,ctb,24
2005,1,1,NA16,coral,72
2005,1,1,NA16,macroalgae,4
2005,1,1,NA17,ctb,60
2005,1,1,NA17,sand,4
2005,1,1,NA17,millepora,0
2005,1,1,NA17,macroalgae,0
2005,1,1,NA17,coral,36
2005,1,1,NA18,macroalgae,0
2005,1,1,NA18,sand,0
2005,1,1,NA18,coral,48
2005,1,1,NA18,ctb,52
2005,1,1,NA18,millepora,0
2005,1,1,NA19,sand,12
2005,1,1,NA19,millepora,0
2005,1,1,NA19,coral,60
2005,1,1,NA19,ctb,28
2005,1,1,NA19,macroalgae,0
2005,1,1,NA2,millepora,0
2005,1,1,NA2,macroalgae,0
2005,1,1,NA2,ctb,12
2005,1,1,NA2,sand,4
2005,1,1,NA2,coral,84
2005,1,1,NA20,sand,12
2005,1,1,NA20,millepora,0
2005,1,1,NA20,macroalgae,0
2005,1,1,NA20,coral,0
2005,1,1,NA20,ctb,88
2005,1,1,NA3,coral,52
2005,1,1,NA3,macroalgae,0
2005,1,1,NA3,millepora,0
2005,1,1,NA3,ctb,44
2005,1,1,NA3,sand,4
2005,1,1,NA4,sand,0
2005,1,1,NA4,coral,17
2005,1,1,NA4,macroalgae,8
2005,1,1,NA4,millepora,0
2005,1,1,NA4,ctb,75
2005,1,1,NA5,ctb,60
2005,1,1,NA5,sand,12
2005,1,1,NA5,coral,28
2005,1,1,NA5,macroalgae,0
2005,1,1,NA5,millepora,0
2005,1,1,NA6,macroalgae,0
2005,1,1,NA6,sand,8
2005,1,1,NA6,millepora,0
2005,1,1,NA6,coral,28
2005,1,1,NA6,ctb,64
2005,1,1,NA7,sand,0
2005,1,1,NA7,ctb,28
2005,1,1,NA7,millepora,0
2005,1,1,NA7,macroalgae,12
2005,1,1,NA7,coral,60
2005,1,1,NA8,sand,12
2005,1,1,NA8,macroalgae,0
2005,1,1,NA8,coral,12
2005,1,1,NA8,ctb,76
2005,1,1,NA8,millepora,0
2005,1,1,NA9,millepora,0
2005,1,1,NA9,macroalgae,0
2005,1,1,NA9,sand,64
2005,1,1,NA9,coral,0
2005,1,1,NA9,ctb,36
2005,1,2,NA1,sand,0
2005,1,2,NA1,ctb,28
2005,1,2,NA1,coral,52
2005,1,2,NA1,macroalgae,20
2005,1,2,NA1,millepora,0
2005,1,2,NA10,coral,52
2005,1,2,NA10,ctb,24
2005,1,2,NA10,sand,0
2005,1,2,NA10,millepora,24
2005,1,2,NA10,macroalgae,0
2005,1,2,NA11,millepora,20
2005,1,2,NA11,macroalgae,12
2005,1,2,NA11,sand,0
2005,1,2,NA11,ctb,52
2005,1,2,NA11,coral,16
2005,1,2,NA12,sand,0
2005,1,2,NA12,millepora,0
2005,1,2,NA12,macroalgae,0
2005,1,2,NA12,ctb,52
2005,1,2,NA12,coral,48
2005,1,2,NA13,ctb,20
2005,1,2,NA13,coral,0
2005,1,2,NA13,sand,80
2005,1,2,NA13,macroalgae,0
2005,1,2,NA13,millepora,0
2005,1,2,NA14,coral,68
2005,1,2,NA14,ctb,4
2005,1,2,NA14,macroalgae,4
2005,1,2,NA14,sand,24
2005,1,2,NA14,millepora,0
2005,1,2,NA15,macroalgae,4
2005,1,2,NA15,sand,0
2005,1,2,NA15,millepora,0
2005,1,2,NA15,ctb,20
2005,1,2,NA15,coral,76
2005,1,2,NA16,coral,48
2005,1,2,NA16,ctb,48
2005,1,2,NA16,millepora,0
2005,1,2,NA16,macroalgae,0
2005,1,2,NA16,sand,4
2005,1,2,NA17,coral,44
2005,1,2,NA17,macroalgae,0
2005,1,2,NA17,millepora,0
2005,1,2,NA17,sand,0
2005,1,2,NA17,ctb,56
2005,1,2,NA18,sand,0
2005,1,2,NA18,coral,20
2005,1,2,NA18,ctb,80
2005,1,2,NA18,millepora,0
2005,1,2,NA18,macroalgae,0
2005,1,2,NA19,millepora,0
2005,1,2,NA19,sand,0
2005,1,2,NA19,coral,64
2005,1,2,NA19,macroalgae,0
2005,1,2,NA19,ctb,36
2005,1,2,NA2,ctb,60
2005,1,2,NA2,coral,24
2005,1,2,NA2,millepora,0
2005,1,2,NA2,macroalgae,16
2005,1,2,NA2,sand,0
2005,1,2,NA20,sand,32
2005,1,2,NA20,macroalgae,0
2005,1,2,NA20,ctb,16
2005,1,2,NA20,coral,52
2005,1,2,NA20,millepora,0
2005,1,2,NA3,macroalgae,4
2005,1,2,NA3,ctb,40
2005,1,2,NA3,coral,40
2005,1,2,NA3,sand,16
2005,1,2,NA3,millepora,0
2005,1,2,NA4,ctb,12
2005,1,2,NA4,sand,4
2005,1,2,NA4,millepora,0
2005,1,2,NA4,coral,76
2005,1,2,NA4,macroalgae,8
2005,1,2,NA5,ctb,4
2005,1,2,NA5,coral,28
2005,1,2,NA5,macroalgae,0
2005,1,2,NA5,sand,68
2005,1,2,NA5,millepora,0
2005,1,2,NA6,coral,16
2005,1,2,NA6,sand,8
2005,1,2,NA6,ctb,20
2005,1,2,NA6,millepora,12
2005,1,2,NA6,macroalgae,44
2005,1,2,NA7,sand,4
2005,1,2,NA7,millepora,0
2005,1,2,NA7,macroalgae,8
2005,1,2,NA7,ctb,44
2005,1,2,NA7,coral,44
2005,1,2,NA8,macroalgae,8
2005,1,2,NA8,millepora,0
2005,1,2,NA8,ctb,16
2005,1,2,NA8,sand,68
2005,1,2,NA8,coral,8
2005,1,2,NA9,macroalgae,0
2005,1,2,NA9,sand,0
2005,1,2,NA9,millepora,24
2005,1,2,NA9,coral,16
2005,1,2,NA9,ctb,60
2005,1,3,NA1,sand,0
2005,1,3,NA1,ctb,40
2005,1,3,NA1,millepora,0
2005,1,3,NA1,coral,56
2005,1,3,NA1,macroalgae,4
2005,1,3,NA10,ctb,4
2005,1,3,NA10,sand,20
2005,1,3,NA10,coral,72
2005,1,3,NA10,millepora,0
2005,1,3,NA10,macroalgae,4
2005,1,3,NA11,millepora,0
2005,1,3,NA11,ctb,12
2005,1,3,NA11,coral,88
2005,1,3,NA11,macroalgae,0
2005,1,3,NA11,sand,0
2005,1,3,NA12,macroalgae,20
2005,1,3,NA12,sand,0
2005,1,3,NA12,coral,44
2005,1,3,NA12,millepora,0
2005,1,3,NA12,ctb,36
2005,1,3,NA13,ctb,48
2005,1,3,NA13,macroalgae,8
2005,1,3,NA13,sand,0
2005,1,3,NA13,coral,44
2005,1,3,NA13,millepora,0
2005,1,3,NA14,macroalgae,32
2005,1,3,NA14,sand,0
2005,1,3,NA14,ctb,56
2005,1,3,NA14,coral,12
2005,1,3,NA14,millepora,0
2005,1,3,NA15,millepora,0
2005,1,3,NA15,ctb,88
2005,1,3,NA15,sand,8
2005,1,3,NA15,coral,4
2005,1,3,NA15,macroalgae,0
2005,1,3,NA16,sand,4
2005,1,3,NA16,ctb,12
2005,1,3,NA16,millepora,0
2005,1,3,NA16,coral,72
2005,1,3,NA16,macroalgae,12
2005,1,3,NA17,sand,0
2005,1,3,NA17,coral,24
2005,1,3,NA17,macroalgae,0
2005,1,3,NA17,millepora,0
2005,1,3,NA17,ctb,76
2005,1,3,NA18,millepora,0
2005,1,3,NA18,ctb,52
2005,1,3,NA18,sand,0
2005,1,3,NA18,coral,48
2005,1,3,NA18,macroalgae,0
2005,1,3,NA19,ctb,96
2005,1,3,NA19,macroalgae,0
2005,1,3,NA19,millepora,0
2005,1,3,NA19,coral,4
2005,1,3,NA19,sand,0
2005,1,3,NA2,macroalgae,0
2005,1,3,NA2,ctb,8
2005,1,3,NA2,millepora,0
2005,1,3,NA2,sand,0
2005,1,3,NA2,coral,92
2005,1,3,NA20,sand,0
2005,1,3,NA20,ctb,96
2005,1,3,NA20,coral,4
2005,1,3,NA20,millepora,0
2005,1,3,NA20,macroalgae,0
2005,1,3,NA3,sand,0
2005,1,3,NA3,macroalgae,4
2005,1,3,NA3,coral,60
2005,1,3,NA3,millepora,0
2005,1,3,NA3,ctb,36
2005,1,3,NA4,ctb,52
2005,1,3,NA4,sand,0
2005,1,3,NA4,coral,48
2005,1,3,NA4,macroalgae,0
2005,1,3,NA4,millepora,0
2005,1,3,NA5,millepora,0
2005,1,3,NA5,coral,0
2005,1,3,NA5,sand,0
2005,1,3,NA5,ctb,100
2005,1,3,NA5,macroalgae,0
2005,1,3,NA6,millepora,0
2005,1,3,NA6,ctb,4
2005,1,3,NA6,coral,96
2005,1,3,NA6,macroalgae,0
2005,1,3,NA6,sand,0
2005,1,3,NA7,millepora,0
2005,1,3,NA7,coral,76
2005,1,3,NA7,macroalgae,4
2005,1,3,NA7,ctb,20
2005,1,3,NA7,sand,0
2005,1,3,NA8,millepora,0
2005,1,3,NA8,coral,96
2005,1,3,NA8,macroalgae,4
2005,1,3,NA8,sand,0
2005,1,3,NA8,ctb,0
