,SamplingDate,UniqueID,Salinity,pH,TempInSitu,DO,TempInLab,TA
1,1/10/24,Surface_Dusk,36.01,8.244762073,29.62,95.3,27.813,2264.844945
2,1/10/24,Dead_1_Dusk,36.09,8.26117525,28.91,82.1,27.802,2283.058658
3,1/10/24,Dead_2_Dusk,36.1,8.25175548,29.08,80.1,27.892,2288.449413
4,1/10/24,Dead_3_Dusk,36.05,8.243126601,29.11,79.9,27.744,2285.285452
5,1/10/24,Poc_1_Dusk,36.12,8.285188659,29.58,83.5,27.786,2268.2517
6,1/10/24,Poc_2_Dusk,36.1,8.273924542,29.26,84.6,27.769,2274.868827
7,1/10/24,Poc_3_Dusk,36.1,8.274805796,29.38,82.3,27.94,2281.43568
8,1/10/24,Algae_1_Dusk,36.1,8.30925395,29.71,92.2,27.791,2243.224947
9,1/10/24,Algae_2_Dusk,36.08,8.313278339,29.6,91.3,27.81,2249.237676
10,1/10/24,Algae_3_Dusk,36.09,8.308303793,29.6,92.4,27.746,2251.88628
11,1/15/24,Surface_Dawn,33.8,7.558621616,27.86,87,25.864,2446.016275
12,1/15/24,Dead_1_Dawn,34.45,7.632064053,27.81,82.7,26.415,2275.013551
13,1/15/24,Dead_2_Dawn,34.55,7.63448822,27.68,81.5,26.268,2333.672306
14,1/15/24,Dead_3_Dawn,34.63,7.642544894,27.79,82.8,26.748,2340.165997
15,1/15/24,Poc_1_Dawn,34.57,7.628698347,27.08,77,27.032,2337.268592
16,1/15/24,Poc_2_Dawn,34.61,7.597539878,27.73,76.7,27.842,2331.602215
17,1/15/24,Poc_3_Dawn,34.76,7.62664751,27.65,76,28.105,2335.376697
18,1/15/24,Algae_1_Dawn,34.49,7.57822675,27.89,87,26.664,2300.212207
19,1/15/24,Algae_2_Dawn,34.51,7.59805328,27.56,86.8,26.604,2337.501133
20,1/15/24,Algae_3_Dawn,34.53,7.595981978,27.26,86.1,27.157,2331.683304
