"PreSens Measurement Studio 2","4.0.0.2353",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"05/31/2024","17:50:22","1","default","205712682","channel_1","0.000","min","204.193","μmol/L","Humid","21.103","deg","98218","µV","28.144","°C","1014.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","271750.13","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","180509-008","5/29/2024 12:37:11 PM","0000-00","0","no battery","V","","µV","","µV"
"05/31/2024","17:50:25","1","default","205712682","channel_1","0.057","min","203.981","μmol/L","Humid","21.119","deg","98295","µV","28.131","°C","1014.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","271753.59","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","180509-008","5/29/2024 12:37:11 PM","0000-00","0","no battery","V","","µV","","µV"
"05/31/2024","17:50:28","1","default","205712682","channel_1","0.107","min","203.582","μmol/L","Humid","21.137","deg","98356","µV","28.142","°C","1014.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","271744.30","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","180509-008","5/29/2024 12:37:11 PM","0000-00","0","no battery","V","","µV","","µV"
"05/31/2024","17:50:31","1","default","205712682","channel_1","0.157","min","203.422","μmol/L","Humid","21.148","deg","98429","µV","28.136","°C","1014.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","271737.32","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","180509-008","5/29/2024 12:37:11 PM","0000-00","0","no battery","V","","µV","","µV"
"05/31/2024","17:50:34","1","default","205712682","channel_1","0.207","min","203.283","μmol/L","Humid","21.153","deg","98466","µV","28.144","°C","1014.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","271751.96","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","180509-008","5/29/2024 12:37:11 PM","0000-00","0","no battery","V","","µV","","µV"
"05/31/2024","17:50:37","1","default","205712682","channel_1","0.257","min","203.003","μmol/L","Humid","21.167","deg","98502","µV","28.148","°C","1014.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","271737.68","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","180509-008","5/29/2024 12:37:11 PM","0000-00","0","no battery","V","","µV","","µV"
"05/31/2024","17:50:40","1","default","205712682","channel_1","0.306","min","202.851","μmol/L","Humid","21.171","deg","98533","µV","28.161","°C","1014.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","271745.69","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","180509-008","5/29/2024 12:37:11 PM","0000-00","0","no battery","V","","µV","","µV"
"05/31/2024","17:50:43","1","default","205712682","channel_1","0.357","min","202.787","μmol/L","Humid","21.177","deg","98555","µV","28.154","°C","1014.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","271733.47","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","180509-008","5/29/2024 12:37:11 PM","0000-00","0","no battery","V","","µV","","µV"
"05/31/2024","17:50:46","1","default","205712682","channel_1","0.407","min","202.741","μmol/L","Humid","21.183","deg","98584","µV","28.143","°C","1014.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","271737.07","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","180509-008","5/29/2024 12:37:11 PM","0000-00","0","no battery","V","","µV","","µV"
"05/31/2024","17:50:49","1","default","205712682","channel_1","0.457","min","202.464","μmol/L","Humid","21.193","deg","98611","µV","28.159","°C","1014.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","271734.16","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","180509-008","5/29/2024 12:37:11 PM","0000-00","0","no battery","V","","µV","","µV"
