"PreSens Measurement Studio 2","4.0.0.2353",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"06/28/2024","11:11:03","3","default","914727401","channel_3","0.000","min","5.303","ppm (mg/L)","Humid","23.954","deg","87943","µV","26.876","°C","1020.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.50","0","64.00","283859.42","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","171027-020","5/29/2024 12:41:56 PM","0000-00","0","no battery","V","","µV","","µV"
"06/28/2024","11:11:06","3","default","914727401","channel_3","0.043","min","5.297","ppm (mg/L)","Humid","23.959","deg","87938","µV","26.899","°C","1020.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.50","0","64.00","283843.03","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","171027-020","5/29/2024 12:41:56 PM","0000-00","0","no battery","V","","µV","","µV"
"06/28/2024","11:11:09","3","default","914727401","channel_3","0.093","min","5.292","ppm (mg/L)","Humid","23.970","deg","87941","µV","26.898","°C","1020.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.50","0","64.00","283859.63","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","171027-020","5/29/2024 12:41:56 PM","0000-00","0","no battery","V","","µV","","µV"
"06/28/2024","11:11:12","3","default","914727401","channel_3","0.143","min","5.297","ppm (mg/L)","Humid","23.956","deg","87941","µV","26.907","°C","1020.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.50","0","64.00","283853.95","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","171027-020","5/29/2024 12:41:56 PM","0000-00","0","no battery","V","","µV","","µV"
"06/28/2024","11:11:15","3","default","914727401","channel_3","0.193","min","5.295","ppm (mg/L)","Humid","23.965","deg","87973","µV","26.893","°C","1020.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.50","0","64.00","283875.08","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","171027-020","5/29/2024 12:41:56 PM","0000-00","0","no battery","V","","µV","","µV"
"06/28/2024","11:11:18","3","default","914727401","channel_3","0.243","min","5.292","ppm (mg/L)","Humid","23.974","deg","87992","µV","26.885","°C","1020.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.50","0","64.00","283866.71","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","171027-020","5/29/2024 12:41:56 PM","0000-00","0","no battery","V","","µV","","µV"
"06/28/2024","11:11:21","3","default","914727401","channel_3","0.293","min","5.293","ppm (mg/L)","Humid","23.978","deg","87985","µV","26.872","°C","1020.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.50","0","64.00","283876.77","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","171027-020","5/29/2024 12:41:56 PM","0000-00","0","no battery","V","","µV","","µV"
"06/28/2024","11:11:24","3","default","914727401","channel_3","0.343","min","5.286","ppm (mg/L)","Humid","23.989","deg","88000","µV","26.882","°C","1020.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.50","0","64.00","283882.98","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","171027-020","5/29/2024 12:41:56 PM","0000-00","0","no battery","V","","µV","","µV"
"06/28/2024","11:11:27","3","default","914727401","channel_3","0.393","min","5.291","ppm (mg/L)","Humid","23.979","deg","87988","µV","26.880","°C","1020.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.50","0","64.00","283878.11","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","171027-020","5/29/2024 12:41:56 PM","0000-00","0","no battery","V","","µV","","µV"
"06/28/2024","11:11:30","3","default","914727401","channel_3","0.443","min","5.288","ppm (mg/L)","Humid","23.987","deg","88009","µV","26.875","°C","1020.000","hPa","36.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.50","0","64.00","283897.15","SABD0000000001","AAV1.0.0.11","4.0.0.2353","PSt7-10","171027-020","5/29/2024 12:41:56 PM","0000-00","0","no battery","V","","µV","","µV"
