DATE,CORAL_NUM,GENOTYPE,LIGHT_DARK,RUN_NUM,CHAMBER,VOLUME,BLANK,START,END,TIME_IN,TIME_OUT
6/28/24,58,A,DARK,8,9,348,0,16:56,17:16,16:08,18:07
6/28/24,58,A,LIGHT,8,9,348,0,17:18,17:43,16:08,18:07
6/29/24,40,A,DARK,10,2,348,0,13:00,13:20,11:57,13:54
6/29/24,40,A,LIGHT,10,2,348,0,13:25,13:45,11:57,13:54
6/29/24,56,A,DARK,11,3,348,0,14:50,15:10,13:56,15:47
6/29/24,111,A,DARK,11,5,382,0,14:50,15:10,14:02,15:48
6/29/24,56,A,LIGHT,11,3,348,0,15:16,15:36,13:56,15:47
6/29/24,111,A,LIGHT,11,5,382,0,15:16,15:36,14:02,15:48
6/27/24,14,B,DARK,1,5,367,0,13:28,13:48,11:26,14:58
6/27/24,14,B,LIGHT,1,5,367,0,14:14,14:42,11:26,14:58
6/28/24,16,B,DARK,4,2,348,0,9:16,9:36,8:23,10:15
6/28/24,41,B,DARK,4,10,357,0,9:16,9:36,8:38,10:39
6/28/24,16,B,LIGHT,4,2,348,0,9:48,10:08,8:23,10:15
6/28/24,41,B,LIGHT,4,10,357,0,9:48,10:08,8:38,10:39
6/28/24,73,B,DARK,8,6,384,0,16:56,17:16,16:04,18:03
6/28/24,73,B,LIGHT,8,6,384,0,17:18,17:43,16:04,18:03
6/27/24,BLANK,BLANK,DARK,1,4,358,1,13:28,13:48,11:21,14:57
6/27/24,BLANK,BLANK,LIGHT,1,4,358,1,14:14,14:42,11:21,14:57
6/27/24,BLANK,BLANK,DARK,2,5,357,1,16:44,17:04,16:04,17:36
6/27/24,BLANK,BLANK,LIGHT,2,5,357,1,17:11,17:31,16:04,17:36
6/28/24,BLANK,BLANK,DARK,3,6,360,1,7:34,7:54,6:52,8:31
6/28/24,BLANK,BLANK,LIGHT,3,6,360,1,7:58,8:18,6:52,8:31
6/28/24,BLANK,BLANK,DARK,4,7,379,1,9:16,9:36,8:34,10:30
6/28/24,BLANK,BLANK,LIGHT,4,7,379,1,9:48,10:08,8:34,10:30
6/28/24,BLANK,BLANK,DARK,5,8,378,1,11:11,11:31,10:39,12:21
6/28/24,BLANK,BLANK,LIGHT,5,8,378,1,11:34,11:54,10:39,12:21
6/28/24,BLANK,BLANK,DARK,6,9,364,1,13:08,13:28,12:21,14:16
6/28/24,BLANK,BLANK,LIGHT,6,9,364,1,13:34,13:54,12:21,14:16
6/28/24,BLANK,BLANK,DARK,7,10,371,1,15:10,15:30,14:20,16:17
6/28/24,BLANK,BLANK,LIGHT,7,10,371,1,15:30,15:50,14:20,16:17
6/28/24,BLANK,BLANK,DARK,8,1,390,1,16:56,17:16,15:56,17:54
6/28/24,BLANK,BLANK,LIGHT,8,1,390,1,17:18,17:43,15:56,17:54
6/29/24,BLANK,BLANK,DARK,9,2,392,1,9:48,10:08,8:06,11:53
6/29/24,BLANK,BLANK,LIGHT,9,2,392,1,11:17,12:19,8:06,11:53
6/29/24,BLANK,BLANK,DARK,10,6,395,1,13:00,13:20,12:10,14:02
6/29/24,BLANK,BLANK,LIGHT,10,6,395,1,13:25,13:45,12:10,14:02
6/29/24,BLANK,BLANK,DARK,11,4,395,1,14:50,15:10,13:58,15:47
6/29/24,BLANK,BLANK,LIGHT,11,4,395,1,15:16,15:36,13:58,15:47
6/28/24,37,C,DARK,3,5,387,0,7:34,7:54,6:52,8:30
6/28/24,37,C,LIGHT,3,5,387,0,7:58,8:18,6:52,8:30
6/28/24,113,C,DARK,5,1,359,0,11:11,11:31,10:14,11:38
6/28/24,113,C,LIGHT,5,1,359,0,11:34,11:54,10:14,11:38
6/29/24,46,C,DARK,9,8,382,0,9:48,10:08,8:23,12:13
6/29/24,46,C,LIGHT,9,8,382,0,11:17,12:19,8:23,12:13
6/27/24,106,D,DARK,2,7,380,0,16:44,17:04,16:04,17:37
6/27/24,106,D,LIGHT,2,7,380,0,17:11,17:31,16:04,17:37
6/28/24,145,D,DARK,8,5,383,0,16:56,17:16,16:04,18:03
6/28/24,153,D,DARK,8,10,358,0,16:56,17:16,16:08,18:09
6/28/24,145,D,LIGHT,8,5,383,0,17:18,17:43,16:04,18:03
6/28/24,153,D,LIGHT,8,10,358,0,17:18,17:43,16:08,18:09
6/28/24,74,E,DARK,6,7,367,0,13:08,13:28,12:14,14:12
6/28/24,74,E,LIGHT,6,7,367,0,13:34,13:54,12:14,14:12
6/28/24,63,E,DARK,7,9,373,0,15:10,15:30,14:18,16:15
6/28/24,63,E,LIGHT,7,9,373,0,15:30,15:50,14:18,16:15
6/28/24,86,E,DARK,8,4,375,0,16:56,17:16,16:03,18:00
6/28/24,86,E,LIGHT,8,4,375,0,17:18,17:43,16:03,18:00
6/29/24,85,E,DARK,9,5,375,0,9:48,10:08,8:16,12:04
6/29/24,85,E,LIGHT,9,5,375,0,11:17,12:19,8:16,12:04
