FileName,GENOTYPE,CORAL_NUM,LIGHT_DARK,RUN_NUM,BLANK,Intercept,mg.L.sec,Temp.C
B_14_DARK_RUN1_O2,B,14,DARK,1,0,1.1175721353065546,-0.001063185,27.807493827160492
BLANK_DARK_RUN1_0627_O2,BLANK,BLANK,DARK,1,1,5.628523539964118,-1.74E-04,27.70909693877551
F_51_DARK_RUN1_O2,F,51,DARK,1,0,2.494803172924378,-0.001218524,27.686987654320987
J_8_DARK_RUN1_O2,J,8,DARK,1,0,4.4723119407626815,-8.83E-04,27.953716049382717
L_78_DARK_RUN1_O2,L,78,DARK,1,0,4.154845853387636,-9.48E-04,27.822925925925926
M_11_DARK_RUN1_O2,M,11,DARK,1,0,2.3243766650540234,-0.001179278,27.85016049382716
N_43_DARK_RUN1_O2,N,43,DARK,1,0,2.5188611955420477,-0.001107523,27.63395061728395
O_148_DARK_RUN1_O2,O,148,DARK,1,0,3.103831200423057,-9.63E-04,27.746111111111112
X_202_DARK_RUN1_O2,X,202,DARK,1,0,3.0413819056429237,-0.001207623,27.71358024691358
X_203_DARK_RUN1_O2,X,203,DARK,1,0,4.682963195713071,-0.001184545,27.554246913580247
BLANK_DARK_RUN2_627_O2,BLANK,BLANK,DARK,2,1,6.038663246753252,-2.47E-04,27.49987341772152
D_106_DARK_RUN2_O2,D,106,DARK,2,0,4.406095164635726,-0.001422103,27.370683544303798
F_33_DARK_RUN2_O2,F,33,DARK,2,0,5.792260061,-0.001674815,27.26032911392405
F_68_DARK_RUN2_O2,F,68,DARK,2,0,3.977992657534247,-0.001280062,27.413
I_102_DARK_RUN2_O2,I,102,DARK,2,0,3.7595358540454806,-0.001708778,27.470898734177215
K_76_DARK_RUN2_O2,K,76,DARK,2,0,4.368064469949405,-0.001811693,27.453037974683543
L_53_DARK_RUN2_O2,L,53,DARK,2,0,4.355003726708073,-0.00232817,27.289696202531644
S_114_DARK_RUN2_O2,S,114,DARK,2,0,3.709535787850755,-0.002593697,27.525569620253165
T_1_DARK_RUN2_O2,T,1,DARK,2,0,3.636497160786243,-0.001678341,27.52825316455696
U_101_DARK_RUN2_O2,U,101,DARK,2,0,4.772957846163743,-0.001267384,27.449835443037976
B_14_LIGHT_RUN1_O2,B,14,LIGHT,1,0,0.588918301,5.147991543340383e-4,27.616776699029128
F_51_LIGHT_RUN1_O2,F,51,LIGHT,1,0,2.062393229812153,0.002647747,27.543067961165047
J_8_LIGHT_RUN1_O2,J,8,LIGHT,1,0,4.195999203258055,0.001670549,27.607155339805825
L_78_LIGHT_RUN1_O2,L,78,LIGHT,1,0,3.9952319863597605,0.002641951,27.726514563106797
M_11_LIGHT_RUN1_O2,M,11,LIGHT,1,0,2.0259959933514122,0.003417864,27.747582524271845
N_43_LIGHT_RUN1_O2,N,43,LIGHT,1,0,2.000783332,0.00111162,27.395912621359223
O_148_LIGHT_RUN1_O2,O,148,LIGHT,1,0,2.7682049907883868,0.001977793,27.554893203883495
X_202_LIGHT_RUN1_O2,X,202,LIGHT,1,0,2.5975759623861308,0.001991562,27.474009708737864
X_203_LIGHT_RUN1_O2,X,203,LIGHT,1,0,5.985318181818186,0.002812253,27.712441176470588
BLANK_LIGHT_RUN2_627_O2,BLANK,BLANK,LIGHT,2,1,5.907808569683553,-3.13E-04,27.441506666666665
D_106_LIGHT_RUN2_O2,D,106,LIGHT,2,0,3.837983551040155,0.002101435,27.402266666666666
F_33_LIGHT_RUN2_O2,F,33,LIGHT,2,0,5.1971507863089785,0.003178076,27.372586666666667
F_68_LIGHT_RUN2_O2,F,68,LIGHT,2,0,3.532614868881118,0.001265114,27.384653333333333
I_102_LIGHT_RUN2_O2,I,102,LIGHT,2,0,3.1569570274170258,0.004254012,27.438626666666668
K_76_LIGHT_RUN2_O2,K,76,LIGHT,2,0,4.090463441724518,0.002255667,27.35468
L_53_LIGHT_RUN2_O2,L,53,LIGHT,2,0,3.5788445138055236,0.003769316,27.36954666666667
S_114_LIGHT_RUN2_O2,S,114,LIGHT,2,0,2.790107553366176,0.002646163,27.591920000000002
T_1_LIGHT_RUN2_O2,T,1,LIGHT,2,0,2.948642871211296,0.00169721,27.42932
U_101_LIGHT_RUN2_O2,U,101,LIGHT,2,0,4.2499643829600355,0.002167984,27.350373333333334
BLANK_DARK_RUN3_628_O2,BLANK,BLANK,DARK,3,1,6.142172495421248,-8.25E-05,27.12917105263158
C_37_DARK_RUN3_O2,C,37,DARK,3,0,4.4199123265306115,-0.002208245,27.357513157894736
F_108_DARK_RUN3_O2,F,108,DARK,3,0,4.886044198587479,-0.001340758,27.309644736842106
G_90_DARK_RUN3_O2,G,90,DARK,3,0,5.314647173304104,-0.001228126,27.282315789473685
I_38_DARK_RUN3_O2,I,38,DARK,3,0,4.776128746530988,-0.001984204,27.367065789473685
M_71_DARK_RUN3_O2,M,71,DARK,3,0,6.6285652717708965,-0.001303203,26.993486842105263
V_140_DARK_RUN3_O2,V,140,DARK,3,0,5.810403891891887,-0.001343892,27.143802631578946
W_115_DARK_RUN3_O2,W,115,DARK,3,0,4.933958447488589,-0.002556621,27.454263157894736
W_36_DARK_RUN3_O2,W,36,DARK,3,0,5.011271832,-0.001752069,27.090118421052633
X_208_DARK_RUN3_O2,X,208,DARK,3,0,4.778102010489511,-0.001166871,27.343197368421052
B_16_DARK_RUN4_O2,B,16,DARK,4,0,4.386835565535698,-0.00129996,27.350140845070424
B_41_DARK_RUN4_O2,B,41,DARK,4,0,4.746494965072333,-0.002993381,27.085197183098593
BLANK_DARK_RUN4_628_O2,BLANK,BLANK,DARK,4,1,5.9647861538461555,-2.22E-04,27.402830985915493
H_156_DARK_RUN4_O2,H,156,DARK,4,0,3.9860718073819954,-0.002062024,27.270633802816903
I_27_DARK_RUN4_O2,I,27,DARK,4,0,5.858595735976111,-0.002262657,26.778718309859155
