DATE,CORAL_NUM,GENOTYPE,RUN_NUM,CHAMBER,Temp.C,mmol.gram.hr_uncorr,P_R,NetPhoto,Respiration,GrossPhoto
6/27/24,1,T,2,2,27.42952632,3.114854999999999e-5,NP,3.718497857142857e-5,NA,NA
6/27/24,101,U,2,3,27.34910526,5.8753323000000015e-5,NP,6.720432300000001e-5,NA,NA
6/27/24,102,I,2,6,27.436,7.991324372093023e-5,NP,8.580929023255814e-5,NA,NA
6/27/24,106,D,2,7,27.39852632,1.1268196200000002e-4,NP,1.2958396200000004e-4,NA,NA
6/27/24,114,S,2,8,27.58784211,5.719846319999999e-5,NP,6.39592632e-5,NA,NA
6/27/24,33,F,2,9,27.36784211,3.6330883714285716e-4,NP,3.995274085714286e-4,NA,NA
6/27/24,53,L,2,10,27.36615789,7.618602825e-5,NP,8.252427825e-5,NA,NA
6/27/24,68,F,2,4,27.38247368,7.571867999999999e-5,NP,9.449867999999998e-5,NA,NA
6/27/24,76,K,2,1,27.35336842,7.44525881632653e-5,NP,8.480075142857143e-5,NA,NA
6/27/24,BLANK,BLANK,2,5,27.437,0,NP,0,NA,NA
6/28/24,108,F,3,2,27.35894737,5.7577700930232565e-5,NP,6.085914279069767e-5,NA,NA
6/28/24,115,W,3,8,27.54073684,7.708645870129872e-5,NP,7.891895220779222e-5,NA,NA
6/28/24,140,V,3,10,27.39947368,1.1918932137931034e-4,NP,1.240549075862069e-4,NA,NA
6/28/24,208,X,3,4,27.38126316,9.710796375000002e-5,NP,1.0151740125000002e-4,NA,NA
6/28/24,36,W,3,3,27.12121053,5.817272294117648e-5,NP,6.232278176470589e-5,NA,NA
6/28/24,37,C,3,5,27.41610526,4.7844756e-5,NP,5.0015556e-5,NA,NA
6/28/24,38,I,3,7,27.52352632,7.952428657894737e-5,NP,8.138089184210525e-5,NA,NA
6/28/24,71,M,3,9,27.16910526,6.4814742e-4,NP,6.763678200000001e-4,NA,NA
6/28/24,90,G,3,1,27.35036842,2.2043913230769232e-4,NP,2.312931323076923e-4,NA,NA
6/28/24,BLANK,BLANK,3,6,27.18989474,0,NP,0,NA,NA
6/28/24,110,K,4,5,27.69810526,6.569762561797754e-5,NP,6.895582786516854e-5,NA,NA
6/28/24,13,U,4,6,27.54210526,8.659897411764706e-5,NP,9.228485647058824e-5,NA,NA
6/28/24,137,P,4,8,27.79378947,7.1172e-5,NP,9.050399999999999e-5,NA,NA
6/28/24,156,H,4,1,27.68063158,6.3814024067796607e-05,NP,6.872893932203389e-5,NA,NA
6/28/24,16,B,4,2,27.64484211,5.6364504230769224e-5,NP,6.194104269230768e-5,NA,NA
6/28/24,25,M,4,4,27.78010526,2.719853345454545e-4,NP,2.9834715272727275e-4,NA,NA
6/28/24,27,I,4,9,27.43063158,6.977315699999998e-5,NP,7.339790699999998e-5,NA,NA
6/28/24,41,B,4,10,27.73252632,5.0352804e-5,NP,5.3574804000000005e-5,NA,NA
6/28/24,59,K,4,3,27.44363158,6.158382230769231e-5,NP,6.530151461538461e-5,NA,NA
6/28/24,BLANK,BLANK,4,7,27.83678947,0,NP,0,NA,NA
6/28/24,113,C,5,1,27.6439,7.109340000000002e-5,NP,7.625340000000003e-5,NA,NA
6/28/24,118,N,5,9,27.53145,0,NP,0,NA,NA
6/28/24,127,P,5,2,27.64505,4.48473915e-4,NP,5.181339150000001e-4,NA,NA
6/28/24,141,T,5,7,27.88035,6.458435746478872e-5,NP,6.850886450704225e-5,NA,NA
6/28/24,149,O,5,3,27.44235,1.4914512e-4,NP,1.6462512e-4,NA,NA
6/28/24,151,W,5,6,27.4852,1.1317482000000003e-4,NP,1.2956540823529417e-4,NA,NA
6/28/24,155,W,5,10,27.79055,2.0556072e-4,NP,2.2878072e-4,NA,NA
6/28/24,28,P,5,4,27.8379,1.8282857142857146e-6,NP,8.462571428571427e-6,NA,NA
6/28/24,BLANK,BLANK,5,8,27.8945,0,NP,0,NA,NA
6/28/24,128,R,6,6,27.3613,4.7915531590909094e-5,NP,5.097144068181819e-5,NA,NA
6/28/24,135,P,6,5,27.4476,9.745911899999999e-4,NP,0.00110905119,NA,NA
6/28/24,136,S,6,3,27.27665,5.472133200000001e-4,NP,5.9203332e-4,NA,NA
6/28/24,19,L,6,10,27.4819,3.5044416000000006e-4,NP,3.8032416000000004e-4,NA,NA
6/28/24,2,M,6,4,27.5093,9.16252141935484e-5,NP,1.0030005290322583e-4,NA,NA
6/28/24,48,I,6,2,27.4446,3.942650602409638e-5,NP,4.2666506024096385e-5,NA,NA
6/28/24,74,E,6,7,27.57045,5.8429295999999995e-5,NP,6.4405296e-5,NA,NA
6/28/24,80,S,6,8,27.6195,0.0019763999999999997,NP,0.0022453199999999994,NA,NA
6/28/24,95,L,6,1,27.42975,6.226680162162161e-5,NP,6.590085567567568e-5,NA,NA
6/28/24,BLANK,BLANK,6,9,27.18105,0,NP,0,NA,NA
6/28/24,10,G,7,8,28.11895238,1.2254937631578947e-4,NP,1.319283236842105e-4,NA,NA
6/28/24,117,J,7,4,27.963857139999998,1.676196094736842e-4,NP,1.8637750421052633e-4,NA,NA
6/28/24,134,U,7,5,27.50671429,5.044090909090909e-5,NP,6.664090909090909e-5,NA,NA
6/28/24,18,V,7,3,27.96761905,7.183188e-5,NP,8.173188e-5,NA,NA
6/28/24,206,Q,7,6,27.60952381,4.090689771428572e-4,NP,4.5998326285714286e-4,NA,NA
6/28/24,21,N,7,1,27.87328571,7.231572e-5,NP,8.145418153846153e-5,NA,NA
6/28/24,210,Q,7,7,28.08714286,7.4624844375e-5,NP,8.019359437499999e-5,NA,NA
6/28/24,63,E,7,9,27.61390476,1.497276276923077e-4,NP,1.6343532e-4,NA,NA
6/28/24,64,K,7,2,27.81385714,2.5842697411764712e-5,NP,3.0035638588235296e-5,NA,NA
6/28/24,BLANK,BLANK,7,10,27.82852381,0,NP,0,NA,NA
6/28/24,100,U,8,7,27.74882609,8.35180690909091e-5,NP,8.672861454545455e-5,NA,NA
6/28/24,145,D,8,5,27.65713043,1.2109500000000002e-6,NP,5.625450000000001e-6,NA,NA
6/28/24,204,Q,8,2,27.64604348,8.924769e-4,NP,9.513369e-4,NA,NA
6/28/24,58,A,8,9,27.28295652,1.038134025e-4,NP,1.062659025e-4,NA,NA
6/28/24,66,R,8,8,27.86730435,6.766018838709679e-5,NP,7.050825290322581e-5,NA,NA
6/28/24,73,B,8,6,27.29386957,8.677731103448274e-5,NP,8.982179379310345e-5,NA,NA
6/28/24,86,E,8,4,27.69626087,1.1794379142857143e-4,NP,1.2635236285714286e-4,NA,NA
6/28/24,97,V,8,3,27.30747826,2.9793246428571435e-5,NP,3.294646071428572e-5,NA,NA
6/28/24,BLANK,BLANK,8,1,27.5066087,0,NP,0,NA,NA
6/29/24,146,O,9,7,27.56768182,5.437677492537315e-5,NP,5.7906924179104485e-5,NA,NA
6/29/24,147,H,9,3,26.919,3.893706e-5,NP,4.185706e-5,NA,NA
6/29/24,207,X,9,4,27.39709091,8.183076545454546e-5,NP,8.541440181818182e-5,NA,NA
6/29/24,46,C,9,8,27.42154545,0,NP,0,NA,NA
6/29/24,6,J,9,9,27.06981818,8.517746454545454e-5,NP,9.05529190909091e-5,NA,NA
6/29/24,60,J,9,6,27.14481818,9.37324252173913e-5,NP,1.0401590347826087e-4,NA,NA
6/29/24,8,J,9,1,27.28045455,4.9858300285714286e-5,NP,5.3237157428571425e-5,NA,NA
6/29/24,85,E,9,5,27.31536364,1.2338056080000003e-4,NP,1.328413608e-4,NA,NA
6/29/24,92,G,9,10,27.37704545,1.6057584642857142e-4,NP,1.6902298928571428e-4,NA,NA
6/29/24,BLANK,BLANK,9,2,27.1645,0,NP,0,NA,NA
6/29/24,104,G,10,5,27.50322222,4.978494620689656e-5,NP,5.141053241379312e-5,NA,NA
6/29/24,125,T,10,7,27.639,7.149623625000001e-5,NP,7.444261125000001e-5,NA,NA
6/29/24,138,R,10,3,27.12411111,4.540908600000001e-5,NP,4.823760600000001e-5,NA,NA
6/29/24,139,T,10,10,27.52338889,8.445638571428573e-5,NP,8.734263061224491e-5,NA,NA
6/29/24,15,V,10,4,27.5755,4.4190715609756106e-5,NP,4.764013024390245e-5,NA,NA
6/29/24,159,H,10,9,27.41027778,5.6436031698113216e-5,NP,5.9104446792452836e-5,NA,NA
6/29/24,40,A,10,2,27.47116667,5.7450599999999995e-5,NP,5.950025217391305e-5,NA,NA
6/29/24,50,I,10,8,27.64516667,6.929002756097562e-5,NP,7.101473487804879e-5,NA,NA
6/29/24,BLANK,BLANK,10,6,27.22594444,0,NP,0,NA,NA
6/29/24,111,A,11,5,27.55621429,6.0943490526315803e-5,NP,6.605928000000002e-5,NA,NA
6/29/24,123,S,11,2,27.55739286,1.1324218500000002e-4,NP,1.2539218500000001e-4,NA,NA
6/29/24,162,O,11,1,25.15217857,4.0412216250000003e-4,NP,4.405721625000001e-4,NA,NA
6/29/24,56,A,11,3,27.38246429,9.055220936170212e-5,NP,9.675646468085107e-5,NA,NA
6/29/24,96,N,11,6,27.44871429,4.8949441967213114e-5,NP,5.372976983606557e-5,NA,NA
6/29/24,BLANK,BLANK,11,4,27.54521429,0,NP,0,NA,NA
6/27/24,11,M,1,7,27.84571429,2.6227755616438358e-5,R,NA,-2.3054330958904108e-5,NA
6/27/24,14,B,1,5,27.80647619,2.3368541012658234e-5,R,NA,-2.043613594936709e-5,NA
6/27/24,148,O,1,2,27.74633333,1.55844e-4,R,NA,-1.3267799999999998e-4,NA
6/27/24,202,X,1,6,27.71295238,2.950453588235294e-5,R,NA,-2.6097771176470587e-5,NA
