FileName,GENOTYPE,CORAL_NUM,LIGHT_DARK,RUN_NUM,BLANK,Intercept,umol.L.sec,Temp.C
A_82_DARK_RUN1_O2,A,82,DARK,1,0,153.0597234,-0.049024096,28.29182927
B_94_DARK_RUN1_O2,B,94,DARK,1,0,163.2359877,-0.039631522,28.27127642
BLANK_DARK_RUN1_O2,BLANK,BLANK,DARK,1,1,198.1926691,-3.31E-04,28.37643902
C_29_DARK_RUN1_O2,C,29,DARK,1,0,185.7787202,-0.036551261,28.36227642
G_91_DARK_RUN1_O2,G,91,DARK,1,0,138.6403333,-0.042837514,28.2489187
H_75_DARK_RUN1_O2,H,75,DARK,1,0,167.1291302,-0.031095895,28.3082439
I_47_DARK_RUN1_O2,I,47,DARK,1,0,132.8927989,-0.059570783,28.28213008
J_105_DARK_RUN1_O2,J,105,DARK,1,0,191.3516465,-0.067415151,28.16221138
K_99_DARK_RUN1_O2,K,99,DARK,1,0,165.064344,-0.058628103,28.26739024
L_23_DARK_RUN1_O2,L,23,DARK,1,0,155.4688927,-0.050574819,28.19470732
BLANK_DARK_RUN2_O2,BLANK,BLANK,DARK,2,1,187.4740325,-0.003159023,28.28550735
D_55_DARK_RUN2_O2,D,55,DARK,2,0,192.6243493,-0.038515408,28.44935294
E_34_DARK_RUN2_O2,E,34,DARK,2,0,204.9398475,-0.0455979,28.42710294
F_31_DARK_RUN2_O2,F,31,DARK,2,0,210.502513,-0.043643591,28.35469853
A_82_LIGHT_RUN1_O2,A,82,LIGHT,1,0,280.2416372,0.098936959,28.42241897
B_94_LIGHT_RUN1_O2,B,94,LIGHT,1,0,239.3198161,0.048331747,28.39478656
BLANK_LIGHT_RUN1_O2,BLANK,BLANK,LIGHT,1,1,196.5631676,-0.001516073,28.42998814
C_29_LIGHT_RUN1_O2,C,29,LIGHT,1,0,215.7750193,0.039482013,28.47494862
G_91_LIGHT_RUN1_O2,G,91,LIGHT,1,0,194.6784064,0.042133409,28.33523715
H_75_LIGHT_RUN1_O2,H,75,LIGHT,1,0,213.9012152,0.023792158,28.41785771
I_47_LIGHT_RUN1_O2,I,47,LIGHT,1,0,176.9420867,0.021323626,28.4605415
J_105_LIGHT_RUN1_O2,J,105,LIGHT,1,0,244.0454925,0.068529486,28.27011067
K_99_LIGHT_RUN1_O2,K,99,LIGHT,1,0,220.9077794,0.073818496,28.47058893
L_23_LIGHT_RUN1_O2,L,23,LIGHT,1,0,258.6368877,0.05599563,28.35835178
BLANK_LIGHT_RUN2_O2,BLANK,BLANK,LIGHT,2,1,185.3163102,-0.002996439,28.33331349
D_55_LIGHT_RUN2_O2,D,55,LIGHT,2,0,193.6383996,0.066639813,28.49234921
E_34_LIGHT_RUN2_O2,E,34,LIGHT,2,0,201.6266196,0.070861513,28.40276587
F_31_LIGHT_RUN2_O2,F,31,LIGHT,2,0,197.2201109,0.034435688,28.37267063
BLANK_DARK_RUN1_DAY2_O2,BLANK,BLANK,DARK,1,1,215.4614396,-0.004323579,27.96938532
M_49_DARK_RUN1_O2,M,49,DARK,1,0,177.4744772,-0.063414035,28.0499633
N_70_DARK_RUN1_O2,N,70,DARK,1,0,195.3007279,-0.033485536,27.79829358
O_26_DARK_RUN1_O2,O,26,DARK,1,0,172.2254695,-0.058395985,27.67941284
Q_143_DARK_RUN1_O2,Q,143,DARK,1,0,197.2565519,-0.047055265,27.95298165
BLANK_DARK_RUN2_DAY2_O2,BLANK,BLANK,DARK,2,1,185.7788142,-0.004237175,28.19906349
N_22_DARK_RUN2_O2,N,22,DARK,2,0,188.7247797,-0.045492746,28.28903968
P_121_DARK_RUN2_O2,P,121,DARK,2,0,196.9116251,-0.037406499,28.32198413
Q_57_DARK_RUN2_O2,Q,57,DARK,2,0,207.5476965,-0.044461839,28.15296032
R_35_DARK_RUN2_O2,R,35,DARK,2,0,176.646168,-0.04032229,28.40907143
S_83_DARK_RUN2_O2,S,83,DARK,2,0,191.0333947,-0.042138799,28.10772222
T_12_DARK_RUN2_O2,T,12,DARK,2,0,239.2680109,-0.048956257,27.98152381
U_67_DARK_RUN2_O2,U,67,DARK,2,0,181.374671,-0.053897738,28.27299206
V_144_DARK_RUN2_O2,V,144,DARK,2,0,207.0378155,-0.050959261,28.21333333
W_157_DARK_RUN2_O2,W,157,DARK,2,0,199.8902541,-0.027187605,28.34977778
BLANK_LIGHT_RUN1_DAY2_O2,BLANK,BLANK,LIGHT,1,1,217.6967315,-0.003919518,28.06682303
M_49_LIGHT_RUN1_O2,M,49,LIGHT,1,0,176.0445727,0.058587514,28.1969073
N_70_LIGHT_RUN1_O2,N,70,LIGHT,1,0,195.2686033,0.019982941,27.86836798
O_26_LIGHT_RUN1_O2,O,26,LIGHT,1,0,158.6528782,0.060647899,27.84874157
Q_143_LIGHT_RUN1_O2,Q,143,LIGHT,1,0,196.2503555,0.093028928,28.11873596
BLANK_LIGHT_RUN2_DAY2_O2,BLANK,BLANK,LIGHT,2,1,182.6421822,-0.002808566,27.89486996
N_22_LIGHT_RUN2_O2,N,22,LIGHT,2,0,177.0694461,0.049362513,28.00430045
P_121_LIGHT_RUN2_O2,P,121,LIGHT,2,0,180.3824471,0.023603779,28.02185586
Q_57_LIGHT_RUN2_O2,Q,57,LIGHT,2,0,187.0129236,0.005584749,28.12284753
R_35_LIGHT_RUN2_O2,R,35,LIGHT,2,0,159.5395573,0.04465641,28.10227803
S_83_LIGHT_RUN2_O2,S,83,LIGHT,2,0,176.4748951,0.056692382,28.05965022
T_12_LIGHT_RUN2_O2,T,12,LIGHT,2,0,234.9748124,0.08778101,27.98211659
U_67_LIGHT_RUN2_O2,U,67,LIGHT,2,0,172.1389793,0.060324551,28.09913901
V_144_LIGHT_RUN2_O2,V,144,LIGHT,2,0,189.1590973,0.101836976,28.00101794
W_157_LIGHT_RUN2_O2,W,157,LIGHT,2,0,189.5827465,0.040787772,28.02765315
BLANK_DARK_RUN1_0605_O2,BLANK,BLANK,DARK,1,1,198.5839159,-5.66E-04,27.51853279
E_152_DARK_RUN1_O2,E,152,DARK,1,0,192.7415277,-0.076562989,27.32231967
