TankID,InflowTable,Treatment,Date
1,1,Bleach,20240602
2,2,COTS,20240602
3,2,Control,20240602
4,2,Bleach,20240602
5,2,COTS,20240602
6,2,Pre,20240602
7,2,Pre,20240602
8,1,Control,20240602
9,1,Pre,20240602
10,1,COTS,20240602
11,1,Control,20240602
12,1,COTS,20240602
13,1,Bleach,20240602
14,1,Bleach,20240602
15,1,Control,20240602
16,1,Pre,20240602
1,,Bleach,20240607
2,,COTS,20240607
3,,Control,20240607
4,,Bleach,20240607
5,,COTS,20240607
6,,Pre,20240607
7,,Pre,20240607
8,,Control,20240607
9,,Pre,20240607
10,,COTS,20240607
11,,Control,20240607
12,,COTS,20240607
13,,Bleach,20240607
14,,Bleach,20240607
15,,Control,20240607
16,,Pre,20240607
1,,Bleach,20240612
2,,COTS,20240612
3,,Control,20240612
4,,Bleach,20240612
5,,COTS,20240612
6,,Pre,20240612
7,,Pre,20240612
8,,Control,20240612
9,,Pre,20240612
10,,COTS,20240612
11,,Control,20240612
12,,COTS,20240612
13,,Bleach,20240612
14,,Bleach,20240612
15,,Control,20240612
16,,Pre,20240612
