Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-61,NaN,25.3,,,
0.06,17,-62.5,0.0035,25.4,,,
0.12,38,-51.2,0.003,25.4,,,
0.18,58,-34.9,0.003,25.4,,,
0.24,78,-14.9,0.003,25.4,,,
0.3,98,-0.6,0.003,25.4,,,
0.36,118,9.2,0.003,25.4,,,
0.42,138,17.3,0.003,25.4,,,
0.48,158,24.4,0.003,25.4,,,
0.54,178,30.7,0.003,25.4,,,
0.6,199,36.6,0.003,25.4,,,
0.66,219,42.3,0.003,25.4,,,
0.72,239,47.6,0.003,25.4,,,
0.78,259,52.9,0.003,25.4,,,
0.84,279,58.1,0.003,25.4,,,
0.9,298,63,0.003,25.4,,,
0.96,315,68.3,0.0035,25.4,,,
1.02,335,74.2,0.003,25.4,,,
1.08,353,80.4,0.0035,25.4,,,
1.14,370,87.2,0.0035,25.4,,,
1.2,389,95.9,0.003,25.4,,,
1.26,403,106.2,0.004,25.4,240.01,2.38,
1.32,419,121.3,0.0035,25.4,296.63,2.47,
1.38,431,144,0.005,25.4,332.36,2.52,
1.44,439,168.4,0.008,25.4,325.45,2.51,
1.5,445,183.6,0.01,25.4,270.6,2.43,
1.53,541,189.3,0.0005,25.4,220.5,2.34,
1.56,547,194,0.005,25.4,158.59,2.2,
1.59,552,198,0.0055,25.4,117.65,2.07,
1.62,558,201.5,0.0055,25.4,106.22,2.03,
1.65,563,204.6,0.006,25.4,95.84,1.98,
1.68,568,207.2,0.006,25.4,86.43,1.94,
1.71,573,209.7,0.006,25.4,78.76,1.9,
1.74,578,212.1,0.006,25.4,72.68,1.86,
1.77,583,214.2,0.0055,25.4,67.32,1.83,
1.8,589,216,0.0055,25.4,62.23,1.79,
1.83,594,217.9,0.006,25.4,57.8,1.76,
1.86,599,219.6,0.006,25.4,54.03,1.73,
1.89,604,221.1,0.0055,25.4,50.89,1.71,
1.92,609,222.6,0.0055,25.4,48.19,1.68,
1.95,614,224.1,0.0055,25.4,45.61,1.66,
1.98,620,225.3,0.0055,25.4,43.42,1.64,
2.01,625,226.6,0.0065,25.4,40.99,1.61,
2.04,630,227.9,0.0065,25.4,38.79,1.59,
2.07,635,229,0.006,25.4,37.24,1.57,
2.1,640,230,0.006,25.4,36.53,1.56,
2.13,645,231.1,0.006,25.4,,,
2.16,650,232.2,0.006,25.4,,,
2.19,655,233.2,0.006,25.4,,,
2.22,660,234.2,0.006,25.4,,,
2.25,665,235,0.0055,25.4,,,
Scope 1/1, Sample 1/18 (CRM),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-35.6,NaN,25.2,,,
0.06,3,-52.3,0.0175,25.2,,,
0.12,24,-34.8,0.003,25.3,,,
0.18,44,-13.4,0.003,25.3,,,
0.24,64,0,0.003,25.3,,,
0.3,84,9.4,0.003,25.3,,,
0.36,104,17.4,0.003,25.3,,,
0.42,124,24.6,0.003,25.3,,,
0.48,144,31.2,0.003,25.3,,,
0.54,164,37.4,0.003,25.3,,,
0.6,184,43,0.003,25.3,,,
0.66,205,48.2,0.003,25.3,,,
0.72,225,53.2,0.003,25.3,,,
0.78,243,57.9,0.0035,25.3,,,
0.84,263,63.2,0.003,25.3,,,
0.9,283,68.6,0.003,25.3,,,
0.96,300,74.1,0.0035,25.3,,,
1.02,317,80.4,0.0035,25.3,,,
1.08,335,87.8,0.0035,25.3,,,
1.14,352,96.8,0.0035,25.3,,,
1.2,368,108.4,0.0035,25.3,262.81,2.42,
1.26,383,125.8,0.004,25.3,314.18,2.5,
1.32,394,150.4,0.0055,25.3,338.56,2.53,
1.38,401,172.5,0.0085,25.3,317.45,2.5,
1.44,407,186.5,0.01,25.3,250.34,2.4,
1.47,503,191.6,0.0005,25.3,195.65,2.29,
1.5,508,195.8,0.0055,25.3,138.25,2.14,
1.53,514,199.5,0.005,25.3,108.85,2.04,
1.56,519,202.7,0.006,25.3,98.98,2,
1.59,524,205.7,0.0055,25.3,90.8,1.96,
1.62,530,208.3,0.005,25.3,82.2,1.91,
1.65,535,210.6,0.006,25.3,74.92,1.87,
1.68,541,212.7,0.0055,25.3,68.83,1.84,
1.71,546,214.8,0.0065,25.3,64.02,1.81,
1.74,551,216.6,0.006,25.3,60.42,1.78,
1.77,556,218.4,0.006,25.3,56.62,1.75,
1.8,561,220,0.006,25.3,52.79,1.72,
1.83,566,221.6,0.006,25.3,48.9,1.69,
1.86,571,223,0.006,25.3,46.27,1.67,
1.89,576,224.3,0.006,25.3,43.77,1.64,
1.92,581,225.6,0.0055,25.3,42.13,1.62,
1.95,586,226.8,0.0055,25.3,40.47,1.61,
