Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-62.3,NaN,25.1,,,,
0.0600,15,-63.8,0.0040,25.2,,,,
0.1200,35,-52.0,0.0030,25.2,,,,
0.1800,55,-35.0,0.0030,25.2,,,,
0.2400,75,-14.9,0.0030,25.2,,,,
0.3000,96,-0.7,0.0030,25.2,,,,
0.3600,116,9.1,0.0030,25.2,,,,
0.4200,136,17.2,0.0030,25.2,,,,
0.4800,156,24.2,0.0030,25.2,,,,
0.5400,176,30.6,0.0030,25.2,,,,
0.6000,196,36.6,0.0030,25.2,,,,
0.6600,216,42.3,0.0030,25.2,,,,
0.7200,236,47.7,0.0030,25.2,,,,
0.7800,257,52.9,0.0030,25.2,,,,
0.8400,277,58.2,0.0030,25.2,,,,
0.9000,296,63.3,0.0030,25.3,,,,
0.9600,314,68.6,0.0035,25.3,,,,
1.0200,330,74.2,0.0035,25.3,,,,
1.0800,347,80.6,0.0035,25.3,,,,
1.1400,363,87.7,0.0040,25.3,,,,
1.2000,381,96.6,0.0035,25.3,,,,
1.2600,398,107.6,0.0035,25.3,248.90,2.40,,
1.3200,412,123.1,0.0040,25.3,302.50,2.48,,
1.3800,423,146.8,0.0055,25.3,333.54,2.52,,
1.4400,430,170.2,0.0085,25.3,321.20,2.51,,
1.5000,436,184.8,0.0100,25.3,262.04,2.42,,
1.5300,533,190.3,0.0005,25.3,210.75,2.32,,
1.5600,539,194.8,0.0055,25.3,149.58,2.17,,
1.5900,545,198.7,0.0055,25.3,114.05,2.06,,
1.6200,550,202.0,0.0060,25.3,103.44,2.01,,
1.6500,557,205.1,0.0045,25.3,93.37,1.97,,
1.6800,562,207.7,0.0060,25.3,84.46,1.93,,
1.7100,567,210.1,0.0060,25.3,76.93,1.89,,
1.7400,572,212.4,0.0060,25.3,71.02,1.85,,
1.7700,578,214.4,0.0050,25.3,65.65,1.82,,
1.8000,583,216.3,0.0060,25.3,61.42,1.79,,
1.8300,588,218.1,0.0055,25.3,57.27,1.76,,
1.8600,593,219.8,0.0055,25.3,53.75,1.73,,
1.8900,598,221.3,0.0055,25.3,50.42,1.70,,
1.9200,604,222.8,0.0055,25.3,47.47,1.68,,
1.9500,609,224.2,0.0065,25.3,44.95,1.65,,
1.9800,614,225.5,0.0060,25.3,42.75,1.63,,
2.0100,619,226.7,0.0060,25.3,41.00,1.61,,
2.0400,624,228.0,0.0060,25.3,39.14,1.59,,
2.0700,629,229.1,0.0060,25.3,37.80,1.58,,
2.1000,634,230.2,0.0060,25.3,36.34,1.56,,
2.1300,640,231.3,0.0055,25.3,,,,
2.1600,645,232.3,0.0065,25.3,,,,
2.1900,650,233.3,0.0060,25.3,,,,
2.2200,655,234.2,0.0060,25.3,,,,
2.2500,660,235.1,0.0060,25.3,,,,
6/20/2024 12:50:21 PMSystemInternal,,,,,,,,1/1
