Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-75.7,NaN,25.3,,,,
0.0600,12,-75.1,0.0050,25.4,,,,
0.1200,32,-65.8,0.0030,25.4,,,,
0.1800,53,-53.6,0.0030,25.4,,,,
0.2400,73,-36.4,0.0030,25.4,,,,
0.3000,93,-14.8,0.0030,25.4,,,,
0.3600,113,0.6,0.0030,25.4,,,,
0.4200,133,11.1,0.0030,25.4,,,,
0.4800,153,19.7,0.0030,25.4,,,,
0.5400,173,27.4,0.0030,25.4,,,,
0.6000,193,34.4,0.0030,25.4,,,,
0.6600,214,41.0,0.0030,25.4,,,,
0.7200,234,47.3,0.0030,25.4,,,,
0.7800,254,53.3,0.0030,25.4,,,,
0.8400,274,59.3,0.0030,25.4,,,,
0.9000,294,65.4,0.0030,25.4,,,,
0.9600,314,71.8,0.0030,25.4,,,,
1.0200,334,78.5,0.0030,25.4,,,,
1.0800,353,86.2,0.0030,25.4,,,,
1.1400,371,95.7,0.0035,25.4,,,,
1.2000,388,107.9,0.0035,25.4,274.98,2.44,,
1.2600,402,126.1,0.0040,25.4,326.46,2.51,,
1.3200,412,152.1,0.0055,25.4,347.57,2.54,,
1.3800,420,174.1,0.0075,25.4,320.88,2.51,,
1.4400,426,187.8,0.0100,25.4,248.22,2.39,,
1.4700,522,192.6,0.0005,25.4,190.26,2.28,,
1.5000,528,196.7,0.0055,25.4,131.63,2.12,,
1.5300,533,200.4,0.0060,25.4,105.86,2.02,,
1.5600,538,203.5,0.0055,25.4,98.01,1.99,,
1.5900,544,206.5,0.0055,25.4,90.53,1.96,,
1.6200,549,209.1,0.0065,25.4,81.56,1.91,,
1.6500,554,211.4,0.0060,25.4,73.94,1.87,,
1.6800,559,213.5,0.0060,25.4,67.64,1.83,,
1.7100,564,215.4,0.0060,25.4,62.49,1.80,,
1.7400,569,217.3,0.0060,25.4,59.09,1.77,,
1.7700,574,219.0,0.0060,25.4,55.75,1.75,,
1.8000,579,220.6,0.0055,25.4,52.47,1.72,,
1.8300,584,222.2,0.0055,25.4,49.14,1.69,,
1.8600,590,223.6,0.0055,25.4,45.89,1.66,,
1.8900,594,224.9,0.0065,25.4,43.81,1.64,,
1.9200,600,226.2,0.0055,25.4,41.61,1.62,,
1.9500,605,227.4,0.0065,25.4,40.13,1.60,,
1.9800,610,228.6,0.0060,25.4,38.68,1.59,,
2.0100,615,229.8,0.0060,25.4,36.99,1.57,,
2.0400,620,230.8,0.0060,25.4,35.15,1.55,,
2.0700,625,231.9,0.0060,25.4,,,,
2.1000,630,232.8,0.0060,25.4,,,,
2.1300,635,233.8,0.0055,25.4,,,,
2.1600,640,234.7,0.0055,25.4,,,,
2.1900,645,235.6,0.0055,25.4,,,,
SystemInternal6/21/2024 11:15:32 AM,,,,,,,,1/1
