Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-73.1,NaN,25.8,,,,
0.0600,13,-72.3,0.0045,25.8,,,,
0.1200,33,-62.8,0.0030,25.8,,,,
0.1800,54,-50.3,0.0030,25.8,,,,
0.2400,74,-32.6,0.0030,25.8,,,,
0.3000,94,-11.9,0.0030,25.9,,,,
0.3600,114,1.9,0.0030,25.9,,,,
0.4200,134,11.7,0.0030,25.9,,,,
0.4800,154,19.9,0.0030,25.9,,,,
0.5400,174,27.2,0.0030,25.9,,,,
0.6000,194,33.8,0.0030,25.9,,,,
0.6600,214,40.1,0.0030,25.9,,,,
0.7200,235,46.0,0.0030,25.9,,,,
0.7800,255,51.8,0.0030,25.9,,,,
0.8400,275,57.3,0.0030,25.9,,,,
0.9000,295,62.9,0.0030,25.9,,,,
0.9600,315,68.8,0.0030,25.9,,,,
1.0200,334,74.9,0.0030,25.9,,,,
1.0800,352,81.6,0.0035,25.9,,,,
1.1400,370,89.3,0.0035,25.9,,,,
1.2000,387,98.7,0.0035,25.9,,,,
1.2600,402,111.3,0.0040,25.9,275.71,2.44,,
1.3200,416,129.6,0.0040,25.9,323.05,2.51,,
1.3800,426,155.5,0.0060,25.9,339.79,2.53,,
1.4400,433,176.2,0.0085,25.9,309.62,2.49,,
1.5000,438,188.8,0.0115,25.9,236.44,2.37,,
1.5300,534,193.7,0.0005,25.9,180.05,2.26,,
1.5600,539,197.8,0.0060,25.9,125.16,2.10,,
1.5900,545,201.3,0.0055,25.9,104.22,2.02,,
1.6200,550,204.4,0.0065,25.9,96.43,1.98,,
1.6500,555,207.3,0.0060,25.9,87.27,1.94,,
1.6800,560,209.7,0.0060,25.9,79.53,1.90,,
1.7100,565,212.0,0.0060,25.9,72.98,1.86,,
1.7400,570,214.1,0.0060,25.9,67.35,1.83,,
1.7700,575,216.1,0.0060,25.9,62.70,1.80,,
1.8000,580,217.9,0.0055,25.9,58.75,1.77,,
1.8300,586,219.6,0.0055,25.9,54.75,1.74,,
1.8600,591,221.2,0.0065,25.9,51.61,1.71,,
1.8900,596,222.7,0.0060,25.9,48.75,1.69,,
1.9200,601,224.1,0.0060,25.9,46.66,1.67,,
1.9500,606,225.5,0.0060,25.9,44.14,1.64,,
1.9800,611,226.8,0.0060,25.9,41.79,1.62,,
2.0100,616,228.0,0.0060,25.9,39.48,1.60,,
2.0400,621,229.2,0.0060,25.9,37.28,1.57,,
2.0700,626,230.2,0.0055,25.9,35.61,1.55,,
2.1000,631,231.3,0.0055,25.9,,,,
2.1300,636,232.3,0.0055,25.9,,,,
2.1600,642,233.3,0.0055,25.9,,,,
2.1900,647,234.3,0.0065,25.9,,,,
2.2200,652,235.2,0.0065,25.9,,,,
SystemInternal6/22/2024 8:40:56 AM,,,,,,,,1/1
