Sample.ID1,Weight,Salinity
Junk,60.07,36.4
CRM,59.937,33.6
Junk2,59.902,36.4
Tank7_0620_1200,59.975,36.4
Tank8_0620_1200,60.104,36.4
Tank9_0620_1200,60.014,36.4
Tank10_0620_1200,59.953,36.4
Tank11_0620_1200,60.226,36.4
Tank12_0620_1200,60.305,36.4
Tank13_0620_1200,59.994,36.4
Tank14_0620_1200,60.033,36.4
Junk3,60.077,36.4
Tank15_0620_1200,60.351,36.4
Tank16_0620_1200,60.263,36.4
Intake1_0620_2100,60.108,36.4
Intake2_0620_2100,60.06,36.4
Tank1_0620_2100,60.07,36.4
Tank2_0620_2100,59.864,36.4
Tank3_0620_2100,60.088,36.4
Tank4_0620_2100,60.139,36.4
