Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-51.4,NaN,24.9,,,,
0.0600,17,-56.2,0.0035,25.0,,,,
0.1200,38,-42.4,0.0030,25.0,,,,
0.1800,58,-23.3,0.0030,25.0,,,,
0.2400,78,-6.2,0.0030,25.0,,,,
0.3000,98,4.5,0.0030,25.0,,,,
0.3600,118,13.4,0.0030,25.0,,,,
0.4200,138,20.7,0.0030,25.1,,,,
0.4800,158,27.1,0.0030,25.1,,,,
0.5400,178,33.0,0.0030,25.1,,,,
0.6000,198,38.6,0.0030,25.1,,,,
0.6600,219,43.9,0.0030,25.1,,,,
0.7200,239,49.0,0.0030,25.1,,,,
0.7800,259,54.1,0.0030,25.1,,,,
0.8400,278,59.0,0.0030,25.1,,,,
0.9000,299,64.1,0.0030,25.1,,,,
0.9600,316,69.1,0.0035,25.1,,,,
1.0200,336,74.8,0.0030,25.1,,,,
1.0800,355,80.9,0.0030,25.1,,,,
1.1400,372,87.6,0.0035,25.2,,,,
1.2000,389,95.7,0.0035,25.2,,,,
1.2600,404,106.0,0.0040,25.2,229.81,2.36,,
1.3200,418,120.3,0.0045,25.2,286.52,2.46,,
1.3800,429,141.9,0.0055,25.2,325.47,2.51,,
1.4400,437,165.9,0.0075,25.2,323.83,2.51,,
1.5000,443,182.1,0.0095,25.2,274.07,2.44,,
1.5300,539,188.0,0.0005,25.2,228.33,2.36,,
1.5600,545,192.9,0.0050,25.2,167.86,2.22,,
1.5900,550,196.9,0.0055,25.2,124.06,2.09,,
1.6200,556,200.6,0.0055,25.2,108.90,2.04,,
1.6500,561,203.7,0.0060,25.2,98.43,1.99,,
1.6800,566,206.5,0.0060,25.2,88.81,1.95,,
1.7100,572,209.1,0.0050,25.2,80.58,1.91,,
1.7400,577,211.4,0.0060,25.2,73.77,1.87,,
1.7700,582,213.5,0.0060,25.2,68.38,1.83,,
1.8000,587,215.5,0.0060,25.2,63.02,1.80,,
1.8300,592,217.3,0.0060,25.2,58.74,1.77,,
1.8600,597,219.1,0.0060,25.2,55.09,1.74,,
1.8900,602,220.6,0.0055,25.2,51.55,1.71,,
1.9200,607,222.1,0.0055,25.2,48.81,1.69,,
1.9500,612,223.6,0.0055,25.2,46.47,1.67,,
1.9800,618,224.9,0.0055,25.2,44.08,1.64,,
2.0100,623,226.2,0.0065,25.2,42.20,1.63,,
2.0400,628,227.5,0.0065,25.2,39.80,1.60,,
2.0700,633,228.6,0.0060,25.2,37.75,1.58,,
2.1000,638,229.7,0.0060,25.2,36.34,1.56,,
2.1300,643,230.8,0.0060,25.2,34.80,1.54,,
2.1600,648,231.8,0.0060,25.2,,,,
2.1900,653,232.8,0.0060,25.3,,,,
2.2200,658,233.8,0.0060,25.3,,,,
2.2500,663,234.7,0.0055,25.3,,,,
2.2800,668,235.6,0.0055,25.3,,,,
SystemInternal6/22/2024 8:42:17 AM,,,,,,,,1/1
