"SampleID","TA","Mass","Salinity"
"Junk",2360.50838935298,60.15,36.4
"CRM",2236.20559883135,60.107,33.6
"Junk2",2360.68913416961,59.826,36.4
"Tank5_0620_2100",2362.3875083311,60.063,36.4
"Tank6_0620_2100",2333.98951300271,59.967,36.4
"Tank7_0620_2100",2371.88272808594,60.11,36.4
"Tank8_0620_2100",2373.54136624816,60.347,36.4
"Tank9_0620_2100",2339.27865886579,60.286,36.4
"Tank10_0620_2100",2244.6070611291,59.805,36.4
"Tank11_0620_2100",2365.9699014256,60.262,36.4
"Tank12_0620_2100",2349.60861222279,59.814,36.4
"Junk3",2363.99397666158,60.382,36.4
"Tank13_0620_2100",2373.24875510372,60.131,36.4
"Tank14_0620_2100",2370.21644514716,60.06,36.4
"Tank15_0620_2100",2365.93491155986,60.09,36.4
"Tank16_0620_2100",2332.39268772116,60.133,36.4
