Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-69.8,NaN,23.6,,,
0.06,8,-73.8,0.0075,23.4,,,
0.12,28,-64,0.003,23.5,,,
0.18,48,-51.4,0.003,23.5,,,
0.24,68,-33,0.003,23.5,,,
0.3,89,-11.6,0.003,23.5,,,
0.36,109,2.2,0.003,23.5,,,
0.42,129,12,0.003,23.6,,,
0.48,149,20.3,0.003,23.6,,,
0.54,169,27.6,0.003,23.6,,,
0.6,189,34.5,0.003,23.6,,,
0.66,209,40.8,0.003,23.6,,,
0.72,230,46.9,0.003,23.7,,,
0.78,250,52.9,0.003,23.7,,,
0.84,270,58.8,0.003,23.7,,,
0.9,290,64.7,0.003,23.7,,,
0.96,310,70.9,0.003,23.7,,,
1.02,330,77.5,0.003,23.8,,,
1.08,348,85,0.0035,23.8,,,
1.14,368,94.1,0.003,23.8,,,
1.2,384,105.3,0.0035,23.8,256.41,2.41,
1.26,399,121.4,0.004,23.8,311.45,2.49,
1.32,411,145.8,0.005,23.8,341.97,2.53,
1.38,419,169.8,0.0075,23.8,327.57,2.52,
1.44,425,184.7,0.0095,23.8,264.69,2.42,
1.47,522,189.7,0.0005,23.9,210.6,2.32,
1.5,528,194.2,0.0055,23.9,147.41,2.17,
1.53,533,198.1,0.0065,23.9,111.94,2.05,
1.56,538,201.5,0.006,23.9,103,2.01,
1.59,545,204.5,0.004,23.9,94.99,1.98,
1.62,550,207.2,0.0055,23.9,84.86,1.93,
1.65,556,209.7,0.005,23.9,77.25,1.89,
1.68,561,211.8,0.0055,23.9,70.59,1.85,
1.71,566,213.9,0.0055,24,65.55,1.82,
1.74,572,215.8,0.005,24,61.42,1.79,
1.77,578,217.6,0.0055,24,57.37,1.76,
1.8,583,219.2,0.006,24,53.99,1.73,
1.83,588,220.9,0.006,24,50.09,1.7,
1.86,593,222.3,0.0055,24,47.41,1.68,
1.89,598,223.6,0.0055,24,44.97,1.65,
1.92,604,225,0.0055,24,42.79,1.63,
1.95,609,226.2,0.0065,24,41.13,1.61,
1.98,614,227.5,0.0065,24,39.68,1.6,
2.01,620,228.6,0.0055,24,37.65,1.58,
2.04,625,229.7,0.0065,24,35.29,1.55,
2.07,630,230.8,0.0065,24,33.79,1.53,
2.1,635,231.7,0.0065,24,,,
2.13,640,232.7,0.006,24,,,
2.16,645,233.6,0.006,24,,,
2.19,650,234.6,0.006,24,,,
2.22,655,235.5,0.006,24,,,
Scope 1/1, Sample 1/18 (CRM),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-35,NaN,25.2,,,
0.06,3,-51.2,0.018,25.2,,,
0.12,23,-32.7,0.003,25.3,,,
0.18,44,-11.9,0.003,25.3,,,
0.24,64,0.9,0.003,25.3,,,
0.3,84,10.1,0.003,25.3,,,
0.36,104,17.9,0.003,25.3,,,
0.42,124,25.2,0.003,25.3,,,
0.48,144,31.8,0.003,25.3,,,
0.54,164,37.8,0.003,25.3,,,
0.6,184,43.4,0.003,25.3,,,
0.66,205,48.7,0.003,25.3,,,
0.72,225,53.6,0.003,25.3,,,
0.78,244,58.5,0.003,25.3,,,
0.84,263,63.7,0.003,25.3,,,
0.9,283,69,0.003,25.3,,,
0.96,302,74.6,0.003,25.3,,,
1.02,320,80.8,0.0035,25.3,,,
1.08,337,88,0.0035,25.3,,,
1.14,355,96.8,0.0035,25.3,,,
1.2,370,108,0.004,25.3,252.5,2.4,
1.26,384,124.2,0.004,25.3,305.38,2.48,
1.32,395,147.8,0.0055,25.3,334.01,2.52,
1.38,402,170.9,0.008,25.3,318.93,2.5,
1.44,408,185.4,0.0095,25.2,257.32,2.41,
1.47,504,190.4,0.0005,25.3,205.3,2.31,
1.5,510,195,0.005,25.3,145.88,2.16,
1.53,515,198.8,0.006,25.3,111.7,2.05,
1.56,521,202.1,0.005,25.3,102.58,2.01,
1.59,526,205.1,0.0055,25.3,93.94,1.97,
1.62,532,207.7,0.0055,25.3,84.31,1.93,
1.65,537,210.3,0.0065,25.2,77.31,1.89,
1.68,542,212.5,0.0065,25.2,71.3,1.85,
1.71,547,214.4,0.0065,25.2,66.05,1.82,
1.74,552,216.4,0.006,25.3,61.26,1.79,
1.77,557,218.2,0.006,25.2,56.87,1.75,
1.8,562,219.9,0.006,25.2,53.63,1.73,
1.83,567,221.4,0.006,25.2,49.56,1.7,
1.86,572,222.8,0.006,25.2,46.41,1.67,
1.89,577,224.2,0.0055,25.2,44.82,1.65,
