SampleID,TA,Mass,Salinity
Junk,2254.542409,60.197,36.4
CRM,2237.428551,60.457,33.6
Junk2,2394.92412,60.081,36.4
Tank1_Initial_0626_1200,2328.405541,60.453,36.4
Tank2_Initial_0626_1200,2300.584234,60.239,36.4
Tank3_Initial_0626_1200,2370.729387,59.939,36.4
Tank4_Initial_0626_1200,2373.847578,60.174,36.4
Tank5_Initial_0626_1200,2362.287595,59.958,36.4
Tank6_Initial_0626_1200,2339.893643,60.176,36.4
Tank7_Initial_0626_1200,2326.05686,60.34,36.4
Tank8_Initial_0626_1200,2376.598356,60.081,36.4
Junk3,2166.458719,60.11,36.4
Tank9_Initial_0626_1200,2124.172762,60.103,36.4
Tank10_Initial_0626_1200,2153.005114,60.073,36.4
Tank11_Initial_0626_1200,2367.209249,60.351,36.4
Tank12_Initial_0626_1200,2322.518898,60.334,36.4
Tank13_Initial_0626_1200,2354.887836,60.024,36.4
Tank14_Initial_0626_1200,2316.619367,60.299,36.4
Tank15_Initial_0626_1200,2370.790144,59.906,36.4
Tank16_Initial_0626_1200,2183.20645,60.103,36.4
Junk4,2130.474034,60.464,36.4
C1_End_0626_1400,2125.812394,60.296,36.4
C2_End_0626_1400,2208.835031,60.233,36.4
C3_End_0626_1400,2218.030932,60.14,36.4
C4_End_0626_1400,2203.781443,60.134,36.4
C5_End_0626_1400,2264.035731,59.95,36.4
C6_End_0626_1400,2276.37663,60.352,36.4
C7_End_0626_1400,2107.715121,60.089,36.4
C8_End_0626_1400,2246.008379,59.951,36.4
