Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-76.1,NaN,21.9,,,,
0.0600,6,-79.2,0.0090,21.7,,,,
0.1200,24,-71.3,0.0035,21.7,,,,
0.1800,44,-60.4,0.0030,21.7,,,,
0.2400,64,-46.4,0.0030,21.8,,,,
0.3000,84,-25.9,0.0030,21.8,,,,
0.3600,104,-6.5,0.0030,21.9,,,,
0.4200,124,4.9,0.0030,21.9,,,,
0.4800,144,14.2,0.0030,21.9,,,,
0.5400,164,21.7,0.0030,22.0,,,,
0.6000,185,28.9,0.0030,22.0,,,,
0.6600,205,35.4,0.0030,22.0,,,,
0.7200,225,41.7,0.0030,22.1,,,,
0.7800,245,47.6,0.0030,22.1,,,,
0.8400,265,53.7,0.0030,22.1,,,,
0.9000,285,59.5,0.0030,22.2,,,,
0.9600,305,65.6,0.0030,22.2,,,,
1.0200,326,71.7,0.0030,22.2,,,,
1.0800,346,78.6,0.0030,22.3,,,,
1.1400,365,86.3,0.0030,22.3,,,,
1.2000,384,95.4,0.0030,22.3,,,,
1.2600,402,107.1,0.0035,22.4,268.89,2.43,,
1.3200,416,124.6,0.0040,22.4,320.03,2.51,,
1.3800,428,150.7,0.0050,22.4,342.96,2.54,,
1.4400,435,172.7,0.0085,22.4,319.03,2.50,,
1.5000,441,185.9,0.0100,22.4,248.11,2.39,,
1.5300,537,190.9,0.0005,22.6,190.48,2.28,,
1.5600,544,195.0,0.0045,22.6,131.15,2.12,,
1.5900,550,198.9,0.0055,22.6,106.71,2.03,,
1.6200,555,201.9,0.0060,22.6,99.33,2.00,,
1.6500,560,204.8,0.0055,22.6,89.81,1.95,,
1.6800,566,207.5,0.0050,22.6,81.08,1.91,,
1.7100,571,209.8,0.0060,22.6,73.69,1.87,,
1.7400,576,211.8,0.0055,22.6,68.37,1.83,,
1.7700,582,213.8,0.0055,22.6,62.68,1.80,,
1.8000,587,215.7,0.0065,22.6,58.68,1.77,,
1.8300,592,217.4,0.0060,22.6,55.96,1.75,,
1.8600,597,219.0,0.0060,22.7,52.82,1.72,,
1.8900,602,220.5,0.0060,22.7,49.27,1.69,,
1.9200,608,222.0,0.0055,22.7,46.27,1.67,,
1.9500,613,223.4,0.0060,22.7,43.94,1.64,,
1.9800,618,224.6,0.0060,22.7,41.96,1.62,,
2.0100,623,225.8,0.0060,22.7,40.34,1.61,,
2.0400,628,227.0,0.0060,22.7,38.27,1.58,,
2.0700,633,228.2,0.0055,22.7,36.79,1.57,,
2.1000,638,229.3,0.0055,22.7,35.87,1.55,,
2.1300,644,230.3,0.0055,22.7,34.29,1.54,,
2.1600,649,231.2,0.0065,22.7,,,,
2.1900,654,232.3,0.0065,22.7,,,,
2.2200,659,233.3,0.0060,22.8,,,,
2.2500,664,234.1,0.0060,22.8,,,,
2.2800,669,235.0,0.0060,22.8,,,,
SystemInternal6/28/2024 7:16:54 AM,,,,,,,,1/1
