Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-18.4,NaN,22.0,,,,
0.0600,13,-49.0,0.0045,21.8,,,,
0.1200,33,-34.1,0.0030,21.8,,,,
0.1800,54,-14.0,0.0030,21.9,,,,
0.2400,74,0.0,0.0030,21.9,,,,
0.3000,94,9.3,0.0030,22.0,,,,
0.3600,114,17.2,0.0030,22.0,,,,
0.4200,134,23.9,0.0030,22.0,,,,
0.4800,154,30.1,0.0030,22.1,,,,
0.5400,174,35.9,0.0030,22.1,,,,
0.6000,194,41.4,0.0030,22.1,,,,
0.6600,214,46.9,0.0030,22.2,,,,
0.7200,235,52.1,0.0030,22.2,,,,
0.7800,255,57.2,0.0030,22.2,,,,
0.8400,275,62.5,0.0030,22.3,,,,
0.9000,295,67.9,0.0030,22.3,,,,
0.9600,314,73.6,0.0030,22.3,,,,
1.0200,335,80.0,0.0030,22.4,,,,
1.0800,354,87.1,0.0030,22.4,,,,
1.1400,372,95.4,0.0035,22.4,,,,
1.2000,390,106.4,0.0035,22.4,245.61,2.39,,
1.2600,408,122.0,0.0035,22.5,300.49,2.48,,
1.3200,419,145.3,0.0055,22.5,333.27,2.52,,
1.3800,428,168.7,0.0070,22.5,322.32,2.51,,
1.4400,435,183.7,0.0090,22.5,262.87,2.42,,
1.4700,531,189.2,0.0005,22.6,212.15,2.33,,
1.5000,537,193.6,0.0050,22.6,151.54,2.18,,
1.5300,543,197.5,0.0055,22.7,114.56,2.06,,
1.5600,549,200.8,0.0050,22.7,103.09,2.01,,
1.5900,556,204.0,0.0045,22.7,93.70,1.97,,
1.6200,561,206.6,0.0060,22.7,84.65,1.93,,
1.6500,566,209.0,0.0060,22.7,77.14,1.89,,
1.6800,572,211.2,0.0055,22.7,70.25,1.85,,
1.7100,577,213.2,0.0060,22.7,65.15,1.81,,
1.7400,583,215.2,0.0050,22.7,62.02,1.79,,
1.7700,588,217.0,0.0060,22.7,57.70,1.76,,
1.8000,593,218.5,0.0055,22.7,53.41,1.73,,
1.8300,599,220.3,0.0050,22.7,50.38,1.70,,
1.8600,604,221.7,0.0060,22.7,46.99,1.67,,
1.8900,609,222.9,0.0055,22.7,44.76,1.65,,
1.9200,615,224.3,0.0055,22.8,42.91,1.63,,
1.9500,620,225.7,0.0060,22.8,41.08,1.61,,
1.9800,625,226.7,0.0060,22.8,39.82,1.60,,
2.0100,632,228.0,0.0045,22.8,37.38,1.57,,
2.0400,637,229.1,0.0065,22.8,34.73,1.54,,
2.0700,642,230.1,0.0065,22.8,33.58,1.53,,
2.1000,647,231.0,0.0060,22.8,33.20,1.52,,
2.1300,652,232.0,0.0060,22.8,,,,
2.1600,657,233.0,0.0055,22.8,,,,
2.1900,662,234.0,0.0055,22.8,,,,
2.2200,668,234.9,0.0055,22.8,,,,
2.2500,673,235.7,0.0065,22.8,,,,
SystemInternal6/29/2024 4:59:55 PM,,,,,,,,1/1
