Results Editor,,,,,,,,
Result Details,,,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label,
0.0000,0,-26.7,NaN,25.4,,,,
0.0600,8,-49.4,0.0075,25.4,,,,
0.1200,28,-31.8,0.0030,25.4,,,,
0.1800,48,-11.9,0.0030,25.4,,,,
0.2400,68,1.0,0.0030,25.4,,,,
0.3000,88,10.2,0.0030,25.4,,,,
0.3600,109,18.0,0.0030,25.4,,,,
0.4200,129,25.2,0.0030,25.4,,,,
0.4800,149,31.8,0.0030,25.4,,,,
0.5400,169,37.8,0.0030,25.4,,,,
0.6000,189,43.5,0.0030,25.4,,,,
0.6600,209,48.8,0.0030,25.4,,,,
0.7200,229,53.8,0.0030,25.4,,,,
0.7800,250,58.8,0.0030,25.4,,,,
0.8400,270,64.1,0.0030,25.4,,,,
0.9000,289,69.2,0.0030,25.4,,,,
0.9600,308,75.0,0.0030,25.4,,,,
1.0200,328,81.5,0.0030,25.4,,,,
1.0800,346,88.8,0.0030,25.4,,,,
1.1400,364,97.5,0.0035,25.4,,,,
1.2000,382,109.6,0.0035,25.4,264.13,2.42,,
1.2600,397,127.0,0.0040,25.4,315.36,2.50,,
1.3200,407,151.8,0.0060,25.4,338.78,2.53,,
1.3800,416,173.7,0.0070,25.4,315.61,2.50,,
1.4400,421,187.4,0.0110,25.4,246.67,2.39,,
1.4700,518,192.3,0.0005,25.4,192.29,2.28,,
1.5000,524,196.5,0.0055,25.4,135.06,2.13,,
1.5300,529,200.2,0.0060,25.4,107.23,2.03,,
1.5600,534,203.4,0.0060,25.4,98.56,1.99,,
1.5900,540,206.3,0.0055,25.4,90.67,1.96,,
1.6200,546,208.9,0.0050,25.4,81.86,1.91,,
1.6500,551,211.2,0.0060,25.4,74.77,1.87,,
1.6800,556,213.4,0.0060,25.4,68.84,1.84,,
1.7100,562,215.4,0.0050,25.4,64.02,1.81,,
1.7400,567,217.2,0.0055,25.4,60.09,1.78,,
1.7700,572,219.0,0.0055,25.4,56.08,1.75,,
1.8000,578,220.6,0.0055,25.4,52.79,1.72,,
1.8300,584,222.2,0.0055,25.4,49.44,1.69,,
1.8600,589,223.6,0.0065,25.4,46.59,1.67,,
1.8900,594,224.9,0.0065,25.4,43.96,1.64,,
1.9200,599,226.3,0.0060,25.4,42.13,1.62,,
1.9500,604,227.4,0.0060,25.4,40.28,1.61,,
1.9800,609,228.7,0.0060,25.4,38.67,1.59,,
2.0100,614,229.8,0.0060,25.4,36.98,1.57,,
2.0400,619,230.9,0.0060,25.4,35.30,1.55,,
2.0700,624,231.9,0.0055,25.4,,,,
2.1000,630,232.9,0.0055,25.4,,,,
2.1300,635,233.9,0.0065,25.4,,,,
2.1600,640,234.8,0.0060,25.4,,,,
2.1900,645,235.7,0.0055,25.4,,,,
SystemInternal6/29/2024 8:14:08 AM,,,,,,,,1/1
