Date,ZeroPoint,Slope,pH4,pH7,pH10,temp,status,notes,initials
20220224,6.888,-53.71,162.8,-22.5,-159.4,25,OK,first run,KCS
20220317,6.879,-52.99,160.9,-24.1,-157.1,25,OK,"slope should be between 85-100% +/- 30 mV, slope can't be less than 55% so probe might be faulty",KT
20220323,6.919,-53.57,165.4,-23.2,-156.2,25,OK,"buffers sat in water bath of 25C before run, did not measure if buffers actually reached 25C before running but the water bath still might've improved the slope a bit",KT
20220329,6.998,-51.74,165.9,-22.9,-144.5,25,OK,buffers sat in water bath of 25C before run,KT
20220412,6.83,-56.14,164.8,-22.4,-172.1,25,OK,fifth run,KW
20220413,6.819,-56.41,164.5,-22.4,-173.8,25,OK,,KW
20220414,6.829,-56.03,164.5,-22.6,-171.7,25,OK,,KW
20220415,6.82,-56.36,164.5,-22.5,-173.6,25,OK,,"JC, NB, DM"
20220416,6.814,-56.24,164,-23,-173.5,25,OK,,AD
20220417,6.795,-56.04,162.6,-24.5,-173.7,25,OK,second run,DM
20220418,6.816,-55.88,163.5,-23.6,-171.8,25,OK,,JC
20220420,6.826,-55.48,163.2,-23.6,-169.7,25,OK,,KW
20220422,6.822,-55.38,162.7,-23.8,-169.6,25,OK,,KW
20220424,6.827,-55.36,163,-23.7,-169.2,25,OK,,KW
20220426,6.833,-55.16,163.1,-23.9,-167.9,25,OK,first run,AD
20220428,6.847,-54.96,163.45,-23.6,-166.25,25,OK,first run,NB
20220430,6.848,-54.94,163.6,-23.7,-166.1,25,OK,first run,JC
20220502,6.867,-54.59,163.8,-22.9,-163.8,25,OK,third run,NB
20220504,6.878,-54.42,164.1,-22.6,-162.5,25,OK,second run,DM
20220915,6.921,-56.54,171,-17.2,-168.3,25,OK,first run,KCS
20221103,6.947,-56.53,172.3,-15.8,-166.8,25,OK,first run,KCS
20230122,6.811,-56.53,172.7,-39.7,-166.4,25,OK,first run,KCS
20230427,7.032,-56.4,173.1,-3.5,-165.3,25,OK,first run,KCS
20230515,7.03,-56.3,172.6,-3.5,-165.2,25,OK,first run ,KCS
20240521,7.308,-57.01,191.2,11.3,-150.9,25,OK,first run,KCS
20240604,6.947,-58.87,172.8,-3,-180.4,25,OK,Silbiger Probe,NJS
20240605,6.927,-58.48,170.7,-4.4,-180.2,25,OK,Silbiger Probe,NJS
20240606,6.922,-58.5,170.4,-4.7,-180.6,25,OK,Silbiger Probe,NJS
20240607,6.92,-58.5,170.3,-4.8,-180.7,25,OK,Silbiger Probe,NJS
20240610,6.928,-58.35,170.5,-4.6,-179.6,25,OK,Silbiger Probe,LCD
20240611,6.903,-58.27,168.7,-5.9,-180.9,25,OK,Silbiger Probe,LCD
20240612,6.929,-58.25,170.2,-4.4,-179.3,25,OK,Silbiger Probe,LCD
20240614,6.927,-58.75,171.3,-4.2,-181.2,25,OK,Silbiger Probe,LCD
20240615,6.906,-58.67,169.8,-5.3,-182.2,25,OK,Silbiger Probe,LCD
20240616,6.903,-58.62,169.5,-5.5,-182.2,25,OK,Silbiger Probe,LCD
20240619,6.934,-58.57,171.2,-3.8,-180.2,25,OK,Silbiger Probe,LCD
20240620,6.95,-58.6,172.3,-3,-179.3,25,OK,Silbiger Probe,LCD
20240621,6.952,-58.62,172.5,-2.9,-179.2,25,OK,Silbiger Probe,LCD
20240622,6.955,-58.58,172.6,-2.8,-178.9,25,OK,Silbiger Probe,LCD
20240627,6.963,-58.38,172.5,-2.4,-177.8,25,OK,Silbiger Probe,LCD
20240628,6.969,-58.43,173,-2,-177.6,25,OK,Silbiger Probe,LCD
20240629,6.975,-58.5,173.6,-1.7,-177.4,25,OK,Silbiger Probe,LCD
