Date,Start time,End time,Tank ID,Temp,mV,DO_mg_L,DO_percent,Salinity
2024_05_28,,,Pre 1,,,,,
2024_05_28,,,Pre 2,,,,,
2024_05_28,,,Pre 3,,,,,
2024_05_28,,,Pre 4,,,,,
2024_05_28,,,COTS 1,,,,,
2024_05_28,,,COTS 2,,,,,
2024_05_28,,,COTS 3,,,,,
2024_05_28,,,COTS 4,,,,,
2024_05_28,,,Bleach 1,,,,,
2024_05_28,,,Bleach 2,,,,,
2024_05_28,,,Bleach 3,,,,,
2024_05_28,,,Bleach 4,,,,,
2024_05_28,,,Control 1,,,,,
2024_05_28,,,Control 2,,,,,
2024_05_28,,,Control 3,,,,,
2024_05_28,,,Control 4,,,,,
