Year,Date,Location,Site,Habitat,Transect,Quadrat,Taxonomy_Substrate_Functional_Group,Percent_Cover
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 1,LTER 1,Backreef,1,1,Algal Turf,44
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 1,LTER 1,Backreef,1,1,Amansia rhodantha,0
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 1,LTER 1,Backreef,1,1,Coral,16
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 1,LTER 1,Backreef,1,1,Crustose Corallines,0
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 1,LTER 1,Backreef,1,1,Sand,40
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 1,LTER 1,Backreef,1,1,Turbinaria ornata,0
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 10,LTER 1,Backreef,1,10,Algal Turf,52
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 10,LTER 1,Backreef,1,10,Amansia rhodantha,0
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 10,LTER 1,Backreef,1,10,Coral,40
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 10,LTER 1,Backreef,1,10,Crustose Corallines,0
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 10,LTER 1,Backreef,1,10,Sand,8
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 10,LTER 1,Backreef,1,10,Turbinaria ornata,0
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 2,LTER 1,Backreef,1,2,Algal Turf,8
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 2,LTER 1,Backreef,1,2,Amansia rhodantha,0
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 2,LTER 1,Backreef,1,2,Coral,40
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 2,LTER 1,Backreef,1,2,Crustose Corallines,0
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 2,LTER 1,Backreef,1,2,Sand,52
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 2,LTER 1,Backreef,1,2,Turbinaria ornata,0
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 3,LTER 1,Backreef,1,3,Algal Turf,32
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 3,LTER 1,Backreef,1,3,Amansia rhodantha,0
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 3,LTER 1,Backreef,1,3,Coral,40
2006,1/14/06,LTER 1 Backreef Algae Transect 1 Quad 3,LTER 1,Backreef,1,3,Crustose Corallines,0
