TREATMENT,TANK_NUM,DOC_rangemean,DOC_mean,TON_rangemean,TON_mean,pH_rangemean,pH_rangese,pH_mean,pH_se,TA_rangemean,TA_rangese,TA_mean,TA_se
Algae_Dom,1,75.70633777,159.1378475,-9.561773217,18.54116641,0.13053682381128068,0.00825990573635149,8.05150587384917,0.00410052463468742,-17.14969042857141,7.769696786844358,2350.4007755,4.758384513003383
Rubble_Dom,2,-5.85982127,216.8225231,6.01886557,21.45810378,0.1181394231791314,0.00667094475641863,8.046965573342163,0.00297984848807778,-42.48246242857145,10.842635710628748,2311.081940142857,13.536294287385743
Control,3,-14.43550799,113.8726534,-12.48799186,20.10351395,-0.00117448451413376,0.00206424823371246,8.040175508304799,0.00163966842390527,1.567067600000005,4.155411252216997,2360.054416066667,4.384968573137203
Algae_Dom,4,76.59443477,175.6231481,-11.2652437,19.71060675,0.13053682381128068,0.00825990573635149,8.05150587384917,0.00410052463468742,-17.14969042857141,7.769696786844358,2350.4007755,4.758384513003383
Rubble_Dom,5,51.82485432,121.1786389,8.08359174,25.21582925,0.1181394231791314,0.00667094475641863,8.046965573342163,0.00297984848807778,-42.48246242857145,10.842635710628748,2311.081940142857,13.536294287385743
Coral_Dom,6,50.95618444,104.3783413,3.63595835,19.84161548,0.10678212749925611,0.00647962892408579,8.042599624527416,0.00265941093176707,-14.994688466666588,38.387639746991645,2328.194465633333,22.709481935200547
Coral_Dom,7,47.67381032,113.3242997,4.281433172,23.40211887,0.10678212749925611,0.00647962892408579,8.042599624527416,0.00265941093176707,-14.994688466666588,38.387639746991645,2328.194465633333,22.709481935200547
Control,8,-1.929876425,151.2810799,14.34001228,22.38876454,-0.00117448451413376,0.00206424823371246,8.040175508304799,0.00163966842390527,1.567067600000005,4.155411252216997,2360.054416066667,4.384968573137203
Coral_Dom,9,35.36707548,119.8721071,4.229226013,20.0472512,0.10678212749925611,0.00647962892408579,8.042599624527416,0.00265941093176707,-14.994688466666588,38.387639746991645,2328.194465633333,22.709481935200547
Rubble_Dom,10,28.70218499,101.911039,1.150342337,18.89690886,0.1181394231791314,0.00667094475641863,8.046965573342163,0.00297984848807778,-42.48246242857145,10.842635710628748,2311.081940142857,13.536294287385743
Control,11,24.61121473,144.9199984,-3.52152898,21.66835039,-0.00117448451413376,0.00206424823371246,8.040175508304799,0.00163966842390527,1.567067600000005,4.155411252216997,2360.054416066667,4.384968573137203
Rubble_Dom,12,8.3902617330000009,123.3694227,-2.816687725,21.90475511,0.1181394231791314,0.00667094475641863,8.046965573342163,0.00297984848807778,-42.48246242857145,10.842635710628748,2311.081940142857,13.536294287385743
Algae_Dom,13,12.85711213,105.6747837,-2.76992439,21.55135281,0.13053682381128068,0.00825990573635149,8.05150587384917,0.00410052463468742,-17.14969042857141,7.769696786844358,2350.4007755,4.758384513003383
Algae_Dom,14,38.45303908,120.8060833,-1.47590082,25.75202106,0.13053682381128068,0.00825990573635149,8.05150587384917,0.00410052463468742,-17.14969042857141,7.769696786844358,2350.4007755,4.758384513003383
Control,15,57.01270532,160.5853993,1.512847423,23.55905269,-0.00117448451413376,0.00206424823371246,8.040175508304799,0.00163966842390527,1.567067600000005,4.155411252216997,2360.054416066667,4.384968573137203
Coral_Dom,16,22.67665497,102.8188522,2.082217798,20.6436027,0.10678212749925611,0.00647962892408579,8.042599624527416,0.00265941093176707,-14.994688466666588,38.387639746991645,2328.194465633333,22.709481935200547
