YEAR,LTER,HABITAT,TRANSECT,POLE,QUADRAT,ACANTHASTREA,ACROPORA,ASTREA,CYPHASTREA,FUNGIIDAE_UNIDENTIFIED,GARDINEROSERIS,GONIASTREA,LEPTASTREA,LEPTOSERIS,LOBOPHYLLIA,MILLEPORA,MONTIPORA,PACHYSERIS,PAVONA,PLESIASTREA,POCILLOPORA,PORITES,PSAMMACORA,STYLOCOENIELLA,UNKNOWN_OR_OTHER
2005,LTER_1,Fringing reef,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,0,0,0
2005,LTER_1,Fringing reef,1,A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0
2005,LTER_1,Fringing reef,1,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0
2005,LTER_1,Fringing reef,1,A,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,0,0,0
2005,LTER_1,Fringing reef,1,A,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,0,0,0
2005,LTER_1,Fringing reef,1,A,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0
2005,LTER_1,Fringing reef,1,A,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0
2005,LTER_1,Fringing reef,1,A,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,0,0,0
2005,LTER_1,Fringing reef,2,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3,0,0,0
2005,LTER_1,Fringing reef,2,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0
2005,LTER_1,Fringing reef,2,B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0,0
2005,LTER_1,Fringing reef,2,B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3,0,0,0
2005,LTER_1,Fringing reef,2,B,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,0,0
2005,LTER_1,Fringing reef,2,B,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0
2005,LTER_1,Fringing reef,2,B,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0
2005,LTER_1,Fringing reef,2,B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,12.2,0,0,0
2005,LTER_1,Fringing reef,3,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0
2005,LTER_1,Fringing reef,3,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3,0,0,0
2005,LTER_1,Fringing reef,3,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0
2005,LTER_1,Fringing reef,3,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0
2005,LTER_1,Fringing reef,3,C,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
2005,LTER_1,Fringing reef,3,C,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,LTER_1,Fringing reef,3,C,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,0
2005,LTER_1,Fringing reef,3,C,8,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0
2005,LTER_1,Fringing reef,4,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.4,0,0,0
2005,LTER_1,Fringing reef,4,D,2,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,4.2,0,0,0
2005,LTER_1,Fringing reef,4,D,3,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.2,0,0,0,0,0,0
2005,LTER_1,Fringing reef,4,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,LTER_1,Fringing reef,4,D,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1,0,0,0
2005,LTER_1,Fringing reef,4,D,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0
2005,LTER_1,Fringing reef,4,D,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0
