CoralNum,Genotype,ID,Treatment,Rep,CoralTankNum,,,replace green colony (D)
40,A,1,PRE,3,C32,16,,replace blue/purple colony (H)
56,A,3,BLEACH,2,C28,14,,replace pink/yellow/pink colony (O)
58,A,4,CONTROL,4,C29,15,,replace RED/PURPLE colony (X)
111,A,2,COTS,1,C19,10,,
14,B,4,CONTROL,1,C6,3,,43 broken hot glue C12
16,B,3,BLEACH,4,C7,4,,
41,B,1,PRE,3,C31,16,,PRE = coral dom
73,B,2,COTS,2,C10,5,,
94,B,,Starting,,,,,BLEACH = algae dom
29,C,,Starting,,,,,COTS = rubble dom
37,C,4,PRE,2,C14,8,,
46,C,3,BLEACH,1,C2,1,,
48,C,1,Control,3,C31,16,,
113,C,2,COTS,4,C3,2,,
55,D,,Starting,,,,,
65,D,4,CONTROL,4,C29,15,,
77,D,2,,2,C10,5,,
106,D,1,PRE,3,C17,10,,
145,D,,COTS,,C10,5,,
153,D,,BLEACH ,,C28,14,,
34,E,,Starting,,,,,
63,E,1,PRE,4,C17,9,,
74,E,2,COTS,1,C20,10,,
85,E,4,CONTROL,3,C21,11,,
86,E,3,BLEACH,2,C26,14,,
31,F,,Starting,,,,,
33,F,4,BLEACH,4,C1,15,,
51,F,1,PRE,2,C12,6,,
68,F,3,CONTROL,1,C30,1,,
108,F,2,COTS,3,C23,12,,
10,G,1,PRE,4,C17,9,,
90,G,2,COTS,3,C23,12,,
91,G,,Starting,,,,,
92,G,3,BLEACH,1,C2,1,,
104,G,4,CONTROL,2,C15,8,,
24,H,2,COTS,4,C4,2,,
42,H,3,BLEACH,2,C28,14,,
75,H,,,,,,,
103,H,1,PRE,3,C32,16,,
119,H,4,CONTROL,1,C5,3,,
147,H,,PRE,,C11,,,
150,H,,Starting,,,,,
156,H,,BLEACH,,C7,,,
159,H,,COTS,,C24,,,
161,H,,Control,,C5,,,
27,I,1,PRE,4,C18,9,,
38,I,4,BLEACH,2,C14,8,,
50,I,2,COTS,3,C24,12,,
102,I,3,CONTROL,1,C30,1,,
6,J,3,BLEACH,1,C2,1,,
8,J,1,PRE,2,C11,6,,
60,J,4,CONTROL,3,C21,11,,
105,J,,,,,,,
117,J,2,COTS,4,C4,2,,
59,K,3,BLEACH,4,C7,4,,
64,K,4,CONTROL,3,C22,11,,
76,K,1,PRE,1,C13,7,,
99,K,,,,,,,
110,K,2,COTS,2,C9,5,,
19,L,2,COTS,1,C20,10,,
53,L,4,BLEACH,4,C1,15,,
78,L,3,CONTROL,2,C27,14,,
95,L,1,PRE,3,C31,16,,
23,L,,Starting,,,,,
2,M,3,BLEACH,3,C25,13,,
11,M,4,CONTROL,4,C6,15,,
25,M,2,COTS,2,C9,5,,
71,M,1,PRE,1,C16,7,,
21,N,4,CONTROL,3,C22,11,,
22,N,,Starting,,,,,
43,N,1,PRE,2,C12,6,,
96,N,2,COTS,1,C19,10,,
118,N,3,BLEACH,4,C8,4,,
61,O,1,PRE,1,C14,7,,
93,O,4,CONTROL,3,C21,11,,
122,O,2,COTS,4,C3,2,,
142,O,3,BLEACH,2,C27,14,,
146,O,,CONTROL,,C21,,,
148,O,,Coral-dom,,C12,,,
149,O,,COTS,,C3,,,
162,O,,BLEACH,,C28,,,
163,O,,Starting,,,,,
28,P,4,CONTROL,1,C5,3,,
127,P,2,COTS,3,C22,12,,
135,P,3,BLEACH,2,C25,14,,
137,P,1,PRE,4,C18,9,,
39,Q,1,PRE,2,C11,6,,
81,Q,2,COTS,3,C24,12,,
89,Q,4,CONTROL,1,C6,3,,
98,Q,3,BLEACH,4,C8,4,,
57,Q,,Starting,,,,,
204,Q,,BLEACH,,C26,,,
206,Q,,COTS,,C4,,,
210,Q,,PRE,,C17,,,
35,R,,Starting,,,,,
62,R,2,COTS,1,C19,10,,
66,R,4,CONTROL,4,C29,15,,
128,R,3,BLEACH,2,C25,14,,
138,R,1,PRE,3,C32,16,,
80,S,2,COTS,1,C20,10,,
83,S,,Starting,,,,,
114,S,4,BLEACH,4,C1,15,,
123,S,3,CONTROL,2,C28,14,,
136,S,1,PRE,3,C31,16,,
1,T,1,PRE,1,C13,7,,
12,T,,,,,,,
125,T,4,CONTROL,2,C15,8,,
139,T,2,COTS,3,C24,12,,
141,T,3,BLEACH,4,C8,4,,
13,U,4,COTS,4,C9,15,,
67,U,,Starting,,,,,
100,U,3,BLEACH,2,C10,14,,
101,U,1,PRE,1,C13,7,,
134,U,2,CONTROL,3,C22,12,,
15,V,2,CONTROL,4,C15,8,,
18,V,4,COTS,1,C4,3,,
97,V,3,BLEACH,3,C26,13,,
140,V,1,PRE,1,C16,7,,
144,V,,Starting,,,,,
36,W,2,COTS,3,C23,12,,
115,W,1,PRE,1,C16,7,,
151,W,4,CONTROL,1,C5,3,,
155,W,3,BLEACH,4,C8,4,,
157,W,,Starting,,,,,
207,X,,COTS,,C11,,,
112,X,3,BLEACH,3,C25,13,,
129,X,1,PRE,2,C11,6,,
133,X,2,COTS,2,C10,5,,
205,X,,Starting,,,,,
202,X,,CONTROL,,C6,,,
208,X,,PRE,,C14,,,
203,X,,BLEACH,,C27,,,
82,A,,Starting,,,,,
