"","TrisCalDate","(Intercept)","TTris","Tank.ID","TempInSitu","TempInLab","mV","DO_mg_L","DO","Salinity","mVTris","pH","pH_insi"
"1",20240528,-126.801135294077,1.12022256316627,"Pre 1",28.832,28.832,-101.9,6.46,103,36.4,-94.5028783528675,8.10119875397719,8.10119121190236
"2",20240528,-126.801135294077,1.12022256316627,"Pre 2",28.661,28.661,-101.3,6.43,102.2,36.4,-94.6944364111689,8.09330662232172,8.09329889601651
"3",20240528,-126.801135294077,1.12022256316627,"Pre 3",28.145,28.145,-100.1,5.62,88.8,36.4,-95.2724712537627,8.07963842719074,8.07963040286653
"4",20240528,-126.801135294077,1.12022256316627,"Pre 4",28.261,28.261,-100.5,5.19,82.3,36.4,-95.1425254364354,8.08489423992106,8.08488634447359
"5",20240528,-126.801135294077,1.12022256316627,"COTS 1",28.15,28.15,-100.3,5.37,84.6,36.4,-95.2668701409469,8.08292203142932,8.08291409823276
"6",20240528,-126.801135294077,1.12022256316627,"COTS 2",28.149,28.149,-100.5,5.25,82.9,36.4,-95.26799036351,8.08627975517154,8.0862719149135
"7",20240528,-126.801135294077,1.12022256316627,"COTS 3",28.101,28.101,-100.4,5.47,86.2,36.4,-95.321761046542,8.08520067230961,8.08519280965569
"8",20240528,-126.801135294077,1.12022256316627,"COTS 4",28.662,28.662,-101.4,5.41,85.9,36.4,-94.6933161886057,8.09496405421955,8.0949563722549
"9",20240528,-126.801135294077,1.12022256316627,"Bleach 1",28.231,28.231,-101.1,5.23,82.6,36.2,-95.1761321133304,8.09489401173247,8.0948863804546
"10",20240528,-126.801135294077,1.12022256316627,"Bleach 2",28.192,28.192,-100.7,5.22,82.2,36.4,-95.2198207932939,8.08909267395604,8.0890849040464
"11",20240528,-126.801135294077,1.12022256316627,"Bleach 3",28.295,28.295,-101.7,5.16,81.8,36.4,-95.1044378692878,8.10453614094041,8.10452876371409
"12",20240528,-126.801135294077,1.12022256316627,"Bleach 4",28.336,28.336,-102.2,5.11,81,36.5,-95.058508744198,8.11258735841401,8.11258018420001
"13",20240528,-126.801135294077,1.12022256316627,"Control 1",28.178,28.178,-100.4,4.8,75.6,36.4,-95.2355039091782,8.08424846231327,8.08424056164663
"14",20240528,-126.801135294077,1.12022256316627,"Control 2",28.215,28.215,-100.4,4.76,75,36.4,-95.1940556743411,8.0837909468862,8.08378302789579
