"","Date","Rep","Treatment","TankID","Salinity","pH","TempInSitu","DO","DO_mg_L","Time","DateTime"
"1",20240528,1,"2006","Pre 1",36.5,7.99378574932228,27.79,79.4,5.08,"6:00",2024-05-28 06:00:00
"2",20240528,2,"2006","Pre 2",36.4,8.05751291244691,26.671,79,5.06,"6:00",2024-05-28 06:00:00
"3",20240528,3,"2006","Pre 3",36.4,8.0850045191623,27.71,75.7,4.84,"6:00",2024-05-28 06:00:00
"4",20240528,4,"2006","Pre 4",36.3,8.07751918372429,27.757,81.2,5.18,"6:00",2024-05-28 06:00:00
"5",20240528,1,"2011","COTS 1",36.3,8.0856684506936,27.504,88.8,5.66,"6:00",2024-05-28 06:00:00
"6",20240528,2,"2011","COTS 2",36.3,8.07653451704678,27.701,85.5,5.48,"6:00",2024-05-28 06:00:00
"7",20240528,3,"2011","COTS 3",36.3,8.08449058397093,27.735,85.6,5.48,"6:00",2024-05-28 06:00:00
"8",20240528,4,"2011","COTS 4",36.4,8.01749908978771,27.613,75.1,4.82,"6:00",2024-05-28 06:00:00
"9",20240528,1,"2019","Bleach 1",36.3,8.07793844064228,27.723,83.3,5.36,"6:00",2024-05-28 06:00:00
"10",20240528,2,"2019","Bleach 2",36.3,8.07807408749058,27.712,83.5,5.33,"6:00",2024-05-28 06:00:00
"11",20240528,3,"2019","Bleach 3",36.3,8.07973904099895,27.577,85.3,5.45,"6:00",2024-05-28 06:00:00
"12",20240528,4,"2019","Bleach 4",36.1,8.07202312090265,27.626,81.4,5.22,"6:00",2024-05-28 06:00:00
"13",20240528,1,"Control","Control 1",36.5,8.08306202492447,27.477,80,5.13,"6:00",2024-05-28 06:00:00
"14",20240528,2,"Control","Control 2",36.5,8.07744059503394,27.525,80.3,5.15,"6:00",2024-05-28 06:00:00
"15",20240528,1,"2006","Pre 1",36.4,8.10119121190236,28.832,103,6.46,"9:00",2024-05-28 09:00:00
"16",20240528,2,"2006","Pre 2",36.4,8.09329889601651,28.661,102.2,6.43,"9:00",2024-05-28 09:00:00
"17",20240528,3,"2006","Pre 3",36.4,8.07963040286652,28.145,88.8,5.62,"9:00",2024-05-28 09:00:00
"18",20240528,4,"2006","Pre 4",36.4,8.08488634447359,28.261,82.3,5.19,"9:00",2024-05-28 09:00:00
"19",20240528,1,"2011","COTS 1",36.4,8.08291409823276,28.15,84.6,5.37,"9:00",2024-05-28 09:00:00
"20",20240528,2,"2011","COTS 2",36.4,8.0862719149135,28.149,82.9,5.25,"9:00",2024-05-28 09:00:00
"21",20240528,3,"2011","COTS 3",36.4,8.08519280965568,28.101,86.2,5.47,"9:00",2024-05-28 09:00:00
"22",20240528,4,"2011","COTS 4",36.4,8.0949563722549,28.662,85.9,5.41,"9:00",2024-05-28 09:00:00
