Date,Rep,Treatment,TankID,Salinity,pH,TempInSitu,DO,DO_mg_L,Time,DateTime
20240528,1,2006,Pre 1,36.5,7.993785749322284,27.79,79.4,5.08,06:00:00,2024-05-28T06:00:00Z
20240528,2,2006,Pre 2,36.4,8.057512912446915,26.671,79,5.06,06:00:00,2024-05-28T06:00:00Z
20240528,3,2006,Pre 3,36.4,8.085004519162304,27.71,75.7,4.84,06:00:00,2024-05-28T06:00:00Z
20240528,4,2006,Pre 4,36.3,8.077519183724293,27.757,81.2,5.18,06:00:00,2024-05-28T06:00:00Z
20240528,1,2011,COTS 1,36.3,8.085668450693596,27.504,88.8,5.66,06:00:00,2024-05-28T06:00:00Z
20240528,2,2011,COTS 2,36.3,8.076534517046777,27.701,85.5,5.48,06:00:00,2024-05-28T06:00:00Z
20240528,3,2011,COTS 3,36.3,8.084490583970927,27.735,85.6,5.48,06:00:00,2024-05-28T06:00:00Z
20240528,4,2011,COTS 4,36.4,8.017499089787714,27.613,75.1,4.82,06:00:00,2024-05-28T06:00:00Z
20240528,1,2019,Bleach 1,36.3,8.077938440642281,27.723,83.3,5.36,06:00:00,2024-05-28T06:00:00Z
20240528,2,2019,Bleach 2,36.3,8.078074087490576,27.712,83.5,5.33,06:00:00,2024-05-28T06:00:00Z
20240528,3,2019,Bleach 3,36.3,8.07973904099895,27.577,85.3,5.45,06:00:00,2024-05-28T06:00:00Z
20240528,4,2019,Bleach 4,36.1,8.07202312090265,27.626,81.4,5.22,06:00:00,2024-05-28T06:00:00Z
20240528,1,Control,Control 1,36.5,8.083062024924473,27.477,80,5.13,06:00:00,2024-05-28T06:00:00Z
20240528,2,Control,Control 2,36.5,8.077440595033943,27.525,80.3,5.15,06:00:00,2024-05-28T06:00:00Z
20240528,1,2006,Pre 1,36.4,8.101191211902364,28.832,103,6.46,09:00:00,2024-05-28T09:00:00Z
20240528,2,2006,Pre 2,36.4,8.093298896016513,28.661,102.2,6.43,09:00:00,2024-05-28T09:00:00Z
20240528,3,2006,Pre 3,36.4,8.079630402866526,28.145,88.8,5.62,09:00:00,2024-05-28T09:00:00Z
20240528,4,2006,Pre 4,36.4,8.084886344473592,28.261,82.3,5.19,09:00:00,2024-05-28T09:00:00Z
20240528,1,2011,COTS 1,36.4,8.08291409823276,28.15,84.6,5.37,09:00:00,2024-05-28T09:00:00Z
20240528,2,2011,COTS 2,36.4,8.086271914913505,28.149,82.9,5.25,09:00:00,2024-05-28T09:00:00Z
20240528,3,2011,COTS 3,36.4,8.085192809655686,28.101,86.2,5.47,09:00:00,2024-05-28T09:00:00Z
20240528,4,2011,COTS 4,36.4,8.094956372254895,28.662,85.9,5.41,09:00:00,2024-05-28T09:00:00Z
20240528,1,2019,Bleach 1,36.2,8.094886380454605,28.231,82.6,5.23,09:00:00,2024-05-28T09:00:00Z
20240528,2,2019,Bleach 2,36.4,8.089084904046405,28.192,82.2,5.22,09:00:00,2024-05-28T09:00:00Z
20240528,3,2019,Bleach 3,36.4,8.104528763714091,28.295,81.8,5.16,09:00:00,2024-05-28T09:00:00Z
20240528,4,2019,Bleach 4,36.5,8.112580184200011,28.336,81,5.11,09:00:00,2024-05-28T09:00:00Z
20240528,1,Control,Control 1,36.4,8.084240561646627,28.178,75.6,4.8,09:00:00,2024-05-28T09:00:00Z
20240528,2,Control,Control 2,36.4,8.083783027895786,28.215,75,4.76,09:00:00,2024-05-28T09:00:00Z
20240528,1,2006,Pre 1,36.4,8.079320316138967,28.576,89,5.61,12:00:00,2024-05-28T12:00:00Z
20240528,2,2006,Pre 2,36.3,8.074416597320608,28.551,78.5,4.93,12:00:00,2024-05-28T12:00:00Z
20240528,3,2006,Pre 3,36.3,8.08525614796509,28.62,82.6,5.21,12:00:00,2024-05-28T12:00:00Z
20240528,4,2006,Pre 4,36.3,8.069787063624338,28.52,82.2,5.19,12:00:00,2024-05-28T12:00:00Z
20240528,1,2011,COTS 1,36.3,8.063522569553678,28.486,80.9,5.1,12:00:00,2024-05-28T12:00:00Z
20240528,2,2011,COTS 2,36.3,8.085268523433877,28.619,87,5.08,12:00:00,2024-05-28T12:00:00Z
20240528,3,2011,COTS 3,36.3,8.069183310728976,28.569,77.1,4.85,12:00:00,2024-05-28T12:00:00Z
20240528,4,2011,COTS 4,36.4,8.090011657046858,28.926,88.4,5.55,12:00:00,2024-05-28T12:00:00Z
20240528,1,2019,Bleach 1,36.9,8.058353310635564,28.462,86,5.42,12:00:00,2024-05-28T12:00:00Z
20240528,2,2019,Bleach 2,36.3,8.08441389116795,28.418,76.2,4.82,12:00:00,2024-05-28T12:00:00Z
20240528,3,2019,Bleach 3,36.3,8.088114923958837,28.524,82.3,5.18,12:00:00,2024-05-28T12:00:00Z
20240528,4,2019,Bleach 4,36.3,8.107791006742874,28.688,81.3,5.11,12:00:00,2024-05-28T12:00:00Z
20240528,1,Control,Control 1,36.4,8.051574175454142,28.523,80.8,5.1,12:00:00,2024-05-28T12:00:00Z
20240528,2,Control,Control 2,36.4,8.065407239115698,28.485,84,5.31,12:00:00,2024-05-28T12:00:00Z
20240528,1,2006,Pre 1,36.4,8.03229378261091,28.597,83.2,5.25,17:00:00,2024-05-28T17:00:00Z
20240528,2,2006,Pre 2,36.3,8.030763966616432,28.569,80,5.04,17:00:00,2024-05-28T17:00:00Z
20240528,3,2006,Pre 3,36.4,8.0695217791437,28.964,74,4.64,17:00:00,2024-05-28T17:00:00Z
20240528,4,2006,Pre 4,36,8.052345468040224,28.531,84,5.33,17:00:00,2024-05-28T17:00:00Z
20240528,1,2011,COTS 1,36.4,8.068810583578086,28.48,74.6,4.72,17:00:00,2024-05-28T17:00:00Z
20240528,2,2011,COTS 2,36.4,8.025064614637946,28.642,76.8,4.85,17:00:00,2024-05-28T17:00:00Z
20240528,3,2011,COTS 3,36.4,8.05453526191105,28.69,75,4.72,17:00:00,2024-05-28T17:00:00Z
20240528,4,2011,COTS 4,36.4,8.040741958932346,28.862,82.2,5.15,17:00:00,2024-05-28T17:00:00Z
20240528,1,2019,Bleach 1,36.4,8.049621536706587,28.546,74.4,4.7,17:00:00,2024-05-28T17:00:00Z
20240528,2,2019,Bleach 2,36.4,8.04885307001724,28.336,70.5,4.55,17:00:00,2024-05-28T17:00:00Z
20240528,3,2019,Bleach 3,36.3,8.056421990143193,28.656,70.4,4.44,17:00:00,2024-05-28T17:00:00Z
20240528,4,2019,Bleach 4,36.2,8.007188246695964,28.706,72.9,4.6,17:00:00,2024-05-28T17:00:00Z
20240528,1,Control,Control 1,36.4,8.042633465600554,28.571,86.2,5.44,17:00:00,2024-05-28T17:00:00Z
20240529,1,2006,Pre 1,36.4,8.065370307378805,28.488,89.5,5.68,10:30:00,2024-05-29T10:30:00Z
20240529,2,2006,Pre 2,36.4,8.101698076108304,28.657,80.2,5,10:30:00,2024-05-29T10:30:00Z
20240529,3,2006,Pre 3,36.4,8.098954031824245,29.146,79.8,5.41,10:30:00,2024-05-29T10:30:00Z
20240529,4,2006,Pre 4,36.4,8.06879849853943,28.752,77.8,4.89,10:30:00,2024-05-29T10:30:00Z
20240529,1,2011,COTS 1,36.4,8.091457467671939,29.749,73,4.52,10:30:00,2024-05-29T10:30:00Z
20240529,2,2011,COTS 2,36.4,8.09266579665552,28.981,71.3,4.46,10:30:00,2024-05-29T10:30:00Z
20240529,3,2011,COTS 3,36.4,8.054977329851958,28.654,78.1,4.88,10:30:00,2024-05-29T10:30:00Z
20240529,4,2011,COTS 4,36.4,8.05495202830576,28.792,87.2,5.47,10:30:00,2024-05-29T10:30:00Z
20240529,1,2019,Bleach 1,36.3,8.100185472511225,29.031,82.5,5.17,10:30:00,2024-05-29T10:30:00Z
20240529,2,2019,Bleach 2,36.4,8.089641798561884,28.417,78.1,4.94,10:30:00,2024-05-29T10:30:00Z
20240529,3,2019,Bleach 3,36.4,8.137204618517995,28.888,82.8,5.2,10:30:00,2024-05-29T10:30:00Z
20240529,4,2019,Bleach 4,36.4,8.087178030485338,28.481,77.6,4.9,10:30:00,2024-05-29T10:30:00Z
20240529,2,Control,Control 2,36.4,8.032377003238734,28.727,82.4,5.24,10:30:00,2024-05-29T10:30:00Z
20240529,3,Control,Control 3,36.4,8.045143005512623,29.591,99.3,6.24,10:30:00,2024-05-29T10:30:00Z
20240529,1,2006,Pre 1,36.5,8.219044334562541,29.417,107.2,6.62,14:45:00,2024-05-29T14:45:00Z
20240529,2,2006,Pre 2,36.5,8.211292436001786,29.242,101.4,6.31,14:45:00,2024-05-29T14:45:00Z
20240529,3,2006,Pre 3,36.5,8.12774124572407,29.525,101.5,6.35,14:45:00,2024-05-29T14:45:00Z
20240529,4,2006,Pre 4,36.5,8.17312003153973,29.885,102.3,6.43,14:45:00,2024-05-29T14:45:00Z
20240529,1,2011,COTS 1,36.5,8.057069736480077,29.855,98.1,6.17,14:45:00,2024-05-29T14:45:00Z
20240529,2,2011,COTS 2,36.4,8.036340718340847,28.949,88.1,5.7,14:45:00,2024-05-29T14:45:00Z
20240529,3,2011,COTS 3,36.4,8.055073292438761,29.731,102.4,6.36,14:45:00,2024-05-29T14:45:00Z
20240529,4,2011,COTS 4,36.5,8.116022885038383,29.53,98.6,6.17,14:45:00,2024-05-29T14:45:00Z
20240529,1,2019,Bleach 1,36.4,8.262209970641626,29.541,104.5,6.52,14:45:00,2024-05-29T14:45:00Z
20240529,2,2019,Bleach 2,36.4,8.045206496270893,28.77,93.1,6.02,14:45:00,2024-05-29T14:45:00Z
20240529,3,2019,Bleach 3,36.4,8.211487834797717,29.731,110.4,6.84,14:45:00,2024-05-29T14:45:00Z
20240529,4,2019,Bleach 4,36.5,8.184281148855604,29.007,95.5,6.01,14:45:00,2024-05-29T14:45:00Z
20240529,1,Control,Control 1,36.5,8.038766081953966,29.176,90,5.66,14:45:00,2024-05-29T14:45:00Z
20240529,2,Control,Control 2,36.6,8.012642490536319,28.598,90.3,5.8,14:45:00,2024-05-29T14:45:00Z
20240529,3,Control,Control 3,36.4,8.045143005512623,29.591,99.3,6.24,14:45:00,2024-05-29T14:45:00Z
20240529,4,Control,Control 4,36.4,8.018451752199327,29.322,97.3,6.08,14:45:00,2024-05-29T14:45:00Z
20240529,1,2006,Pre 1,36.4,8.043960475680633,29.144,82.6,5.11,17:45:00,2024-05-29T17:45:00Z
