Date,Time,TankID,Flow_Left_30s,Flow_Right_30s,TempInSitu,Salinity,DO_mg_L,Light_nm,TA,Notes,pH
6/2/24,12:00:00,1,114,82,29.5,36.6,4.77,NA,2308.968,Flow read as 0,8.272669267393425
6/2/24,12:00:00,2,131,10,29.4,36.5,4.66,NA,2215.542,Flow read as 0,8.147382772593602
6/2/24,12:00:00,3,68,10,29.2,36.5,4.42,NA,2357.832,NA,8.030935903973361
6/2/24,12:00:00,4,151,0,29.6,36.5,4.56,NA,2425.624,NA,8.080431172347458
6/2/24,12:00:00,5,120,20,28.7,36.4,4.72,NA,2327.843,NA,8.093517642417265
6/2/24,12:00:00,6,0,134,29,36.4,3.81,NA,2289.006,NA,8.090905911676884
6/2/24,12:00:00,7,432,541,28.7,36.4,4.72,NA,2346.496,NA,8.04884072680115
6/2/24,12:00:00,8,52,274,28.8,36.4,4.47,NA,2356.019,NA,8.045235850951313
6/2/24,12:00:00,9,116,424,29,36.4,4.03,NA,2344.891,NA,8.06139510534282
6/2/24,12:00:00,10,64,280,29.2,36.6,4.13,NA,2163.075,NA,8.188787587480503
6/2/24,12:00:00,11,29,0,29.3,36.6,3.6,NA,2365.13,NA,8.034143683857662
6/2/24,12:00:00,12,170,153,29.5,36.6,4,NA,2215.887,NA,8.14851720815794
6/2/24,12:00:00,13,16,42,29.5,36.6,4.33,NA,2325.067,NA,8.194982848963363
6/2/24,12:00:00,14,72,29,29.3,36.4,4.25,NA,2337.419,NA,8.121747207855945
6/2/24,12:00:00,15,0,34,29.4,36.3,4.07,NA,2362.45,NA,8.047537343753547
6/2/24,12:00:00,16,97,424,28.9,36.4,3.77,NA,2340.188,NA,8.061930575755891
6/2/24,12:00:00,Inflow1,NA,NA,29,36.5,NA,NA,2343.183,NA,8.039081384592432
6/2/24,12:00:00,Inflow2,NA,NA,29,36.5,NA,NA,2355.042,NA,8.035215197700206
6/2/24,15:00:00,1,NA,NA,29,36.4,3.73,NA,NA,NA,8.156500947659813
6/2/24,15:00:00,2,NA,NA,29.1,36.4,3.77,NA,NA,NA,8.08302700000504
6/2/24,15:00:00,3,NA,NA,29.3,36.5,3.47,NA,NA,NA,8.054209090061915
6/2/24,15:00:00,4,NA,NA,29.1,36.5,3.41,NA,NA,NA,8.086999475236818
6/2/24,15:00:00,5,NA,NA,29,36.4,3.44,NA,NA,NA,8.091033980973926
6/2/24,15:00:00,6,NA,NA,29,36.4,3.42,NA,NA,NA,8.066050844156697
6/2/24,15:00:00,7,NA,NA,28.9,36.4,3.84,NA,NA,NA,8.052628784769988
6/2/24,15:00:00,8,NA,NA,28.8,36.4,3.96,NA,NA,NA,8.057015871921177
6/2/24,15:00:00,9,NA,NA,28.9,36.4,4.6,NA,NA,NA,8.06614860993465
6/2/24,15:00:00,10,NA,NA,28.7,36.4,4.1,NA,NA,NA,8.063853453567754
6/2/24,15:00:00,11,NA,NA,28.8,36.4,4.41,NA,NA,NA,8.05110934857292
6/2/24,15:00:00,12,NA,NA,28.9,36.4,4.24,NA,NA,NA,8.058217200494955
6/2/24,15:00:00,13,NA,NA,29.2,36.4,4.56,NA,NA,NA,8.164130173177238
6/2/24,15:00:00,14,NA,NA,29.1,36.1,4.41,NA,NA,NA,8.099336310439366
6/2/24,15:00:00,15,NA,NA,29.3,36.5,4.15,NA,NA,NA,8.05794584112418
6/2/24,15:00:00,16,NA,NA,28.9,36.4,4.17,NA,NA,NA,8.060003262225582
6/2/24,15:00:00,Inflow1,NA,NA,29,36.4,NA,NA,NA,NA,8.052347272116135
6/2/24,15:00:00,Inflow2,NA,NA,29,36.4,NA,NA,NA,NA,8.051058127757331
6/2/24,18:00:00,1,202,260,28.6,36.4,3.82,NA,2370.89,NA,8.02190109957137
6/2/24,18:00:00,2,20,74,28.9,36.4,4.11,NA,2336.88,NA,8.005243259805392
6/2/24,18:00:00,3,181,48,28.8,36.4,4.18,NA,2358,NA,8.054624546644947
6/2/24,18:00:00,4,60,224,28.8,36.4,3.21,NA,2371.09,NA,7.995566812237878
6/2/24,18:00:00,5,64,196,28.7,36.4,3.03,NA,2342.425,NA,8.027707544751832
6/2/24,18:00:00,6,58,160,28.8,36.4,3.13,NA,2333.561,NA,8.013710477340426
6/2/24,18:00:00,7,388,800,28.6,36.4,4.12,NA,2315.251,NA,8.011349692927423
6/2/24,18:00:00,8,356,255,28.6,36.4,4.18,NA,2346.573,NA,8.05911062318035
6/2/24,18:00:00,9,520,160,28.6,36.4,4.12,NA,2347.496,NA,8.049580364165314
6/2/24,18:00:00,10,254,335,28.6,36.4,3.7,NA,2346.884,NA,8.033367969181763
6/2/24,18:00:00,11,73,142,28.7,36.4,3.8,NA,2346.73,NA,8.048189493504443
6/2/24,18:00:00,12,172,268,28.7,36.4,3.58,NA,2344.997,NA,8.039942493085857
6/2/24,18:00:00,13,68,0,28.9,36.4,3.34,NA,2354.424,NA,8.009743619735795
6/2/24,18:00:00,14,5,176,28.8,36.4,3.75,NA,2343.944,NA,8.030702788271917
6/2/24,18:00:00,15,58,0,29,36.4,3.83,NA,2354.266,NA,8.056982128280218
6/2/24,18:00:00,16,164,326,28.6,36.2,3.61,NA,2359.864,NA,7.993301987325555
6/2/24,18:00:00,Inflow1,NA,NA,28.6,36.4,NA,NA,2348.571,NA,8.057287049229256
6/2/24,18:00:00,Inflow2,NA,NA,28.6,36.4,NA,NA,2326.905,NA,8.052809146653267
6/2/24,21:00:00,1,NA,NA,28.5,36.4,3.14,NA,NA,NA,8.000217622142763
6/2/24,21:00:00,2,NA,NA,28.6,36.4,3.12,NA,NA,NA,7.941421421231769
6/2/24,21:00:00,3,NA,NA,28.4,36.4,3.13,NA,NA,NA,8.047562302296642
6/2/24,21:00:00,4,NA,NA,28.5,36.4,2.84,NA,NA,NA,7.971563215333092
6/2/24,21:00:00,5,NA,NA,28.5,36.4,2.74,NA,NA,NA,8.00587595735747
6/2/24,21:00:00,6,NA,NA,36.5,36.4,2.69,NA,NA,NA,7.8697291213683
6/2/24,21:00:00,7,NA,NA,28.4,36.4,3.4,NA,NA,NA,7.98274492656594
6/2/24,21:00:00,8,NA,NA,28.4,36.4,3.59,NA,NA,NA,8.049389944662439
6/2/24,21:00:00,9,NA,NA,28.4,36.2,3.84,NA,NA,NA,8.026611522323185
6/2/24,21:00:00,10,NA,NA,28.3,36.3,3.9,NA,NA,NA,8.026538418036397
6/2/24,21:00:00,11,NA,NA,28.4,36.3,3.83,NA,NA,NA,8.041297394600633
6/2/24,21:00:00,12,NA,NA,28.3,36.4,4.08,NA,NA,NA,8.04548053113767
6/2/24,21:00:00,13,NA,NA,28.5,36.4,3.68,NA,NA,NA,7.946233704736301
6/2/24,21:00:00,14,NA,NA,28.6,36.4,3.4,NA,NA,NA,7.9524726191653565
6/2/24,21:00:00,15,NA,NA,28.5,36.4,3.55,NA,NA,NA,8.040111294845701
6/2/24,21:00:00,16,NA,NA,28.4,36.4,3.56,NA,NA,NA,8.029878933982925
6/2/24,21:00:00,Inflow1,NA,NA,28.5,36.4,NA,NA,NA,NA,8.041240487028965
6/2/24,21:00:00,Inflow2,NA,NA,28.5,36.4,NA,NA,NA,NA,8.051552474710752
6/3/24,00:00:00,1,78,146,28.2,36.4,3.62,NA,2366.852,NA,7.976547298989125
6/3/24,00:00:00,2,15,28,28.2,36.4,3.49,NA,2346.444,NA,7.915037574888728
6/3/24,00:00:00,3,50,150,28.2,36.4,3.69,NA,2356.603,NA,8.030448330295556
6/3/24,00:00:00,4,55,184,28.2,36.4,3.69,NA,2459.783,NA,7.95676234348475
6/3/24,00:00:00,5,50,110,28.3,36.4,3.81,NA,2351.969,NA,7.993272771388212
6/3/24,00:00:00,6,48,146,28.3,36.6,4.08,NA,2337.276,NA,7.978127166200953
6/3/24,00:00:00,7,5,203,28.2,36.4,3.43,NA,2318.561,NA,7.965765838902617
6/3/24,00:00:00,8,330,240,28.2,36.4,3.47,NA,2355.957,NA,8.032066716825833
6/3/24,00:00:00,9,470,166,28.2,36.4,3.39,NA,NA,NA,8.009730752954257
6/3/24,00:00:00,10,210,284,28.2,36.3,3.31,NA,2357.273,NA,8.014314453662687
6/3/24,00:00:00,11,58,114,28.3,36.4,3.22,NA,2358.984,NA,8.02518529369596
6/3/24,00:00:00,12,136,218,28.3,36.3,3.13,NA,2357.547,NA,8.007906759444515
6/3/24,00:00:00,13,5,76,28.3,36.3,2.92,NA,2383.262,NA,7.890482009992863
6/3/24,00:00:00,14,5,82,28.3,36.4,3.88,NA,2377.85,NA,7.922807902557299
6/3/24,00:00:00,15,100,18,28.3,36.4,3.43,NA,2358.249,NA,8.029470399672205
6/3/24,00:00:00,16,90,254,28.2,36.4,3.5,NA,2303.17,NA,8.014004531254514
6/3/24,00:00:00,Inflow1,NA,NA,28.2,36.4,NA,NA,2349.51,NA,8.002849161030754
6/3/24,00:00:00,Inflow2,NA,NA,28.2,36.4,NA,NA,2363.69,NA,8.03939401809913
6/3/24,06:00:00,1,40,80,28,36.4,3.95,NA,2358.64,NA,7.967295688938815
6/3/24,06:00:00,2,26,0,28.1,36.4,3.79,NA,2341.554,NA,7.905272505303802
6/3/24,06:00:00,3,70,60,27.9,36.4,3.6,NA,2313.736,NA,8.022645694309167
6/3/24,06:00:00,4,150,50,28,36.4,3.46,NA,2408.932,NA,7.947558949235975
6/3/24,06:00:00,5,122,36,28.1,36.4,3.76,NA,2258.106,NA,7.984736119239772
