"","SamplingDate","UniqueID","Salinity","pH","TempInSitu","DO","TA","Dusk_Dawn","Organism"
"1","1/10/24","Surface_Dusk",36.01,8.22864031352647,29.62,95.3,2264.844945,"Dusk","Surface"
"2","1/10/24","Dead_1_Dusk",36.09,8.25129196572767,28.91,82.1,2283.058658,"Dusk","Dead"
"3","1/10/24","Dead_2_Dusk",36.1,8.24115008972437,29.08,80.1,2288.449413,"Dusk","Dead"
"4","1/10/24","Dead_3_Dusk",36.05,8.23091113780021,29.11,79.9,2285.285452,"Dusk","Dead"
"5","1/10/24","Poc_1_Dusk",36.12,8.26929797964065,29.58,83.5,2268.2517,"Dusk","Pocillopora"
"6","1/10/24","Poc_2_Dusk",36.1,8.26067402479452,29.26,84.6,2274.868827,"Dusk","Pocillopora"
"7","1/10/24","Poc_3_Dusk",36.1,8.26201836105634,29.38,82.3,2281.43568,"Dusk","Pocillopora"
"8","1/10/24","Algae_1_Dusk",36.1,8.29233035538059,29.71,92.2,2243.224947,"Dusk","Algae"
"9","1/10/24","Algae_2_Dusk",36.08,8.29749467277627,29.6,91.3,2249.237676,"Dusk","Algae"
"10","1/10/24","Algae_3_Dusk",36.09,8.29194274181105,29.6,92.4,2251.88628,"Dusk","Algae"
"11","1/15/24","Surface_Dawn",33.8,7.53999504151317,27.86,87,2446.016275,"Dawn","Surface"
"12","1/15/24","Dead_1_Dawn",34.45,7.61881377542471,27.81,82.7,2275.013551,"Dawn","Dead"
"13","1/15/24","Dead_2_Dawn",34.55,7.62106419547177,27.68,81.5,2333.672306,"Dawn","Dead"
"14","1/15/24","Dead_3_Dawn",34.63,7.63262271341963,27.79,82.8,2340.165997,"Dawn","Dead"
"15","1/15/24","Poc_1_Dawn",34.57,7.6282028384868,27.08,77,2337.268592,"Dawn","Pocillopora"
"16","1/15/24","Poc_2_Dawn",34.61,7.59854822525865,27.73,76.7,2331.602215,"Dawn","Pocillopora"
"17","1/15/24","Poc_3_Dawn",34.76,7.630910893989,27.65,76,2335.376697,"Dawn","Pocillopora"
"18","1/15/24","Algae_1_Dawn",34.49,7.56671028955526,27.89,87,2300.212207,"Dawn","Algae"
"19","1/15/24","Algae_2_Dawn",34.51,7.58900907337022,27.56,86.8,2337.501133,"Dawn","Algae"
"20","1/15/24","Algae_3_Dawn",34.53,7.59496695393905,27.26,86.1,2331.683304,"Dawn","Algae"
